OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Sep  1 2014 20:14:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""20:14:56 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20:17:58,193,0,4.011335093,0.052229607,261.1994739,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.003822355,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.117649031,2.135877164,24.86494637,2,4.644859791,1,9.289719582,25.42073441,24.86494637,25.07709503,398.9461975,395.9785461,9.310896873,10.0481081,28.9413166,31.23281097,300.1632996,1498.200806,0.513316989,101.3412933,2.540593147,0.14815253,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500816498,0.001117649,298.0149464,298.5707344,239.7121235,0.786646416,3.154165434,31.12418769,21.07607959,25.14284039,3.206856737,0.051937598,1.018288271,2.188568466,0.032487108,26.4702925,0.659630367,31.24715626,395.3956112,0.003170061,0,1311.059585,0,#DIV/0!,#DIV/0!
2,20:20:57,372,0,-0.756849594,0.116238097,58.26297829,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.000185193,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.374313585,2.051953177,24.85328484,2,4.644859791,1,9.289719582,25.40429497,24.85328484,25.07733154,49.08753967,49.51348877,9.289815903,10.85461521,28.9039402,33.77259445,300.1715698,1500.393066,0.671196401,101.3410187,1.848118782,0.138156116,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500857849,0.002374314,298.0032848,298.554295,240.0628853,0.566287992,3.15197094,31.10261749,20.24800228,25.1287899,3.20417429,0.114801635,1.100017763,2.104156527,0.071878711,5.904429571,1.176709211,34.32612405,49.62347561,-0.005235367,0,1312.954704,0,#DIV/0!,#DIV/0!
3,20:23:57,552.5,0,1.826511768,0.234551134,83.42766987,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.002151536,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.421788231,1.916263979,24.85375595,2,4.644859791,1,9.289719582,25.39303017,24.85375595,25.07748985,100.4756546,98.96694946,9.284275055,12.19481564,28.90513039,37.96664047,300.1411743,1501.265259,0.790338516,101.3377838,2.137692451,0.139568508,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500705872,0.004421788,298.003756,298.5430302,240.202436,0.205349811,3.15205957,31.10448493,18.9096693,25.12339306,3.203144474,0.228774919,1.235795591,1.967348884,0.143492299,8.454375173,0.842985161,39.39096234,98.70151724,0.007289458,0,1313.717936,0,#DIV/0!,#DIV/0!
4,20:26:57,732.5,0,7.61550451,0.318430882,151.0032202,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.006570949,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.694332977,1.832967273,24.84999466,2,4.644859791,1,9.289719582,25.36579132,24.84999466,25.07619667,201.2934875,195.4939423,9.2754879,13.00970459,28.92479515,40.56961823,301.0136719,1498.304932,0.746726811,101.338562,2.389081001,0.143733203,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.505068359,0.005694333,297.9999947,298.5157913,239.7287837,-0.021962972,3.151352028,31.09726412,18.08755953,25.10789299,3.200188385,0.307877527,1.318384755,1.88180363,0.193344572,15.3024492,0.772418922,42.49501472,194.3872424,0.016648262,0,1311.150705,0,#DIV/0!,#DIV/0!
5,20:29:57,912.5,0,17.32611065,0.328898877,290.5596769,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.013971685,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.850730989,1.825270326,24.85705566,2,4.644859791,1,9.289719582,25.35407257,24.85705566,25.07741165,400.3588562,387.3411865,9.262239456,13.09870052,28.90375519,40.87582016,301.0114746,1498.887817,0.717716217,101.3390656,2.484570503,0.148925006,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.505057373,0.005850731,298.0070557,298.5040726,239.8220454,-0.05002099,3.152680397,31.11021776,18.01151724,25.10556412,3.199744442,0.317652515,1.327410071,1.872334371,0.199513507,29.44504614,0.750138862,42.81992931,384.8233226,0.019279051,0,1311.660782,0,#DIV/0!,#DIV/0!
6,20:32:57,1092.5,0,21.48672473,0.270373485,632.0491377,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.017110811,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.987761028,1.881874459,24.85150528,2,4.644859791,1,9.289719582,25.36083221,24.85150528,25.07687187,800.6584473,783.7865601,9.257968903,12.5300703,28.87827492,39.0848999,301.045929,1501.795898,0.753523767,101.3371582,1.413403511,0.150967777,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.505229645,0.004987761,298.0015053,298.5108322,240.2873384,0.10453854,3.151636176,31.10049889,18.57042859,25.10616875,3.199859695,0.262726925,1.269761717,1.930097978,0.16487462,64.05006346,0.806404664,40.68368221,780.6640677,0.011197634,0,1314.182285,0,#DIV/0!,#DIV/0!
7,20:35:57,1272.5,0,23.03001377,0.196232909,957.1477948,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.018326356,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.800766907,1.961201669,24.85442924,2,4.644859791,1,9.289719582,25.36569405,24.85442924,25.07609367,1200.355591,1182.067627,9.257328033,11.75312805,28.86686325,36.64944458,300.9933472,1498.392212,0.656665564,101.3334122,-1.319384575,0.153324306,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.504966736,0.003800767,298.0044292,298.515694,239.7427485,0.311711045,3.152186239,31.10707684,19.35394878,25.11006165,3.200601836,0.1921735,1.190984569,2.009617267,0.120466671,96.991052,0.80972338,37.73554473,1178.720861,0.007372824,0,1311.227083,0,#DIV/0!,#DIV/0!
8,20:38:56,1451,0,25.28569825,0.134541929,1231.144824,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.020038754,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.718319277,2.033145832,24.85471344,2,4.644859791,1,9.289719582,25.3880806,24.85471344,25.07748604,1601.26123,1581.603882,9.257996559,11.04419899,28.82919884,34.39139557,301.0070496,1498.981934,0.752572596,101.3286591,-5.048998833,0.154442966,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.505035248,0.002718319,298.0047134,298.5380806,239.837104,0.503930456,3.152239706,31.10906367,20.06486468,25.12139702,3.202763666,0.132621192,1.119093874,2.083669792,0.083058697,124.7502541,0.778415404,35.05348152,1577.929315,0.005617183,0,1311.743142,0,#DIV/0!,#DIV/0!
