OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Sep  2 2014 12:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:22:48 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:25:59,210.000061,0,11.98221612,0.12932999,229.8070341,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.009898519,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.720715274,2.119868379,24.89513588,2,4.644859791,1,9.289719582,25.17056656,24.89513588,25.08248711,399.0640869,390.3733521,8.453587532,10.24768066,26.7082653,32.37652588,300.1889038,1498.739624,0.765183508,101.4848557,2.572275639,0.148719922,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500944519,0.002720715,298.0451359,298.3205666,239.7983345,0.491541912,3.159852772,31.13620009,20.88851943,25.03285122,3.185910511,0.127554201,1.039984393,2.145926118,0.079879039,23.32193369,0.588685249,32.43555055,388.6320733,0.010000456,0,1311.531099,0,#DIV/0!,#DIV/0!
2,12:28:59,390.000061,0,-1.145507,0.156044771,59.81109862,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,-0.000110983,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.200469098,2.072101518,24.90902328,2,4.644859791,1,9.289719582,25.22719574,24.90902328,25.0812149,49.06257629,49.71977234,8.634523392,10.7439909,27.18855667,33.83089066,300.1784363,1498.223267,0.747741401,101.4865417,1.811888218,0.146454945,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500892181,0.003200469,298.0590233,298.3771957,239.7157173,0.408589989,3.162471999,31.16149141,20.41750051,25.06810951,3.192612006,0.153466899,1.090370481,2.102241525,0.096145134,6.070021557,1.202964048,34.18177258,49.88623963,-0.00784895,0,1311.079241,0,#DIV/0!,#DIV/0!
3,12:31:59,570.000061,0,1.521832893,0.187123779,82.89550851,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.001918087,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.739767258,2.025286685,24.92725754,2,4.644859791,1,9.289719582,25.27238464,24.92725754,25.07898903,100.353241,99.09223938,8.774846077,11.23881531,27.55714417,35.29516602,300.1447144,1502.461548,0.683822691,101.4899902,2.112509251,0.14446272,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500723572,0.003739767,298.0772575,298.4223846,240.3938423,0.31746186,3.165913941,31.19434669,19.95553139,25.09982109,3.198649901,0.183428951,1.140627256,2.058022645,0.114969423,8.413064349,0.836548947,35.93221626,98.87108368,0.00553072,0,1314.764778,0,#DIV/0!,#DIV/0!
4,12:34:59,750.000061,0,7.047404852,0.215529496,137.297517,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.006122335,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.212661235,1.986250484,24.94209099,2,4.644859791,1,9.289719582,25.29791832,24.94209099,25.07579613,201.2149811,195.9684296,8.876150131,11.65076828,27.83366966,36.53426743,300.1191711,1502.083496,0.616015851,101.4925232,2.352667332,0.146268025,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500595856,0.004212661,298.092091,298.4479183,240.333354,0.234345081,3.168716354,31.22118019,19.57041191,25.12000465,3.202498052,0.21064241,1.18246587,2.020032182,0.132082028,13.93467143,0.700610385,37.39622705,194.9442871,0.01351906,0,1314.433955,0,#DIV/0!,#DIV/0!
5,12:37:59,930.000061,0,15.84855965,0.223808466,262.9251019,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.012857696,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.334012946,1.969441708,24.94028473,2,4.644859791,1,9.289719582,25.28147888,24.94028473,25.07769585,400.5551453,388.8690491,8.958524704,11.81295681,28.11961555,37.07929993,300.0817871,1497.432373,0.605350971,101.4930725,2.404821873,0.147882596,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500408936,0.004334013,298.0902847,298.4314789,239.5891743,0.209307387,3.168374991,31.21764779,19.40469098,25.11088181,3.20075821,0.218543307,1.198933282,2.001824928,0.137053048,26.68507643,0.676127613,37.9683236,386.5659058,0.015566382,0,1310.387138,0,#DIV/0!,#DIV/0!
6,12:40:59,1110,0,24.85370082,0.194440217,551.7068331,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.019727627,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.834298175,1.999649318,24.95859337,2,4.644859791,1,9.289719582,25.25056458,24.95859337,25.08106613,799.8494873,781.2929688,9.023653984,11.5490036,28.37724495,36.31886673,300.1577148,1497.598755,0.764217436,101.4968338,0.836401463,0.151416913,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500788574,0.003834298,298.1085934,298.4005646,239.6157954,0.295254075,3.171836618,31.25059668,19.70159308,25.10457897,3.199556663,0.190453886,1.172187299,2.027369364,0.11938552,55.99649674,0.706145908,36.89823998,777.6811809,0.011792208,0,1310.532737,0,#DIV/0!,#DIV/0!
7,12:43:59,1290,0,27.42639426,0.153454786,856.8208928,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.021630637,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.092924928,2.035474896,24.93230247,2,4.644859791,1,9.289719582,25.24565697,24.93230247,25.07780075,1200.848022,1180.136475,9.108611107,11.14697647,28.65301323,35.06511307,300.0883179,1501.785034,0.877521753,101.4976501,-1.807031155,0.149479046,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500441589,0.003092925,298.0823025,298.395657,240.2856001,0.429605336,3.166866814,31.20138062,20.05440415,25.08897972,3.196584579,0.150961094,1.131391918,2.065192661,0.094571602,86.96530722,0.72603543,35.40258642,1176.150818,0.008255449,0,1314.172778,0,#DIV/0!,#DIV/0!
8,12:46:59,1470,0,28.63907757,0.118302394,1141.422982,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.02254782,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.441718641,2.076938379,24.96269608,2,4.644859791,1,9.289719582,25.24235535,24.96269608,25.07653236,1600.03418,1578.378662,9.185341835,10.7950983,28.89999199,33.96479797,300.0901184,1502.157349,0.609232903,101.4973984,-5.524926662,0.148937359,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500450592,0.002441719,298.1126961,298.3923553,240.3451704,0.54309771,3.172612772,31.25806989,20.46297159,25.10252571,3.199165323,0.116814786,1.095674393,2.10349093,0.073141452,115.8514631,0.723161691,33.97020847,1574.216776,0.00618006,0,1314.498581,0,#DIV/0!,#DIV/0!
