OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Aug 26 2014 15:42:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:42:30 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:45:35,192.5,0,13.08490914,0.405763296,326.1311786,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.010735366,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.478439766,1.624967358,24.96203804,2,4.644859791,1,9.289719582,25.85462952,24.96203804,25.07151604,399.5343933,389.1347656,11.2439909,15.49427319,33.5695343,46.2589798,300.124115,1499.287109,0.734170854,99.87696075,2.58678627,0.145487905,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500620575,0.00647844,298.112038,299.0046295,239.8859321,-0.142215967,3.172488273,31.76396488,16.26969169,25.40833378,3.257913552,0.388781795,1.547520915,1.710392637,0.2444593,32.57299093,0.838093143,49.73531581,387.2332413,0.016805946,0,1312.010198,0,#DIV/0!,#DIV/0!
2,15:48:35,372.5,0,-0.675234109,0.436602289,50.13395049,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.000247529,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.845396636,1.600624152,24.96013641,2,4.644859791,1,9.289719582,25.86981773,24.96013641,25.07179642,48.62429428,48.8514061,11.24459457,15.73429012,33.54138947,46.9336586,300.1401367,1499.312256,0.638281405,99.87767792,1.757951736,0.138823628,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500700684,0.006845397,298.1101364,299.0198177,239.8899556,-0.206103026,3.172128513,31.76013479,16.02584467,25.41497707,3.259200173,0.417003764,1.571504361,1.687695812,0.26232004,5.00726256,1.026253991,50.63373476,48.94953242,-0.006984668,0,1312.032203,0,#DIV/0!,#DIV/0!
3,15:51:35,552.5,0,1.636871093,0.490957597,90.68552415,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.002011125,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.455256812,1.558640196,24.94986153,2,4.644859791,1,9.289719582,25.86523628,24.94986153,25.07169342,100.2468491,98.66573334,11.2462616,16.13464165,33.55660248,48.14255142,300.0981445,1498.295532,0.88334024,99.88105774,2.157762527,0.1404773,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500490723,0.007455257,298.0998615,299.0152363,239.7272798,-0.314006516,3.17018527,31.7396045,15.60496286,25.4075489,3.257761573,0.466313152,1.611545074,1.646216499,0.293564011,9.057766074,0.919118736,52.15714226,98.42786007,0.008673816,0,1311.142479,0,#DIV/0!,#DIV/0!
4,15:54:35,732.5,0,6.160887423,0.532534416,171.8582598,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.005461511,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.90502699,1.52983513,24.95480347,2,4.644859791,1,9.289719582,25.85708237,24.95480347,25.07142639,200.9956512,195.8583221,11.25154972,16.43284225,33.587677,49.05466843,300.1229858,1498.309937,0.700257242,99.87831879,2.568620682,0.139735341,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500614929,0.007905027,298.1048035,299.0070824,239.7295845,-0.393885831,3.171119787,31.74983145,15.3169892,25.40594292,3.257450617,0.503661929,1.641284657,1.61616596,0.317261349,17.16491405,0.877462126,53.24648657,194.9630101,0.016826044,0,1311.155085,0,#DIV/0!,#DIV/0!
5,15:57:35,912.5,0,14.00406856,0.561575822,338.2525804,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.011443036,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,8.207691588,1.510659031,24.95611382,2,4.644859791,1,9.289719582,25.86039734,24.95611382,25.07175064,400.6271973,389.1626282,11.24592876,16.62632751,33.56630707,49.62546539,300.023407,1498.3573,0.522046149,99.88426971,2.743089676,0.144194722,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500117035,0.008207692,298.1061138,299.0103973,239.7371626,-0.447117974,3.171367613,31.75042099,15.12409347,25.40825558,3.257898409,0.529563037,1.660708582,1.597189827,0.3337115,33.78611197,0.869180533,53.96765079,387.1275299,0.019522422,0,1311.196532,0,#DIV/0!,#DIV/0!
6,16:00:35,1092.5,0,22.00708858,0.554731456,696.6247839,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.017531267,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,8.145251865,1.516648642,24.94873047,2,4.644859791,1,9.289719582,25.82584,24.94873047,25.06998825,800.5016479,781.5967407,11.21542549,16.55269241,33.54324341,49.50600815,300.1695862,1499.670898,0.720597148,99.88240814,1.450853348,0.142056584,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500847931,0.008145252,298.0987305,298.97584,239.9473384,-0.436526235,3.169971422,31.73703439,15.18434197,25.38728523,3.253839963,0.523472528,1.653322779,1.600517184,0.329842138,69.58056099,0.891284146,53.7347,778.3986281,0.015192014,0,1312.346048,0,#DIV/0!,#DIV/0!
7,16:03:35,1272.5,0,23.53233464,0.529441224,1075.627373,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.018704994,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.895482921,1.53653103,24.95760536,2,4.644859791,1,9.289719582,25.82281494,24.95760536,25.07112122,1200.299438,1178.41748,11.19518471,16.37053108,33.48851395,48.96969223,300.124054,1498.749023,0.701218307,99.88183594,-1.047437668,0.148589253,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50062027,0.007895483,298.1076054,298.9728149,239.7998384,-0.393627576,3.17164973,31.75401914,15.38348806,25.39021015,3.254405765,0.50089418,1.6351187,1.619287065,0.3155043,107.4356368,0.912772757,53.03630675,1174.997716,0.010621877,0,1311.539325,0,#DIV/0!,#DIV/0!
8,16:06:35,1452.5,0,23.9559138,0.506204554,1458.177822,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.019021823,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.654090507,1.554447808,24.95858192,2,4.644859791,1,9.289719582,25.84043503,24.95858192,25.07278252,1599.844727,1575.843262,11.17438221,16.19234276,33.39276505,48.38809967,300.1280212,1499.2323,0.729304969,99.88589478,-4.553297043,0.149191976,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500640106,0.007654091,298.1085819,298.990435,239.8771626,-0.349997634,3.171834453,31.75457816,15.5622354,25.39950848,3.256205022,0.480046425,1.617386645,1.638818377,0.302274396,145.6513965,0.925331762,52.38309133,1572.361942,0.00798089,0,1311.962235,0,#DIV/0!,#DIV/0!
