OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Aug 27 2014 16:47:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:47:46 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:50:50,198,0,13.8626917,0.117483336,188.383704,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.011340135,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.645129415,2.255395638,24.89289474,2,4.644859791,1,9.289719582,25.07250404,24.89289474,25.07999992,399.6731873,389.7495117,7.208238125,8.954914093,22.78730202,28.30904388,300.1635742,1497.706909,0.632458389,100.9540253,2.902086258,0.151263788,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500817871,0.002645129,298.0428947,298.222504,239.6331001,0.499826646,3.159430262,31.29573341,22.34081932,24.98269939,3.176399401,0.116016127,0.904034624,2.272364777,0.072640487,19.01809322,0.483345581,28.05750071,387.7349586,0.010031401,0,1310.627382,0,#DIV/0!,#DIV/0!
2,16:53:50,378,0,2.174681911,0.17853679,26.59679422,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.002421765,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.860429196,2.179205822,24.89285278,2,4.644859791,1,9.289719582,25.06295395,24.89285278,25.07968521,49.28459549,47.71300507,7.16259861,9.709620476,22.65571022,30.71208382,300.1894836,1498.013672,0.700274289,100.953125,1.935949326,0.137145594,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500947418,0.003860429,298.0428528,298.2129539,239.6821821,0.285341906,3.159422351,31.29593414,21.58631367,24.97790337,3.175491153,0.175170237,0.98021653,2.195274623,0.109778965,2.685029491,0.557432804,30.90924299,47.39697609,0.014181869,0,1310.895826,0,#DIV/0!,#DIV/0!
3,16:56:50,558,0,5.408072124,0.212256127,52.15658381,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.004888687,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.491447588,2.139790524,24.89529991,2,4.644859791,1,9.289719582,25.05260277,24.89529991,25.07980156,100.1735458,96.28252411,7.142615795,10.10463428,22.60641479,31.98122025,300.2049561,1497.899658,0.46682626,100.9530029,2.294713974,0.143695429,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50102478,0.004491448,298.0452999,298.2026028,239.66394,0.17344138,3.159883698,31.3005419,21.19590762,24.97395134,3.174742908,0.207514728,1.020093175,2.154649734,0.130114516,5.265363758,0.541703536,32.39571196,95.49661262,0.018346027,0,1310.796054,0,#DIV/0!,#DIV/0!
4,16:59:50,738,0,10.73706135,0.208009128,104.1503745,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.008951325,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.416000305,2.145881283,24.8916111,2,4.644859791,1,9.289719582,25.03369713,24.8916111,25.08346939,201.1977539,193.4747162,7.12488699,10.03760433,22.57529831,31.80427933,300.1784058,1498.371948,0.661530912,100.9510803,2.714468002,0.145451143,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500892029,0.004416,298.0416111,298.1836971,239.7395064,0.186349159,3.159188284,31.2942494,21.25664506,24.96265411,3.172604833,0.203453534,1.013307001,2.159297832,0.127560051,10.51409282,0.538315169,32.16057456,191.9143857,0.017992922,0,1311.20935,0,#DIV/0!,#DIV/0!
5,17:02:50,918,0,18.59184345,0.190660577,216.802179,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.014934118,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.102581003,2.171236977,24.90296745,2,4.644859791,1,9.289719582,24.99435616,24.90296745,25.08175278,399.5709839,386.1257629,7.100515366,9.807654381,22.55088425,31.14862251,300.1208496,1499.143921,0.507515788,100.9510117,2.840475082,0.144335344,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500604248,0.004102581,298.0529675,298.1443562,239.863022,0.239780408,3.161329609,31.3154822,21.50782782,24.9486618,3.16995844,0.186826189,0.990092632,2.179865808,0.117104914,21.8863993,0.56148074,31.28727714,383.4239603,0.015170887,0,1311.884895,0,#DIV/0!,#DIV/0!
6,17:05:50,1098,0,24.75126755,0.147123747,487.131633,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.019631985,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.262753093,2.228041957,24.89489937,2,4.644859791,1,9.289719582,24.99727631,24.89489937,25.07987785,800.9863281,782.7927246,7.076417923,9.230331421,22.46935272,29.3085537,300.164032,1498.932251,0.698329568,100.9461288,1.604330063,0.151187494,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50082016,0.003262753,298.0448994,298.1472763,239.8291548,0.388201267,3.159808181,31.30192527,22.07159385,24.94608784,3.169471831,0.144830035,0.931766225,2.237705606,0.090722091,49.17405259,0.622299643,29.15154525,779.1958226,0.00926003,0,1311.699665,0,#DIV/0!,#DIV/0!
7,17:08:49,1276.5,0,26.09402956,0.098097804,716.4849192,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.020654962,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.250889768,2.294004126,24.87997437,2,4.644859791,1,9.289719582,24.98789978,24.87997437,25.08781815,1200.239868,1181.080566,7.062307358,8.549369812,22.43619156,27.16043091,300.1415405,1498.983276,0.651832044,100.9420929,-0.90848732,0.149767473,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500707703,0.00225089,298.0299744,298.1378998,239.8373189,0.566872716,3.156995408,31.27531159,22.72594178,24.93393707,3.167175606,0.097072733,0.862991282,2.304184324,0.060761729,72.32348727,0.606635093,26.6342612,1177.288532,0.005903355,0,1311.744317,0,#DIV/0!,#DIV/0!
8,17:11:49,1457,0,26.79954839,0.066056252,881.6007428,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.021188798,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.554772502,2.345763561,24.89753342,2,4.644859791,1,9.289719582,24.99591827,24.89753342,25.08155441,1600.839478,1581.344604,7.041473389,8.069067001,22.36021233,25.6233387,300.1628113,1499.26709,0.601466835,100.9461517,-4.500040054,0.148052767,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500814056,0.001554773,298.0475334,298.1459183,239.882729,0.689333993,3.160304823,31.30683804,23.23777104,24.94672585,3.16959244,0.065589863,0.814541262,2.355051178,0.041035313,88.99420235,0.557500712,24.81802694,1577.450042,0.004216374,0,1311.992679,0,#DIV/0!,#DIV/0!
