OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Aug 28 2014 13:58:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:58:51 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:01:54,194.5,0,4.725763745,0.047368262,224.5443066,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.004364181,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.04931328,2.200036106,24.91661072,2,4.644859791,1,9.289719582,25.72310257,24.91661072,25.07441139,399.3371277,395.9111633,8.862570763,9.555125237,26.93305969,29.03770828,300.1314697,1499.317749,0.763214648,100.8744202,2.719403267,0.143928736,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500657349,0.001049313,298.0666107,298.8731026,239.8908345,0.810917076,3.163903824,31.36477829,21.80965306,25.31985664,3.240820251,0.047127957,0.963867718,2.276952533,0.029476469,22.65077673,0.567158311,29.37222933,395.2244062,0.003512086,0,1311.990576,0,#DIV/0!,#DIV/0!
2,14:04:53,373.5,0,0.340481451,0.103487386,41.75755275,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.001021853,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.197744793,2.120916318,24.91134262,2,4.644859791,1,9.289719582,25.74278831,24.91134262,25.07732582,48.92007065,48.62203598,8.880778313,10.32987213,26.95622063,31.35471916,300.1934509,1499.115723,0.68671304,100.8718491,1.812062263,0.138268679,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500967255,0.002197745,298.0613426,298.8927883,239.8585103,0.609478969,3.162909621,31.35572164,21.02584951,25.32706547,3.242210018,0.102347239,1.041993302,2.200216716,0.064068492,4.212161558,0.858819503,32.27125298,48.57255656,0.002262134,0,1311.813791,0,#DIV/0!,#DIV/0!
3,14:07:53,554,0,2.618376803,0.135171871,64.22683274,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.00275843,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.804527598,2.078543383,24.92048645,2,4.644859791,1,9.289719582,25.75277519,24.92048645,25.07535172,100.2668304,98.33805084,8.91836834,10.76728344,27.05370712,32.66235352,300.1036072,1499.04541,0.760319829,100.8696442,2.189091682,0.144631594,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500518036,0.002804528,298.0704865,298.9027752,239.8472603,0.502504658,3.164635432,31.37351637,20.60623293,25.33663082,3.244054898,0.133233235,1.086092049,2.157962849,0.083442803,6.478537765,0.653122898,33.86822277,97.95754327,0.009052878,0,1311.752263,0,#DIV/0!,#DIV/0!
4,14:10:53,733.5,0,5.698123001,0.134930609,122.4043837,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.005106147,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.795638511,2.07553491,24.91915894,2,4.644859791,1,9.289719582,25.74549484,24.91915894,25.07513237,200.3208771,196.1586914,8.952171326,10.79485703,27.16738701,32.75943375,300.155365,1499.072876,0.529791415,100.8674698,2.544102669,0.150521487,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500776825,0.002795639,298.0691589,298.8954948,239.8516548,0.503815243,3.164384825,31.37170816,20.57685114,25.33232689,3.243224681,0.132998837,1.088849915,2.154374766,0.083295699,12.34662048,0.624006935,33.95615201,195.3306292,0.009905581,0,1311.776298,0,#DIV/0!,#DIV/0!
5,14:13:52,912.5,0,8.690792412,0.096490787,237.9365397,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.007387566,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.050563678,2.120734198,24.91108131,2,4.644859791,1,9.289719582,25.74578857,24.91108131,25.07169724,400.5003662,394.170105,8.979050636,10.33144665,27.24898529,31.35313988,300.1159973,1499.066528,0.841675222,100.8693314,2.763585091,0.151578158,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500579987,0.002050564,298.0610813,298.8957886,239.8506392,0.635544009,3.162860314,31.35601546,21.02456881,25.32843494,3.242474094,0.095498856,1.042126115,2.200347979,0.059775118,24.00049967,0.603639233,32.22546602,392.9071422,0.007128016,0,1311.770743,0,#DIV/0!,#DIV/0!
6,14:16:51,1092,0,10.72914266,0.054587969,454.9221144,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.008940891,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.195827096,2.176939174,24.91931915,2,4.644859791,1,9.289719582,25.75161934,24.91931915,25.07357407,800.7415771,792.960144,9.000540733,9.789600372,27.30491257,29.69867897,300.1345825,1499.161621,0.755465508,100.8698883,1.435704231,0.150692195,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500672913,0.001195827,298.0693192,298.9016193,239.865854,0.786175501,3.16441507,31.37125581,21.58165544,25.33546925,3.243830815,0.054269074,0.987475896,2.256354919,0.033946679,45.88794287,0.57370111,30.17040025,791.4009643,0.004090247,0,1311.853955,0,#DIV/0!,#DIV/0!
7,14:19:49,1269.5,0,11.45999277,0.034382701,625.3574946,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.009495099,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.763722682,2.202909,24.91674995,2,4.644859791,1,9.289719582,25.73693085,24.91674995,25.07298088,1200.991455,1192.748657,9.023161888,9.52718544,27.39781189,28.92822266,300.1631775,1499.620117,0.677993774,100.87146,-1.137415886,0.15015623,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500815887,0.000763723,298.06675,298.8869308,239.9392134,0.862086579,3.163930104,31.36595927,21.83877383,25.3268404,3.24216662,0.034255915,0.961021105,2.281145516,0.021421302,63.08072348,0.524299475,29.18306546,1191.083269,0.002807845,0,1312.255166,0,#DIV/0!,#DIV/0!
8,14:22:47,1448,0,12.84509908,0.027941323,811.8491567,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.010548643,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.623218371,2.210602364,24.91754913,2,4.644859791,1,9.289719582,25.71361732,24.91754913,25.07618904,1601.52124,1592.299805,9.041009903,9.452404022,27.49000359,28.74088669,300.1148682,1499.900513,0.857157648,100.8715439,-4.877772331,0.152282923,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500574341,0.000623218,298.0675491,298.8636173,239.9840767,0.885926364,3.164080952,31.36742861,21.91502459,25.31558323,3.239996638,0.027857534,0.953478587,2.286518051,0.017418467,81.89247784,0.509859484,28.89267072,1590.43313,0.00233351,0,1312.500528,0,#DIV/0!,#DIV/0!
