OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Sep  2 2014 19:28:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""19:28:29 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19:31:31,185.5,0,4.029317956,0.038888587,220.2065466,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.003833124,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.814697294,2.091003428,24.8994236,2,4.644859791,1,9.289719582,25.7105217,24.8994236,25.07481384,399.8607178,396.9602661,10.00024605,10.53740215,30.60490036,32.24881744,300.1408691,1499.405762,0.416467488,101.510582,2.753732681,0.145820752,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500704346,0.000814697,298.0494236,298.8605217,239.9049165,0.852545779,3.160661253,31.13627359,20.59887144,25.30497265,3.237952457,0.03872647,1.069657825,2.168294632,0.024218557,22.3532947,0.55473196,32.71666974,396.3747178,0.003325789,0,1312.067592,0,#DIV/0!,#DIV/0!
2,19:34:29,363.5,0,-0.195880784,0.050859197,53.73279613,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.000612697,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.054344748,2.071613496,24.89502335,2,4.644859791,1,9.289719582,25.71056557,24.89502335,25.07415581,49.16176224,49.25767136,10.0253582,10.7203207,30.68144798,32.8082962,300.1721191,1499.813965,0.591778517,101.5098419,1.865808487,0.14750208,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500860596,0.001054345,298.0450233,298.8605656,239.970229,0.810763619,3.159831555,31.12832702,20.40800632,25.30279446,3.237532957,0.050582271,1.08821806,2.149314897,0.031638683,5.454407641,1.090851326,33.40258756,49.28613713,-0.001327539,0,1312.424794,0,#DIV/0!,#DIV/0!
3,19:37:28,543,0,1.274025384,0.066724874,66.06167224,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.001732839,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.364248632,2.046465864,24.89117813,2,4.644859791,1,9.289719582,25.69952202,24.89117813,25.07352448,100.4640503,99.52459717,10.06134033,10.96047401,30.81298065,33.56658554,300.1324158,1499.685181,0.524944901,101.5139313,2.260095596,0.144993916,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500662079,0.001364249,298.0411781,298.849522,239.9496235,0.755716916,3.15910667,31.11993231,20.1594583,25.29535007,3.236099595,0.06624903,1.112640806,2.123458789,0.041448134,6.706180055,0.663772315,34.29973544,99.33945334,0.00439893,0,1312.3121,0,#DIV/0!,#DIV/0!
4,19:40:27,721.5,0,3.531890135,0.079671436,121.7559152,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.003453599,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.613306021,2.029285715,24.90896416,2,4.644859791,1,9.289719582,25.73330879,24.90896416,25.07707977,200.9973297,198.4308777,10.10032272,11.16320705,30.86920166,34.11765289,300.1824951,1499.582764,0.858131647,101.509819,2.622659683,0.14532198,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500912476,0.001613306,298.0589642,298.8833088,239.9332368,0.712481438,3.162460843,31.15423585,19.99102879,25.32113647,3.241066948,0.07899396,1.133175128,2.10789182,0.049431648,12.35942092,0.613593593,35.00244706,197.9176166,0.006246276,0,1312.222479,0,#DIV/0!,#DIV/0!
5,19:43:26,900.5,0,7.563592808,0.085067358,240.7522609,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.006524749,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.712833342,2.018904852,24.90762138,2,4.644859791,1,9.289719582,25.70921707,24.90762138,25.07426262,399.9303589,394.4403992,10.13437653,11.26282024,31.0179863,34.47178268,300.1553345,1499.875244,0.626639366,101.5112228,2.822885513,0.149013653,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500776672,0.001712833,298.0576214,298.8592171,239.9800337,0.694076618,3.162207508,31.15130938,19.88848913,25.30841923,3.238616334,0.084295452,1.143302656,2.095313678,0.052753469,24.4390564,0.610364104,35.36379366,393.3412432,0.006800134,0,1312.478417,0,#DIV/0!,#DIV/0!
6,19:46:25,1079.5,0,12.96007722,0.07722329,500.4861191,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.010635807,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.561466923,2.025876681,24.90617752,2,4.644859791,1,9.289719582,25.72423744,24.90617752,25.07474899,801.4356079,791.9748535,10.1622324,11.19115543,31.07638931,34.22286606,300.1181335,1499.96228,0.677014053,101.5139542,1.614877701,0.147247449,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500590668,0.001561467,298.0561775,298.8742374,239.9939595,0.721573713,3.16193512,31.14778797,19.95663254,25.31520748,3.239924229,0.076586643,1.13605844,2.103865789,0.047923446,50.80632495,0.631946983,35.0831739,790.0914701,0.005754785,0,1312.554578,0,#DIV/0!,#DIV/0!
7,19:49:24,1259,0,15.4778719,0.058512601,732.0479139,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.012555933,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.198693705,2.048647032,24.91387558,2,4.644859791,1,9.289719582,25.72716522,24.91387558,25.07637978,1200.48584,1189.223022,10.19111252,10.98103809,31.15963173,33.5748558,300.1626587,1499.736938,0.66248548,101.5150452,-0.952749252,0.149343625,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500813293,0.001198694,298.0638756,298.8771652,239.9579048,0.785163623,3.16338761,31.16176135,20.18072325,25.3205204,3.240948193,0.058146358,1.114740578,2.126207615,0.036374202,74.31387704,0.615568232,34.25892116,1186.973748,0.004467287,0,1312.357391,0,#DIV/0!,#DIV/0!
8,19:52:22,1436.5,0,17.16450498,0.045051533,936.2880698,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.013841351,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.931042435,2.063876583,24.91370392,2,4.644859791,1,9.289719582,25.73872375,24.91370392,25.07488441,1602.784912,1590.361206,10.21684837,10.83050346,31.21747208,33.09249115,300.1551819,1499.712646,0.52977699,101.5168533,-4.593618393,0.148305073,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500775909,0.000931042,298.0637039,298.8887238,239.9540181,0.832871675,3.163355215,31.16088719,20.33038373,25.32621384,3.242045808,0.044834105,1.099478632,2.142567176,0.028040769,95.04901866,0.588726678,33.67914884,1587.866827,0.003640645,0,1312.336134,0,#DIV/0!,#DIV/0!
