OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Sep  3 2014 15:32:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:32:07 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:35:08,186.5,0,3.808174405,0.036727375,220.4348757,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.003659655,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.778815935,2.117656027,24.88575745,2,4.644859791,1,9.289719582,25.90461922,24.88575745,25.07222939,400.1572266,397.4135132,9.729804993,10.243433,29.4540329,31.00888252,300.1542664,1501.449097,0.708006859,101.570343,2.870241165,0.145308241,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500771332,0.000778816,298.0357574,299.0546192,240.2318501,0.869740756,3.15808503,31.09258999,20.84915699,25.39518833,3.255368952,0.036582743,1.040429003,2.214939948,0.022877165,22.38964594,0.554673831,31.79942452,396.8601019,0.003051397,0,1313.83259,0,#DIV/0!,#DIV/0!
2,15:38:06,364.5,0,-0.077645494,0.053513155,50.0193697,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.000701697,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.120518091,2.094685809,24.88100433,2,4.644859791,1,9.289719582,25.87303162,24.88100433,25.07147217,49.34442902,49.35931396,9.721538544,10.46040344,29.48513603,31.72609138,300.1352539,1502.168213,0.597596705,101.5738678,1.862352371,0.144749388,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50067627,0.001120518,298.0310043,299.0230316,240.3469087,0.808724884,3.157189446,31.08269395,20.6222905,25.37701797,3.251854525,0.05320666,1.062503636,2.189350889,0.033281564,5.080660845,1.013372466,32.6341704,49.37059756,-0.00051324,0,1314.461848,0,#DIV/0!,#DIV/0!
3,15:41:05,544,0,1.509675621,0.0695164,61.4766154,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.001914584,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.439254607,2.074580549,24.88402557,2,4.644859791,1,9.289719582,25.83544922,24.88402557,25.07164574,100.2242355,99.12324524,9.714622498,10.66340351,29.53132629,32.41551208,300.1550903,1497.980347,0.728343546,101.5790253,2.226182938,0.146952376,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500775452,0.001439255,298.0340256,298.9854492,239.6768501,0.747986113,3.157758684,31.08671968,20.42331617,25.3597374,3.248515271,0.069000062,1.083178135,2.165337136,0.043171133,6.244734669,0.62020382,33.39981149,98.90385626,0.005098171,0,1310.820271,0,#DIV/0!,#DIV/0!
4,15:44:04,723,0,3.796775749,0.068213751,103.1023179,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.003658372,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.415021595,2.078173519,24.88887024,2,4.644859791,1,9.289719582,25.82917976,24.88887024,25.07314873,200.4589996,197.742157,9.70479393,10.63780403,29.51023483,32.34732056,300.0972595,1498.388794,0.571448743,101.5715408,2.657411575,0.14262937,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500486298,0.001415022,298.0388702,298.9791798,239.7422017,0.752008195,3.158671665,31.0979989,20.46019487,25.359025,3.248377674,0.067716514,1.080498147,2.167879527,0.042367216,10.47226129,0.521397761,33.29495346,197.1904022,0.006410731,0,1311.177686,0,#DIV/0!,#DIV/0!
5,15:47:03,902,0,6.420021675,0.0534861,193.5454836,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.005659268,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.122783807,2.099771718,24.89530754,2,4.644859791,1,9.289719582,25.81731606,24.89530754,25.07602692,401.0756836,396.5007019,9.697440147,10.43785477,29.50650597,31.75937271,300.1195068,1498.331299,0.700253189,101.5643005,2.758638382,0.150351271,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500597534,0.001122784,298.0453075,298.9673161,239.7330025,0.802648347,3.159885137,31.11216362,20.67430886,25.3563118,3.247853673,0.053179914,1.060113419,2.187740255,0.03326482,19.65731167,0.488134025,32.52778115,395.5677319,0.005279224,0,1311.127374,0,#DIV/0!,#DIV/0!
6,15:50:01,1079.5,0,9.504410701,0.040067616,393.3148141,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.008011669,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.848296732,2.115082865,24.88030243,2,4.644859791,1,9.289719582,25.80387688,24.88030243,25.07265663,801.2250366,794.4430542,9.699022293,10.25845718,29.53713989,31.24082756,300.1580811,1498.34436,0.693472385,101.5722275,1.481233597,0.146069273,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500790405,0.000848297,298.0303024,298.9538769,239.7350923,0.851117845,3.157057211,31.08189403,20.82343685,25.34208965,3.245108159,0.039895542,1.041974347,2.203133813,0.024950116,39.94986177,0.495082451,31.88436328,793.0618549,0.003821166,0,1311.138804,0,#DIV/0!,#DIV/0!
7,15:52:59,1257.5,0,12.32786822,0.035748267,607.6088754,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.010165147,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.759222711,2.120738479,24.87938881,2,4.644859791,1,9.289719582,25.82042885,24.87938881,25.07336617,1200.682129,1191.86499,9.700643539,10.20136166,29.51230431,31.03564072,300.1599426,1498.338745,0.674121201,101.5694427,-0.950040817,0.146750197,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500799713,0.000759223,298.0293888,298.9704288,239.7341939,0.867621213,3.156885098,31.08105167,20.87969001,25.34990883,3.246617361,0.03561123,1.036146619,2.210470742,0.02226929,61.71449488,0.509796731,31.66888777,1190.073481,0.003280553,0,1311.13389,0,#DIV/0!,#DIV/0!
8,15:55:57,1435.5,0,15.04707654,0.033798328,834.5354329,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.012240211,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.718072123,2.120955887,24.87201881,2,4.644859791,1,9.289719582,25.8045826,24.87201881,25.07168198,1601.209717,1590.421875,9.71261692,10.1862402,29.57449722,31.01666069,300.1362915,1498.200684,0.708028913,101.5626068,-4.684904099,0.146850333,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500681458,0.000718072,298.0220188,298.9545826,239.712104,0.874397052,3.155496995,31.06947619,20.883236,25.3383007,3.244377064,0.033675807,1.034541108,2.209835956,0.021058353,84.75759404,0.524725827,31.61845424,1588.235205,0.002995559,0,1311.013078,0,#DIV/0!,#DIV/0!
