OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Aug 25 2014 18:05:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""18:05:37 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18:08:40,192.5,0,8.025614948,0.06277073,179.1468549,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.006870162,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.214690081,1.91756781,24.88899994,2,4.644859791,1,9.289719582,25.6883564,24.88899994,25.07385826,399.4875793,393.8214722,11.53451061,12.3338623,35.03939438,37.46765137,300.1703186,1501.291748,0.934668243,100.6277084,2.810747147,0.149148956,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500851593,0.00121469,298.0389999,298.8383564,240.2066743,0.78269713,3.15869611,31.3899239,19.0560616,25.28867817,3.234815439,0.062349434,1.2411283,1.993687139,0.039006029,18.02713749,0.454893569,38.35213452,392.6551743,0.007838925,0,1313.741117,0,#DIV/0!,#DIV/0!
2,18:11:40,372.5,0,1.65209825,0.122555546,25.57840919,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.002018898,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.275031577,1.850684899,24.89105797,2,4.644859791,1,9.289719582,25.69696617,24.89105797,25.07509995,49.67773438,48.50328445,11.50554657,13.00186062,34.93494034,39.47828674,300.1311035,1501.172241,0.782574177,100.6316833,1.889390945,0.142306343,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500655518,0.002275032,298.041058,298.8469662,240.1875532,0.595992983,3.15908402,31.39253876,18.39067814,25.29401207,3.235842031,0.120959773,1.308399121,1.92744291,0.075741627,2.573998374,0.527354167,40.86725782,48.26319834,0.013989277,0,1313.636539,0,#DIV/0!,#DIV/0!
3,18:14:40,552.5,0,4.712070793,0.159412055,47.15073249,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.004348099,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.884732867,1.810797385,24.88503265,2,4.644859791,1,9.289719582,25.70324516,24.88503265,25.07349396,100.5878906,97.2614975,11.49090576,13.38715458,34.87696075,40.63241577,300.1836548,1501.237671,0.754496634,100.630127,2.179872513,0.145550743,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500918274,0.002884733,298.0350327,298.8532452,240.198022,0.489114647,3.15794845,31.3817397,17.99458512,25.29413891,3.235866446,0.156722686,1.347151065,1.888715381,0.098189803,4.744784196,0.484783123,42.33564673,96.57673026,0.020655966,0,1313.693795,0,#DIV/0!,#DIV/0!
4,18:17:40,732.5,0,7.337190297,0.142316257,107.392692,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.00634376,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.611382811,1.83302258,24.89551735,2,4.644859791,1,9.289719582,25.69724655,24.89551735,25.07396889,200.6964722,195.4676971,11.46857357,13.18556213,34.8225441,40.03591156,300.170929,1501.855957,0.850405276,100.6329575,2.589479446,0.152383819,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500854645,0.002611383,298.0455173,298.8472466,240.2969478,0.536942922,3.159924694,31.40049516,18.21493303,25.29638195,3.236298242,0.140168903,1.326902113,1.909396129,0.087795993,10.80724421,0.549414014,41.56412752,194.4014425,0.015687328,0,1314.234841,0,#DIV/0!,#DIV/0!
5,18:20:39,911,0,8.610627406,0.092407585,233.0682449,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.007312693,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.758336763,1.891317832,24.89862061,2,4.644859791,1,9.289719582,25.70749092,24.89862061,25.07325745,399.2380371,393.0397034,11.45527935,12.61219406,34.76076508,38.27139664,300.136261,1501.860962,0.809696376,100.6321335,2.773347855,0.150463119,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500681305,0.001758337,298.0486206,298.8574909,240.2977485,0.687658893,3.160509829,31.40656686,18.7943728,25.30305576,3.23758328,0.091497433,1.269191996,1.968391284,0.057266976,23.45415473,0.592989062,39.41376398,391.7883904,0.008662259,0,1314.239221,0,#DIV/0!,#DIV/0!
6,18:23:37,1089,0,8.936955371,0.04522212,456.351883,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.007565366,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.891378848,1.949730517,24.89665031,2,4.644859791,1,9.289719582,25.70364189,24.89665031,25.07407188,800.0880127,793.6610107,11.44247055,12.02933693,34.72609329,36.50714111,300.121521,1500.993164,0.609218061,100.6213226,1.768831253,0.153952613,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500607605,0.000891379,298.0466503,298.8536419,240.1589009,0.839854065,3.160138309,31.40624896,19.37691203,25.3001461,3.237022972,0.045003046,1.210407792,2.02661518,0.028146505,45.91873006,0.57499597,37.23820754,792.3622751,0.004200051,0,1313.479833,0,#DIV/0!,#DIV/0!
7,18:26:34,1266,0,10.1106696,0.028288694,591.5799861,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.008458412,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.566207174,1.976220464,24.9155674,2,4.644859791,1,9.289719582,25.71006584,24.9155674,25.07535172,1200.774048,1193.586548,11.42988491,11.80272007,34.67121887,35.8021698,300.1457214,1501.089844,0.628596783,100.6112518,-0.952482224,0.155837074,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500728607,0.000566207,298.0655674,298.8600658,240.1743696,0.89666542,3.163706905,31.44486176,19.64214169,25.31281662,3.239463528,0.028202812,1.187486441,2.051977087,0.017634453,59.51960296,0.49563225,36.34789376,1192.117246,0.003082763,0,1313.564435,0,#DIV/0!,#DIV/0!
8,18:29:31,1443.5,0,10.8658972,0.022690983,787.2316723,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.14765549,0.875073828,0.009029685,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.456127671,1.983659489,24.90055466,2,4.644859791,1,9.289719582,25.70991898,24.90055466,25.07434082,1601.103149,1593.380249,11.40049934,11.70081043,34.58184814,35.49280167,300.2157593,1501.700439,0.630535305,100.6097031,-4.710783005,0.152234092,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501078796,0.000456128,298.0505547,298.859919,240.2720649,0.917146134,3.160874552,31.41719393,19.71638349,25.30523682,3.238003337,0.022635693,1.177215063,2.060788273,0.014152265,79.20314479,0.494063908,36.01683606,1591.801196,0.002458569,0,1314.098752,0,#DIV/0!,#DIV/0!
