OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jun 10 2014 16:51:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:51:12 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:54:23,208.5,0,5.053406303,0.070525845,271.7332043,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.004606683,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.153523534,1.626631883,24.8319931,2,4.644859791,1,9.289719582,26.45822906,24.8319931,25.06780052,399.5878906,395.9165344,14.30023384,15.05724812,41.67624283,43.88246536,300.1672974,1501.748413,1.032470465,101.0367737,2.634665489,0.173770651,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500836487,0.001153524,297.9819931,299.6082291,240.2797407,0.831923137,3.147967653,31.15665256,16.09940445,25.64511108,3.304045676,0.06999446,1.52133577,1.782709906,0.043793971,27.45504627,0.686339621,47.50386037,395.1821637,0.006074573,0,1314.048835,0,#DIV/0!,#DIV/0!
2,16:57:22,388,0,-0.896832187,0.081372308,66.04395513,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,7.85135E-05,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.320042601,1.615044199,24.8345623,2,4.644859791,1,9.289719582,26.46754456,24.8345623,25.06688499,49.23836517,49.79211807,14.31099415,15.17717075,41.68344879,44.20635223,300.1716003,1501.707397,1.045032144,101.0337372,1.717432976,0.173994765,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500858002,0.001320043,297.9845623,299.6175446,240.2731782,0.802853805,3.14845048,31.16236782,15.98519706,25.65105343,3.305210745,0.080665725,1.533406281,1.771804464,0.050479088,6.672667605,1.326393768,47.94279319,49.92244746,-0.008612687,0,1314.012946,0,#DIV/0!,#DIV/0!
3,17:00:21,566.5,0,0.262877354,0.095088844,92.74154739,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.00096116,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.529602589,1.603634156,24.86071777,2,4.644859791,1,9.289719582,26.48956871,24.86071777,25.06906319,99.97862244,99.70181274,14.33528423,15.338974,41.69951248,44.61911774,300.120636,1501.589355,0.923996687,101.0325317,2.087283134,0.17463468,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50060318,0.001529603,298.0107178,299.6395687,240.2542915,0.7656528,3.153369533,31.21142744,15.87245344,25.67514324,3.309937526,0.094125384,1.549735377,1.760202149,0.058914174,9.36991333,0.930189179,48.46106872,99.6636109,0.001278232,0,1313.909658,0,#DIV/0!,#DIV/0!
4,17:03:20,745.5,0,2.587754068,0.107524125,154.8006153,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.00273068,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.706741448,1.584384671,24.83422852,2,4.644859791,1,9.289719582,26.48417473,24.83422852,25.06770515,200.165863,198.216217,14.36100864,15.48061371,41.78649139,45.0442276,300.1629944,1501.542236,0.931737065,101.0297852,2.543307304,0.175822005,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500814972,0.001706741,297.9842285,299.6341747,240.2467524,0.735360704,3.148387748,31.16296589,15.68235218,25.65920162,3.306808882,0.106293824,1.564003077,1.742805805,0.06654309,15.63947291,0.780968468,49.06421141,197.8401596,0.006417611,0,1313.868428,0,#DIV/0!,#DIV/0!
5,17:06:19,924.5,0,6.830798538,0.113612023,288.3856913,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.005961374,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.796108374,1.578927083,24.84035301,2,4.644859791,1,9.289719582,26.50343323,24.84035301,25.06674576,399.3388062,394.3160706,14.36832905,15.54634857,41.75949478,45.18323898,300.1962891,1501.223389,0.954015493,101.0277023,2.761172295,0.173302397,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500981445,0.001796108,297.990353,299.6534332,240.1957368,0.720013115,3.149538959,31.17500336,15.62865478,25.67189312,3.309299459,0.112239351,1.570611876,1.738687584,0.070271642,29.13494378,0.731356678,49.2890513,393.3234057,0.008559968,0,1313.589432,0,#DIV/0!,#DIV/0!
6,17:09:18,1103.5,0,13.51175006,0.112026427,578.7148236,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.011046716,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.774443525,1.581643204,24.85633659,2,4.644859791,1,9.289719582,26.51949692,24.85633659,25.06628609,801.1624756,791.2255249,14.38568401,15.54944706,41.76974869,45.14880753,300.207489,1501.316528,1.088649511,101.0262222,1.651614189,0.173573241,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501037445,0.001774444,298.0063366,299.6694969,240.2106392,0.723902773,3.152545098,31.20521612,15.65576906,25.68791676,3.312446275,0.110691577,1.570901894,1.741544381,0.069300938,58.46537238,0.731415766,49.24083125,789.2619713,0.008429771,0,1313.67093,0,#DIV/0!,#DIV/0!
7,17:12:17,1282.5,0,16.31599896,0.108449483,917.5681354,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.013182438,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.722839234,1.58571605,24.85315704,2,4.644859791,1,9.289719582,26.52153397,24.85315704,25.06746864,1199.949951,1187.714233,14.37316608,15.50338554,41.72792053,45.00915146,300.1416016,1501.196289,1.146758676,101.0250854,-0.852536201,0.174259886,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500708008,0.001722839,298.003157,299.671534,240.1914009,0.733163855,3.151946899,31.19964596,15.69626042,25.6873455,3.312334045,0.107198038,1.566230849,1.746103195,0.067110096,92.69739929,0.772549583,49.08243804,1185.343161,0.006756094,0,1313.565719,0,#DIV/0!,#DIV/0!
8,17:15:16,1461.5,0,18.13419879,0.102722366,1265.330596,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.01456723,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.636718319,1.589538217,24.83647919,2,4.644859791,1,9.289719582,26.51732254,24.83647919,25.06583977,1600.980835,1587.16687,14.36089897,15.43463326,41.7023201,44.82031631,300.1592102,1501.132324,1.00921905,101.0242691,-4.446652412,0.178910002,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500796051,0.001636718,297.9864792,299.6673225,240.1811665,0.748876331,3.14881076,31.16885466,15.7342214,25.67690086,3.310282629,0.101598922,1.559272543,1.751010086,0.063599314,127.8290986,0.797225937,48.88032477,1584.531573,0.005594117,0,1313.509749,0,#DIV/0!,#DIV/0!
