OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jun 10 2014 18:03:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""18:03:43 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18:06:47,192,0,14.02865576,0.399061111,321.562894,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.011453839,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.390248968,1.389068675,24.85066414,2,4.644859791,1,9.289719582,26.56769943,24.85066414,25.06639481,398.5672607,387.8259277,13.91007042,17.43933868,40.28743362,50.50917435,300.132843,1499.528564,1.10413754,101.0594101,2.73520565,0.169947371,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500664215,0.005390249,298.0006641,299.7176994,239.9245649,0.087808025,3.151477955,31.18440877,13.74507009,25.70918179,3.316626463,0.382624598,1.76240928,1.554217183,0.240564702,32.49695638,0.829142332,56.68563986,385.7872564,0.020613001,0,1312.106439,0,#DIV/0!,#DIV/0!
2,18:09:47,372,0,-0.339088164,0.418552505,49.58619888,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.000503697,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.605168442,1.379917201,24.85793877,2,4.644859791,1,9.289719582,26.56819916,24.85793877,25.06632042,49.29903412,49.34069443,13.8737278,17.54290962,40.18219757,50.80918121,300.1670532,1499.546509,0.917201459,101.0624466,1.713950157,0.168940291,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500835266,0.005605168,298.0079388,299.7181992,239.927436,0.049621739,3.152846568,31.19701406,13.65410444,25.71306896,3.317391085,0.400507461,1.772929367,1.544461719,0.251878176,5.011302576,1.004975699,57.07347885,49.38997137,-0.003918395,0,1312.122141,0,#DIV/0!,#DIV/0!
3,18:12:47,552,0,2.413198917,0.45161971,87.00870699,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.002600753,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.947111409,1.361376107,24.87154198,2,4.644859791,1,9.289719582,26.56130791,24.87154198,25.06464386,99.93955994,97.94361115,13.85939217,17.75146866,40.15752029,51.43479538,300.1760864,1499.850952,1.205837965,101.0638123,2.075148582,0.165108427,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500880432,0.005947111,298.021542,299.7113079,239.976147,-0.011405772,3.155407203,31.22192932,13.47046066,25.71642494,3.318051343,0.4306821,1.794031096,1.524020247,0.270982251,8.793431628,0.888355105,57.82321703,97.59292042,0.014298058,0,1312.388533,0,#DIV/0!,#DIV/0!
4,18:15:47,732,0,7.21700038,0.478473912,166.3940653,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.006260817,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.199791681,1.343141246,24.86833,2,4.644859791,1,9.289719582,26.54831505,24.86833,25.06578636,201.1246948,195.5086975,13.86928177,17.92592049,40.21694183,51.98003387,300.182251,1499.919556,0.972410083,101.0637741,2.492705345,0.167326674,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500911255,0.006199792,298.01833,299.698315,239.9871235,-0.056363775,3.154802425,31.21595698,13.29003649,25.70832253,3.316457464,0.455036898,1.811661179,1.504796285,0.286414789,16.81641223,0.851082675,58.49100865,194.4599091,0.021707797,0,1312.448562,0,#DIV/0!,#DIV/0!
5,18:18:47,912,0,14.90012963,0.500473031,330.8963967,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.012111468,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.393777854,1.327223814,24.84431267,2,4.644859791,1,9.289719582,26.52611351,24.84431267,25.06685829,400.0031738,388.4199524,13.85508156,18.03859901,40.22860718,52.37556458,300.1513977,1500.3396,1.19324255,101.0643692,2.693419456,0.166594252,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500756989,0.006393778,297.9943127,299.6761135,240.0543306,-0.090228971,3.150283445,31.17105929,13.13246028,25.68521309,3.31191513,0.474888933,1.823059631,1.488855499,0.299002798,33.4418356,0.851903705,59.01496579,386.2546368,0.022765569,0,1312.816105,0,#DIV/0!,#DIV/0!
6,18:21:47,1092,0,20.1204682,0.508313659,701.9053728,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.016089331,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.482434176,1.325911693,24.85889816,2,4.644859791,1,9.289719582,26.52278519,24.85889816,25.06719398,800.867981,784.0757446,13.83739662,18.07839394,40.1858902,52.50238419,300.1766663,1500.207153,0.962723315,101.066246,1.514098167,0.17238687,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500883331,0.006482434,298.0088982,299.6727852,240.0331392,-0.106761873,3.153027102,31.19762756,13.11923362,25.69084167,3.31302097,0.481942778,1.827115409,1.485905561,0.303477458,70.93894109,0.895200977,59.12245868,781.1517993,0.01522843,0,1312.700213,0,#DIV/0!,#DIV/0!
7,18:24:47,1272,0,20.37789117,0.505111522,1090.712595,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.016283583,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.465938171,1.330527051,24.86355591,2,4.644859791,1,9.289719582,26.53450394,24.86355591,25.06633377,1201.305054,1182.631958,13.81054401,18.04112434,40.08082962,52.35877609,300.161438,1500.377563,1.173875332,101.0677948,-1.095887184,0.169686064,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50080719,0.006465938,298.0135559,299.6845039,240.0604048,-0.103413564,3.153903705,31.20582289,13.16469855,25.69902992,3.314630279,0.479063329,1.823376653,1.491253626,0.301650739,110.2359167,0.922275597,58.97877429,1179.670603,0.010188124,0,1312.849324,0,#DIV/0!,#DIV/0!
8,18:27:47,1452,0,19.97713537,0.498834996,1480.928804,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.015981511,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.424057741,1.337692904,24.87829781,2,4.644859791,1,9.289719582,26.55386925,24.87829781,25.06705475,1601.028442,1580.946411,13.79351139,17.9977169,39.985672,52.17313766,300.1013794,1500.078613,1.132240653,101.0676346,-4.391907692,0.169895872,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500506897,0.006424058,298.0282978,299.7038692,240.0125728,-0.09599511,3.156679579,31.23333787,13.23562097,25.71608353,3.317984168,0.473413842,1.818986675,1.498997492,0.298067187,149.6739712,0.936735612,58.76802643,1578.043295,0.0074397,0,1312.587739,0,#DIV/0!,#DIV/0!
9,18:30:47,1632,0,20.25303223,0.490785835,1842.069155,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.016193773,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.342382668,1.341364628,24.86288452,2,4.644859791,1,9.289719582,26.55644798,24.86288452,25.06768799,1973.826416,1952.082031,13.78167725,17.93190956,39.94699097,51.97668076,300.1591797,1499.886963,1.116721749,101.0719299,-8.851380348,0.169195876,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500795898,0.006342383,298.0128845,299.706448,239.9819087,-0.080897202,3.153777334,31.20329588,13.27138631,25.70966625,3.316721751,0.466158198,1.812412707,1.504309044,0.293465753,186.1814845,0.943643313,58.58478189,1949.138821,0.006087404,0,1312.420043,0,#DIV/0!,#DIV/0!
Remark=,"""18:33:29 Warning! Large Deltas in match: CO2=-11.6, H2O=-0.00""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,18:33:47,1811.5,0,13.0020221,0.4839809,335.6698112,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.010668715,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.284728919,1.347050334,24.86241722,2,4.644859791,1,9.289719582,26.56305885,24.86241722,25.067276,398.7196655,388.4286499,13.76048851,17.87364388,39.87258911,51.79092407,300.1295776,1499.906982,1.111886501,101.0783844,2.792754173,0.172707304,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500647888,0.006284729,298.0124172,299.7130589,239.9851118,-0.070392534,3.15368938,31.2004332,13.32678932,25.71273804,3.317325985,0.460014797,1.806639046,1.510686939,0.289570501,33.92896221,0.864173668,58.38041903,386.5391709,0.019637428,0,1312.43756,0,#DIV/0!,#DIV/0!
