OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jun 10 2014 18:37:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""18:37:01 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18:40:06,194,0,10.08341179,0.197593807,301.0816755,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.008446077,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.055618146,1.559063308,24.84293556,2,4.644859791,1,9.289719582,26.59090424,24.84293556,25.06552505,400.4808044,392.9609375,13.73402023,15.73826599,39.73471832,45.53332138,300.1156921,1499.698975,1.235851884,101.0887222,2.686675072,0.175931677,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500578461,0.003055618,297.9929356,299.7409042,239.9518306,0.500930137,3.150024507,31.16098846,15.42272247,25.7169199,3.318148731,0.193478489,1.590961199,1.727187532,0.121287178,30.43596186,0.766187289,50.37339955,391.4955966,0.012974239,0,1312.25555,0,#DIV/0!,#DIV/0!
2,18:43:06,374,0,-0.730277211,0.218837557,53.54986432,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.000205516,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.349532982,1.546539176,24.85958099,2,4.644859791,1,9.289719582,26.58312035,24.85958099,25.06610107,49.01235199,49.38873672,13.69556236,15.89204311,39.64434433,46.00246429,300.1439514,1499.881714,0.931720316,101.0956497,1.707224846,0.17353414,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500719757,0.003349533,298.009581,299.7331203,239.9810689,0.448107908,3.1531556,31.18982477,15.29778166,25.72135067,3.319020642,0.213801054,1.606616424,1.712404218,0.134069211,5.413658326,1.084252562,50.92622525,49.49486202,-0.007513964,0,1312.41545,0,#DIV/0!,#DIV/0!
3,18:46:06,554,0,1.485580878,0.246188343,86.99139897,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.001893885,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.709148266,1.526599586,24.86834335,2,4.644859791,1,9.289719582,26.57942581,24.86834335,25.0657444,100.3950043,99.16001129,13.67296505,16.10473824,39.5896492,46.63077164,300.1442261,1499.89209,0.996617198,101.1010132,2.101763725,0.171258673,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50072113,0.003709148,298.0183434,299.7294258,239.982729,0.384144166,3.154804938,31.2044839,15.09974567,25.72388458,3.319519369,0.239832504,1.628205353,1.691314017,0.150453677,8.794918574,0.877283068,51.71750499,98.94412381,0.007765043,0,1312.424529,0,#DIV/0!,#DIV/0!
4,18:49:06,734,0,5.477176977,0.26957513,158.7669694,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.004935357,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.005452175,1.509092163,24.87148476,2,4.644859791,1,9.289719582,26.59452438,24.87148476,25.06703949,200.5837555,196.4100037,13.6581974,16.28364944,39.51198578,47.10719299,300.1562195,1499.86731,1.033442974,101.1016769,2.515398979,0.171680197,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500781097,0.004005452,298.0214848,299.7445244,239.9787642,0.332448671,3.155396428,31.21012948,14.92648004,25.73300457,3.321314915,0.261973026,1.646304266,1.67501065,0.164399584,16.05160684,0.808344618,52.3924144,195.6140497,0.014669832,0,1312.402846,0,#DIV/0!,#DIV/0!
5,18:52:06,914,0,12.76998445,0.285984469,309.0244708,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.010492633,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.201307727,1.494572454,24.86206627,2,4.644859791,1,9.289719582,26.59049797,24.86206627,25.06753159,400.3963318,390.7935181,13.65589428,16.40935135,39.51560211,47.48318863,300.1584473,1499.804443,1.054729104,101.1039886,2.719042778,0.169812903,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500792236,0.004201308,298.0120663,299.740498,239.9687056,0.298124459,3.153623327,31.19187847,14.78252712,25.72628212,3.319991315,0.277443362,1.659050872,1.660940443,0.174149758,31.24360659,0.790761506,52.90221161,388.9377593,0.017369371,0,1312.347837,0,#DIV/0!,#DIV/0!
6,18:55:06,1094,0,19.79967517,0.293935487,657.1635392,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.015850489,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.283935663,1.484003618,24.83483124,2,4.644859791,1,9.289719582,26.58733559,24.83483124,25.06592941,800.5669556,785.1325684,13.65533638,16.46287537,39.52217865,47.6479454,300.1496887,1499.68335,0.993700385,101.1061172,1.717455864,0.172475561,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500748444,0.004283936,297.9848312,299.7373356,239.9493306,0.284578634,3.148501025,31.14055915,14.67768378,25.71108341,3.317000501,0.284920339,1.664497407,1.652503094,0.178863802,66.44325385,0.837009654,53.19798929,782.2552413,0.013464952,0,1312.241878,0,#DIV/0!,#DIV/0!
7,18:58:06,1274,0,21.70652577,0.291229244,1034.361728,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.017304353,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.253080605,1.486571361,24.84433174,2,4.644859791,1,9.289719582,26.59672928,24.84433174,25.0652523,1201.241089,1183.423706,13.66791248,16.45521927,39.53651047,47.59922028,300.1531982,1499.619263,1.128360271,101.1056519,-0.899487495,0.171859488,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500765991,0.004253081,297.9943317,299.7467293,239.9390767,0.289978726,3.150287031,31.15836725,14.70314798,25.72053051,3.318859232,0.282376835,1.663715671,1.655143561,0.177260064,104.5798167,0.874041751,53.13010945,1180.269272,0.009771246,0,1312.185801,0,#DIV/0!,#DIV/0!
8,19:01:06,1454,0,21.41674528,0.286604458,1423.559128,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.017080871,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.196726006,1.489955626,24.84710503,2,4.644859791,1,9.289719582,26.59304237,24.84710503,25.06673431,1601.118042,1582.422119,13.67518139,16.42568398,39.56907272,47.5276413,300.1481934,1499.851318,0.970475137,101.1131668,-4.567578316,0.174653754,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500740967,0.004196726,297.997105,299.7430424,239.9762056,0.29976434,3.15080855,31.16120926,14.73552528,25.7200737,3.318769333,0.278026833,1.660852924,1.657916409,0.174517583,143.9405716,0.899607703,53.00914232,1579.309796,0.007188478,0,1312.388853,0,#DIV/0!,#DIV/0!
