OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun 11 2014 15:20:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:20:31 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:23:35,194,0,13.75468674,0.095200511,145.7830886,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.011251425,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.231998221,2.355639095,26.85790062,2,4.644859791,1,9.289719582,27.76099777,26.85790062,27.03181839,398.846283,389.1019592,10.25357056,11.72345352,27.8996563,31.89916229,300.1370239,1498.651367,0.986932516,101.8264847,2.765953064,0.160452381,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50068512,0.002231998,300.0079006,300.9109978,239.7842134,0.606709461,3.549397156,34.85730817,23.13385464,27.3094492,3.644728232,0.094234799,1.19375806,2.450970172,0.058982758,14.84457943,0.374665522,32.73940311,387.1031016,0.011633083,0,1311.361599,0,#DIV/0!,#DIV/0!
2,15:26:34,373,0,1.694113162,0.111141078,22.19486388,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.002054127,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.564875069,2.322497376,26.80132294,2,4.644859791,1,9.289719582,27.73726654,26.80132294,27.02895546,49.35634232,48.14528656,10.24475574,11.93332291,27.91391563,32.51475525,300.1678162,1498.879517,0.933673263,101.8249435,1.79119873,0.158672825,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500839081,0.002564875,299.9513229,300.8872665,239.8207173,0.549755553,3.537607307,34.74205027,22.80872736,27.26929474,3.636161231,0.109827119,1.215109931,2.421051299,0.068758803,2.259990761,0.460997648,33.57429554,47.89909476,0.011874683,0,1311.561236,0,#DIV/0!,#DIV/0!
3,15:29:34,553.5,0,4.650252069,0.131794595,37.23838677,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.004308549,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.002828396,2.297482717,26.82502174,2,4.644859791,1,9.289719582,27.74281311,26.82502174,27.032341,100.146225,96.85253143,10.25083828,12.22802734,27.92010689,33.30535507,300.0329895,1498.700684,0.950141251,101.8200912,2.158149719,0.159878269,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500164948,0.003002828,299.9750217,300.8928131,239.792104,0.47165599,3.542541577,34.79216659,22.56413925,27.28391743,3.639278962,0.129950962,1.24505886,2.394220102,0.081383002,3.791615939,0.384485426,34.51355142,96.17674782,0.016687684,0,1311.404752,0,#DIV/0!,#DIV/0!
4,15:32:34,733.5,0,10.32564621,0.158287607,82.33289211,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.008636947,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.530831559,2.255252086,26.7971344,2,4.644859791,1,9.289719582,27.748806,26.7971344,27.03282738,200.5520325,193.2181702,10.26319408,12.5859623,27.94354057,34.2677269,300.1929016,1498.583374,1.088621378,101.8184967,2.548225403,0.158885494,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500964508,0.003530832,299.9471344,300.898806,239.7733345,0.380163089,3.536735846,34.73569106,22.14972877,27.2729702,3.636944663,0.155635728,1.281483761,2.355460903,0.097507159,8.383011304,0.426113611,35.78238918,191.7176273,0.0192719,0,1311.302103,0,#DIV/0!,#DIV/0!
5,15:35:34,913.5,0,16.38684193,0.175879535,226.5347615,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.013255272,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.874504426,2.231046261,26.79680061,2,4.644859791,1,9.289719582,27.74189186,26.79680061,27.03345871,400.9697266,389.0493164,10.2754364,12.82337856,27.98737717,34.92724991,300.2281799,1499.029663,1.092532873,101.8156128,2.79221344,0.159946933,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.5011409,0.003874504,299.9468006,300.8918919,239.8447407,0.319606437,3.536666407,34.73599294,21.91261438,27.26934624,3.636172207,0.172611532,1.305620146,2.33055206,0.108171133,23.06477556,0.582277752,36.58074519,386.6679489,0.015502782,0,1311.692618,0,#DIV/0!,#DIV/0!
6,15:38:34,1093.5,0,19.8636537,0.176272215,577.9944053,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.015908451,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.883672232,2.231368766,26.81304169,2,4.644859791,1,9.289719582,27.74994087,26.81304169,27.03056717,800.9189453,785.6494141,10.29872322,12.85338116,28.03768539,34.99259186,300.1383362,1498.789429,1.019866943,101.815834,1.622108459,0.16305019,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500691681,0.003883672,299.9630417,300.8999409,239.8063032,0.317458757,3.540046488,34.76911545,21.91573429,27.28149128,3.638761517,0.172989739,1.308677723,2.330083794,0.108408782,58.84898245,0.735689985,36.63271995,782.7627895,0.009296043,0,1311.482407,0,#DIV/0!,#DIV/0!
7,15:41:34,1273.5,0,21.44008525,0.16149985,930.0216525,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.017111373,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.597665257,2.252797367,26.82953453,2,4.644859791,1,9.289719582,27.75835228,26.82953453,27.03007317,1200.95105,1183.825439,10.30939293,12.67644882,28.05340958,34.49452591,300.1246948,1498.710693,0.865859449,101.8175125,-0.65511322,0.163467899,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500623474,0.003597665,299.9795345,300.9083523,239.7937056,0.36740965,3.543481854,34.80228269,22.12583387,27.29394341,3.641417968,0.158740185,1.290684487,2.350733481,0.099456918,94.69249124,0.785607085,35.99102136,1180.709725,0.006535481,0,1311.413511,0,#DIV/0!,#DIV/0!
8,15:44:34,1453.5,0,23.42967565,0.140409967,1260.878166,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.018628037,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.170677405,2.278805911,26.81988144,2,4.644859791,1,9.289719582,27.78051949,26.81988144,27.02848625,1602.322388,1583.366333,10.3152914,12.40169239,28.03215981,33.70202637,300.1681519,1498.748535,0.953037918,101.8139191,-4.212242126,0.167706981,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500840759,0.003170677,299.9698814,300.9305195,239.7997603,0.444130738,3.541470817,34.78375893,22.38206654,27.30020046,3.642753444,0.138319332,1.262664905,2.380088539,0.086635013,128.3749475,0.796327508,35.0801348,1579.961487,0.005202128,0,1311.446624,0,#DIV/0!,#DIV/0!
