OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun 11 2014 15:56:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:56:04 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:59:11,196.5,0,11.44708268,0.083341227,159.288919,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.009491353,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.964978755,2.366043122,26.83859825,2,4.644859791,1,9.289719582,27.78081131,26.83859825,27.03126907,399.3433838,391.2033997,10.28808117,11.58227825,27.95989227,31.47712708,300.1428223,1498.709961,0.959823132,101.8217545,2.771827698,0.161789432,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500714111,0.001964979,299.9885983,300.9308113,239.7935884,0.655609384,3.545371014,34.81938642,23.23710816,27.30970478,3.644782818,0.082600193,1.179327892,2.465454926,0.05169119,16.2190772,0.407176725,32.28625168,389.5398875,0.009487691,0,1311.41287,0,#DIV/0!,#DIV/0!
2,16:02:10,375.5,0,1.331686466,0.102217795,25.68553288,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.001777433,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.378223993,2.3392518,26.82115173,2,4.644859791,1,9.289719582,27.76052094,26.82115173,27.03048897,49.07678986,48.11317062,10.24380779,11.8098278,27.87225342,32.13322067,300.141449,1499.184814,0.913325548,101.8205872,1.73380661,0.162061229,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500707245,0.002378224,299.9711517,300.9105209,239.869565,0.582990507,3.541735401,34.78407953,22.97425172,27.29083633,3.640754968,0.1011053,1.202483601,2.438271367,0.06328983,2.615316039,0.533856583,33.11238139,47.91964737,0.009201927,0,1311.82838,0,#DIV/0!,#DIV/0!
3,16:05:09,554.5,0,3.990456525,0.118778884,40.5008892,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.00380387,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.732443519,2.316702806,26.80698586,2,4.644859791,1,9.289719582,27.74454117,26.80698586,27.03195953,100.2446365,97.40826416,10.20399475,12.00288773,27.78853226,32.68745804,300.1452942,1499.314697,0.85328275,101.8157501,2.22587204,0.160644069,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500726471,0.002732444,299.9569859,300.8945412,239.8903462,0.520595513,3.538785823,34.75676228,22.75387455,27.27576351,3.637540162,0.117279343,1.222083017,2.415457145,0.073432855,4.123628414,0.415784939,33.81300857,96.82836331,0.013934898,0,1311.942031,0,#DIV/0!,#DIV/0!
4,16:08:09,735,0,8.516881125,0.132062478,84.45726504,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.007254691,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.015216406,2.302393481,26.80899048,2,4.644859791,1,9.289719582,27.74687767,26.80899048,27.0316143,200.112793,194.0483093,10.16287994,12.14745998,27.6729393,33.07683563,300.1732483,1499.180298,0.986918807,101.8163147,2.551403046,0.16709663,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500866241,0.003015216,299.9589905,300.8968777,239.8688423,0.470719323,3.53920309,34.76066778,22.6132078,27.27793407,3.638002958,0.130211395,1.236809608,2.401193349,0.08154643,8.599127476,0.435238345,34.3173092,192.8106197,0.015158732,0,1311.824428,0,#DIV/0!,#DIV/0!
5,16:11:09,915,0,13.30836295,0.136834263,221.0744908,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.010908098,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.116511222,2.297897631,26.80492592,2,4.644859791,1,9.289719582,27.7537117,26.80492592,27.03032303,399.6014404,389.9247437,10.13208008,12.18323708,27.57822037,33.16120911,300.1761475,1499.060181,0.974349558,101.8169022,2.805980682,0.161166683,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500880737,0.003116511,299.9549259,300.9037117,239.8496235,0.453311076,3.538357088,34.75215817,22.56892109,27.27931881,3.63829823,0.134848,1.240459457,2.397838773,0.084456231,22.5091198,0.566967073,34.4621702,387.9907466,0.011820773,0,1311.719322,0,#DIV/0!,#DIV/0!
6,16:14:09,1095,0,16.76829495,0.132613539,558.9518177,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.013546475,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.039159599,2.311218917,26.82906914,2,4.644859791,1,9.289719582,27.76719475,26.82906914,27.03439903,801.5145264,788.7470703,10.10151958,12.10161972,27.47377014,32.91357422,300.223053,1498.986084,0.94432652,101.8182678,1.598155975,0.162386432,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501115265,0.00303916,299.9790691,300.9171947,239.8377681,0.46639358,3.543384875,34.80107206,22.69945234,27.29813194,3.642311902,0.130747085,1.232165958,2.410145944,0.081882592,56.91150587,0.708657869,34.14738568,786.3102693,0.007282029,0,1311.654485,0,#DIV/0!,#DIV/0!
7,16:17:08,1273.5,0,18.02006485,0.123784094,912.205143,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.014499231,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.852803047,2.322264333,26.80891418,2,4.644859791,1,9.289719582,27.75730705,26.80891418,27.03157806,1201.194214,1186.929077,10.07367611,11.9520731,27.4134922,32.52517319,300.1182556,1499.150269,0.957900226,101.8168869,-0.534046173,0.162497059,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500591278,0.002852803,299.9589142,300.9073071,239.8640376,0.499799435,3.539187208,34.76031645,22.80824335,27.28311062,3.63910688,0.122156379,1.216922875,2.422184005,0.076492327,92.87788787,0.76854225,33.69851971,1184.310367,0.005127452,0,1311.798151,0,#DIV/0!,#DIV/0!
8,16:20:07,1452.5,0,19.10125176,0.114327849,1261.985979,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.015322731,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.657170401,2.339830353,26.81090355,2,4.644859791,1,9.289719582,27.75382233,26.81090355,27.02962875,1601.162354,1585.626465,10.0335207,11.78329086,27.31052589,32.07327271,300.1377258,1499.218994,0.923004627,101.8196869,-4.180896759,0.164406314,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500688629,0.00265717,299.9609035,300.9038223,239.8750337,0.534044843,3.53960134,34.76342786,22.98013699,27.28236294,3.638947415,0.112937931,1.199770986,2.439176429,0.07070978,128.4950173,0.795891093,33.14332406,1582.850634,0.003999613,0,1311.858288,0,#DIV/0!,#DIV/0!
