OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun 11 2014 17:46:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""17:46:58 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17:50:01,190,0,10.03021934,0.075000295,165.5575391,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.00841363,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.846773203,2.471199918,26.80639839,2,4.644859791,1,9.289719582,27.75662041,26.80639839,27.03134918,399.2407227,392.0745544,9.262156487,10.47986507,25.21642303,28.53166199,300.1406555,1498.231445,0.954983532,101.8585281,2.885696411,0.163029209,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500703278,0.001846773,299.9563984,300.9066204,239.7170259,0.676494985,3.53866355,34.74096489,24.26109981,27.2815094,3.638765381,0.074399632,1.067463632,2.57130175,0.046553365,16.86344726,0.422260351,29.12244707,390.6169436,0.00747803,0,1310.994156,0,#DIV/0!,#DIV/0!
2,17:53:00,369,0,0.978978481,0.09473444,30.47073834,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.001509037,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.299976747,2.44144716,26.80019951,2,4.644859791,1,9.289719582,27.75047302,26.80019951,27.03110886,49.42740631,48.70052338,9.242928505,10.75882626,25.17421913,29.302948,300.1827393,1498.716309,1.041180849,101.8630066,1.851230621,0.160548702,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500913696,0.002299977,299.9501995,300.900473,239.794604,0.596981033,3.53737355,34.72677342,23.96794716,27.27533627,3.637449073,0.093778112,1.09592639,2.541522683,0.058696496,3.103841021,0.625675788,30.08809759,48.55825633,0.006066033,0,1311.418424,0,#DIV/0!,#DIV/0!
3,17:56:00,549.5,0,4.133905251,0.117893596,37.76745144,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.003914313,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.815461082,2.407110446,26.79703712,2,4.644859791,1,9.289719582,27.73703766,26.79703712,27.02980804,100.0220184,97.08500671,9.233859062,11.08929157,25.16963005,30.22716331,300.1175842,1498.892456,0.932683885,101.864502,2.155620575,0.157981411,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500587921,0.002815461,299.9470371,300.8870377,239.8227876,0.505815985,3.53671561,34.71980466,23.63051309,27.26703739,3.635680145,0.116416186,1.129605163,2.506074982,0.072891426,3.847162631,0.389014254,31.21685339,96.48425961,0.013374981,0,1311.572558,0,#DIV/0!,#DIV/0!
4,17:59:00,729.5,0,9.341716474,0.140453633,80.60763268,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.007885389,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.30122522,2.374129132,26.7921772,2,4.644859791,1,9.289719582,27.73461342,26.7921772,27.02791214,200.2776794,193.6261902,9.229440689,11.40435505,25.15847778,31.08706284,300.1108398,1498.813721,1.083789587,101.8536835,2.626506805,0.160846248,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500554199,0.003301225,299.9421772,300.8846134,239.81019,0.420318045,3.535704701,34.71356735,23.3092123,27.26339531,3.634904062,0.138361707,1.161575569,2.473328493,0.086661611,8.210184305,0.416305421,32.29154061,192.2686339,0.015689424,0,1311.503663,0,#DIV/0!,#DIV/0!
5,18:02:00,909.5,0,15.90307406,0.159449976,215.339799,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.012888164,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.697746688,2.346788474,26.79576492,2,4.644859791,1,9.289719582,27.7463131,26.79576492,27.03116608,400.1887817,388.6343384,9.245247841,11.6804266,25.18367195,31.81699753,300.1467896,1498.831421,1.144797921,101.8509445,2.86082077,0.162390247,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500733948,0.003697747,299.9457649,300.8963131,239.813022,0.350868753,3.536450956,34.72182779,23.04140119,27.27103901,3.636533007,0.156759338,1.189662481,2.446870526,0.098212822,21.93256192,0.554093598,33.21020357,386.3232729,0.013671046,0,1311.519151,0,#DIV/0!,#DIV/0!
6,18:05:00,1089.5,0,18.96622224,0.169417484,578.3348646,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.015221079,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.911818466,2.338798021,26.82440948,2,4.644859791,1,9.289719582,27.75427055,26.82440948,27.03045845,800.5306396,785.843689,9.241610527,11.81751633,25.16187668,32.1752243,300.1344604,1499.09314,0.929806828,101.8501663,1.880596161,0.16035606,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500672302,0.003911818,299.9744095,300.9042706,239.854897,0.312368586,3.542414024,34.78064055,22.96312422,27.28934002,3.640435716,0.16638314,1.203616003,2.436819712,0.104257888,58.90350215,0.735941349,33.61302382,783.0874809,0.008141007,0,1311.748162,0,#DIV/0!,#DIV/0!
7,18:08:00,1269.5,0,21.14539735,0.168123062,939.3387373,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.016882908,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.877711195,2.336004085,26.79469872,2,4.644859791,1,9.289719582,27.73343086,26.79469872,27.0294857,1200.618286,1183.471069,9.231129646,11.7844429,25.16348076,32.12365341,300.1601563,1499.043945,0.970476985,101.8482666,-0.563861847,0.161781803,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500800781,0.003877711,299.9446987,300.8834309,239.8470259,0.318751987,3.536229168,34.7205631,22.9361202,27.26406479,3.635046709,0.165134498,1.200225082,2.434821627,0.103473468,95.67002215,0.793714998,33.57043486,1180.398179,0.006013735,0,1311.705116,0,#DIV/0!,#DIV/0!
8,18:11:00,1449.5,0,22.06498563,0.157613262,1301.17914,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.017584768,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.664697553,2.352351542,26.80245399,2,4.644859791,1,9.289719582,27.74193382,26.80245399,27.03117371,1601.415405,1582.849365,9.22689724,11.64015293,25.13864326,31.71355057,300.1787109,1498.976074,0.992751658,101.8449783,-3.963153839,0.165078655,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500893555,0.003664698,299.952454,300.8919338,239.8361665,0.356265226,3.537842665,34.73752681,23.09737388,27.27219391,3.636779183,0.154983743,1.185491123,2.45128806,0.097097703,132.5185613,0.822048622,33.06604541,1579.642839,0.004618777,0,1311.645727,0,#DIV/0!,#DIV/0!
