OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jun 10 2014 19:13:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""19:13:04 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19:16:07,195,0,2.973080328,0.058639385,305.6045944,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.00302798,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.993153365,1.684112138,24.84293365,2,4.644859791,1,9.289719582,26.68937492,24.84293365,25.06786919,398.9759216,396.7323914,13.84455299,14.49670792,39.83535767,41.71182251,300.160553,1499.546875,1.026659489,101.1203384,2.757739067,0.174684271,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500802765,0.000993153,297.9929337,299.8393749,239.9274946,0.869005928,3.150024148,31.15124214,16.65453423,25.76615429,3.327848591,0.058271558,1.465912011,1.861936581,0.036452593,30.90284001,0.770304117,45.63097512,396.3003376,0.003423276,0,1312.122461,0,#DIV/0!,#DIV/0!
2,19:19:06,374,0,-0.817149082,0.142439861,57.73339317,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.000139343,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.260759151,1.591640149,24.82546806,2,4.644859791,1,9.289719582,26.68861389,24.82546806,25.06599426,49.3480835,49.81754303,13.89573956,15.37902927,39.98363495,44.25165558,300.1424255,1499.676392,1.278484464,101.1183167,1.716868401,0.169542059,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500712128,0.002260759,297.9754681,299.8386139,239.9482173,0.646381936,3.146741701,31.11940354,15.74037426,25.75704098,3.326051276,0.140288804,1.555101552,1.770949724,0.087871257,5.837903532,1.158896839,48.99749666,49.93629271,-0.008017868,0,1312.23579,0,#DIV/0!,#DIV/0!
3,19:22:06,554.5,0,0.748455216,0.253819977,92.42935428,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.001331993,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.725519651,1.488503554,24.82247353,2,4.644859791,1,9.289719582,26.67858315,24.82247353,25.06308746,100.3108292,99.56494141,13.9519434,16.39369583,40.16840363,47.19834518,300.1487427,1500.162109,1.08669126,101.1166534,2.09640789,0.168218359,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500743713,0.00372552,297.9724735,299.8285831,240.0259321,0.388131596,3.146179214,31.11435265,14.72065682,25.75052834,3.324767381,0.247069381,1.65767566,1.667091721,0.155010997,9.346146985,0.928332332,52.82626225,99.45617445,0.003975429,0,1312.660799,0,#DIV/0!,#DIV/0!
4,19:25:06,734.5,0,3.671070555,0.322442434,174.0884594,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.003556766,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.534696246,1.436136469,24.84709358,2,4.644859791,1,9.289719582,26.65591812,24.84709358,25.06761932,200.1888275,197.1470184,13.98568153,16.95601654,40.32246399,48.88631058,300.1550903,1500.882935,1.177744865,101.1245728,2.528857231,0.170039877,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500775452,0.004534696,297.9970936,299.8059181,240.1412642,0.243760162,3.150806398,31.15767327,14.20165673,25.75150585,3.32496006,0.31162602,1.714669928,1.610290132,0.195710002,17.60462108,0.883038764,54.86317653,196.6135314,0.010243781,0,1313.29153,0,#DIV/0!,#DIV/0!
5,19:28:06,914.5,0,9.685578958,0.325075723,335.6378913,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.008131763,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.556241762,1.431605629,24.8405571,2,4.644859791,1,9.289719582,26.62551308,24.8405571,25.06711388,400.8020325,393.1546326,14.004776,16.98916054,40.44870758,49.06822968,300.1513367,1501.754761,1.227114439,101.1216354,2.701312065,0.172048315,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500756683,0.004556242,297.9905571,299.7755131,240.2807563,0.239406887,3.149577327,31.14642394,14.15726341,25.73303509,3.321320925,0.31408493,1.717971698,1.603349227,0.197261809,33.94025248,0.853704531,54.99984258,391.7471055,0.013598194,0,1314.054389,0,#DIV/0!,#DIV/0!
6,19:31:06,1094.5,0,14.34096761,0.246734904,675.5495783,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.011671347,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.627478926,1.489980055,24.82572174,2,4.644859791,1,9.289719582,26.59601593,24.82572174,25.06620407,799.7318726,788.2695923,14.00594711,16.38368034,40.52402115,47.40361786,300.1217651,1502.164307,1.094472051,101.1255875,1.734332085,0.178060278,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500608826,0.003627479,297.9757217,299.7460159,240.3462837,0.402715664,3.146789355,31.11763733,14.73395698,25.71086884,3.316958293,0.240351178,1.6568093,1.660148994,0.150780271,68.31534797,0.857003219,52.75371197,786.1855352,0.00962291,0,1314.412747,0,#DIV/0!,#DIV/0!
7,19:34:05,1273,0,15.77575314,0.145066616,983.9861202,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.05558681,0.875027793,0.012798275,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,2.289561795,1.583255125,24.84638214,2,4.644859791,1,9.289719582,26.58705902,24.84638214,25.06659126,1200.426514,1188.102051,13.99681854,15.4987812,40.52141571,44.86966705,300.1507874,1497.98938,1.04892683,101.1316605,-0.950604439,0.182433829,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500753937,0.002289562,297.9963821,299.737059,239.6782954,0.634552174,3.150672603,31.15416665,15.65538544,25.71672058,3.318109513,0.142836112,1.567417478,1.750692035,0.089470323,99.51215021,0.828200001,49.33958399,1185.809488,0.006564032,0,1310.782342,0,#DIV/0!,#DIV/0!
8,19:37:04,1452.5,0,15.35635019,0.07625154,1227.649317,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.012444535,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,1.264443143,1.65196183,24.85072517,2,4.644859791,1,9.289719582,26.58812904,24.85072517,25.06451416,1601.349976,1589.777832,13.99690914,14.82697487,40.520504,42.92351151,300.1437683,1502.081177,1.13707912,101.1351013,-4.410809517,0.181022391,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500718842,0.001264443,298.0007252,299.738129,240.3329829,0.817742556,3.151489435,31.16118335,16.33420848,25.71942711,3.318642089,0.07563075,1.499527606,1.819114483,0.047324604,124.158438,0.772214389,46.78467151,1587.546218,0.004525486,0,1314.340007,0,#DIV/0!,#DIV/0!
9,19:40:02,1630.5,0,11.43250435,0.035736709,1405.970947,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.009461138,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.610993306,1.696217477,24.86650848,2,4.644859791,1,9.289719582,26.59853935,24.86650848,25.06782532,1974.199341,1965.781372,14.0172205,14.41846561,40.555233,41.71613312,300.1575317,1501.761353,0.996614158,101.1371155,-8.836956978,0.178251967,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500787659,0.000610993,298.0165085,299.7485394,240.281811,0.93249424,3.154459499,31.18992947,16.77146386,25.73252392,3.321220263,0.03559976,1.458242022,1.862978241,0.022262114,142.1958461,0.715222439,45.18398011,1964.119978,0.002630013,0,1314.060157,0,#DIV/0!,#DIV/0!
Remark=,"""19:42:39 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,19:42:56,1804.5,0,17.53300582,0.0285282,-596.212646,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.014107688,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.489432021,1.70091376,24.85955429,2,4.644859791,1,9.289719582,26.6058445,24.85955429,25.06791496,398.635376,386.8278198,14.03689671,14.35830021,40.59691238,41.52646255,300.1862793,1501.328369,1.006286979,101.1426697,-8.836956978,0.178251967,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500931396,0.000489432,298.0095543,299.7558445,240.2125337,0.954306772,3.153150575,31.17527533,16.81697512,25.73269939,3.321254819,0.028440859,1.452236815,1.869018003,0.017783364,-60.30253871,-1.541286886,44.96896061,384.2798895,0.020517364,0,1313.681291,0,#DIV/0!,#DIV/0!
