OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jun 10 2014 19:55:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""19:55:06 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""19:57:47 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19:58:04,187.5,0,18.42271544,0.019516985,-1116.023775,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.01480398,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.3321473,1.685691654,24.83414268,2,4.644859791,1,9.289719582,26.64916229,24.83414268,25.06939888,399.4025574,387.0422974,14.24252319,14.46062469,41.08930206,41.7185173,300.1760559,1499.398682,1.087667108,101.1491547,-8.836956978,0.178251967,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50088028,0.000332147,297.9841427,299.7991623,239.9037837,0.983981013,3.148371618,31.12602995,16.66540526,25.74165249,3.323018304,0.019476068,1.462679964,1.86033834,0.012176212,-112.8848614,-2.883467213,45.32431132,384.3650728,0.021724057,0,1311.99279,0,#DIV/0!,#DIV/0!
Remark=,"""20:00:41 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20:00:58,361.5,0,14.83245535,0.022988559,-982.4669928,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.012067883,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.389877934,1.680452934,24.84661484,2,4.644859791,1,9.289719582,26.65976334,24.84661484,25.06386185,49.1245079,39.23226929,14.27931881,14.53529739,41.17059708,41.90864182,300.1899109,1499.349365,0.967563689,101.1512451,-8.836956978,0.178251967,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500949554,0.000389878,297.9966148,299.8097633,239.8958931,0.973689812,3.150716364,31.14856728,16.61326989,25.75318909,3.325291867,0.022931811,1.47026343,1.855028437,0.01433747,-99.37775961,-25.04231875,45.55238824,37.07678822,0.182230931,0,1311.949638,0,#DIV/0!,#DIV/0!
Remark=,"""20:03:35 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20:03:52,535.5,0,15.99125115,0.031423272,-718.5553705,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.01295379,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.528343007,1.667441177,24.85212708,2,4.644859791,1,9.289719582,26.66249847,24.85212708,25.06672287,100.2404556,89.55509949,14.32680702,14.6736393,41.30239868,42.30226898,300.1971436,1499.043335,0.869714141,101.1549988,-8.836956978,0.178251967,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500985718,0.000528343,298.0021271,299.8124985,239.8469282,0.948956675,3.151753143,31.15766082,16.48402153,25.75731277,3.326104868,0.031317339,1.484311965,1.841792902,0.019582827,-72.68546763,-8.023611996,46.03654952,87.23121997,0.084394329,0,1311.681857,0,#DIV/0!,#DIV/0!
Remark=,"""20:06:30 Didn't match! Valve stuck or flow problem.""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20:06:47,710,0,17.93982726,0.045355597,-444.0925407,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.02526855,0.875012634,0.014437778,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,0.753362474,1.649568088,24.86532402,2,4.644859791,1,9.289719582,26.67695618,24.86532402,25.06719017,200.0433502,187.9954376,14.37994576,14.8744545,41.42149734,42.84593201,300.1591492,1499.206055,1.14093399,101.1578903,-8.836956978,0.178251967,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500795746,0.000753362,298.015324,299.8269562,239.8729634,0.90945514,3.154236524,31.18131976,16.30686526,25.7711401,3.328832245,0.045135231,1.504668437,1.824163808,0.028229235,-44.92346452,-2.362251692,46.73050158,185.3883873,0.045220585,0,1311.824239,0,#DIV/0!,#DIV/0!
