OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jun 11 2014 13:59:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:59:06 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:01:54 Warning! Large Deltas in match: CO2=-11.4, H2O=0.01""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:02:12,195,0,12.01915247,0.426039474,331.8955769,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.009926571,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.819288861,1.90378215,26.81016541,2,4.644859791,1,9.289719582,27.68738365,26.81016541,27.03252602,399.8578796,389.8191528,10.94655228,16.07250595,29.89639282,43.89601135,300.1827087,1498.835815,0.933675289,101.7679214,2.688865662,0.156138912,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500913544,0.007819289,299.9601654,300.8373837,239.8137251,-0.378510097,3.539447673,34.77960071,18.70709476,27.24877453,3.631790009,0.407357492,1.635665523,1.996124486,0.256213471,33.776323,0.851409107,47.22930356,388.0725064,0.014627581,0,1311.545857,0,#DIV/0!,#DIV/0!
2,14:05:12,375,0,-0.165930125,0.399694468,48.16562739,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.000635963,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.460195852,1.931169194,26.81031799,2,4.644859791,1,9.289719582,27.68843079,26.81031799,27.03301811,49.11386108,48.98094177,10.91061878,15.80307388,29.79762268,43.15924072,300.1479492,1498.791016,0.889127254,101.7719879,1.738937378,0.153474346,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500739746,0.007460196,299.960318,300.8384308,239.8065571,-0.315247842,3.539479438,34.77852316,18.97544927,27.24937439,3.631917726,0.383206818,1.608310244,2.023607482,0.24093294,4.901911649,0.983354457,46.33255063,49.00505506,-0.001568811,0,1311.506655,0,#DIV/0!,#DIV/0!
3,14:08:12,555,0,2.342005678,0.410186335,85.9929286,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.002548245,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.614880836,1.922913773,26.81750679,2,4.644859791,1,9.289719582,27.70368004,26.81750679,27.02977562,100.3739548,98.31443787,10.90402985,15.89767551,29.7553978,43.38227463,300.1343079,1498.775269,0.906521738,101.7798157,2.077217102,0.15007259,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500671539,0.007614881,299.9675068,300.85368,239.8040376,-0.342121516,3.540976257,34.79055482,18.89287931,27.26059341,3.634307111,0.392840514,1.618062483,2.016244628,0.247026961,8.752344422,0.874672433,46.63941663,97.97409308,0.011148843,0,1311.492876,0,#DIV/0!,#DIV/0!
4,14:11:12,735,0,6.195198964,0.420529973,165.2965114,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.005486558,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.795976466,1.922205309,26.86771011,2,4.644859791,1,9.289719582,27.71725273,26.86771011,27.03062439,200.4789734,195.3369446,10.89549541,16.00631142,29.71072769,43.64731979,300.194397,1498.695679,1.115728736,101.7873154,2.529685974,0.154617801,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500971985,0.007795976,300.0177101,300.8672527,239.7913032,-0.375757383,3.551444777,34.89083845,18.88452703,27.29248142,3.641105991,0.402317726,1.629239468,2.011866523,0.253023779,16.82508813,0.846212229,46.8672666,194.4366463,0.01493299,0,1311.423231,0,#DIV/0!,#DIV/0!
5,14:14:12,915,0,12.48291902,0.419941849,329.1179308,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.010280427,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.780731582,1.921048298,26.8496685,2,4.644859791,1,9.289719582,27.73225594,26.8496685,27.02786064,399.9220276,389.5847168,10.8793745,15.98093319,29.64032364,43.53927231,300.158783,1498.798828,1.283315539,101.7857513,2.681694031,0.152988926,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500793915,0.007780732,299.9996685,300.8822559,239.8078071,-0.371467773,3.54767959,34.85438328,18.87345009,27.29096222,3.640781828,0.401779408,1.626631292,2.014150536,0.252683104,33.49951586,0.844791689,46.84135845,387.7706749,0.015078935,0,1311.513491,0,#DIV/0!,#DIV/0!
6,14:17:12,1095,0,17.05478514,0.365762879,685.902897,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.013770391,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.997415276,1.973129026,26.84546852,2,4.644859791,1,9.289719582,27.72463799,26.84546852,27.03174973,801.3453369,786.3144531,10.86920738,15.45986748,29.62731552,42.14055252,300.1414185,1498.361572,0.855198979,101.790947,1.610954285,0.162434116,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500707092,0.006997415,299.9954685,300.874638,239.7378462,-0.233942641,3.546803577,34.84399824,19.38413076,27.28505325,3.639521231,0.351907281,1.57367455,2.065846681,0.221146291,69.81870541,0.872301017,45.09523487,783.8360188,0.009811868,0,1311.130873,0,#DIV/0!,#DIV/0!
7,14:20:12,1275,0,19.0445021,0.272005823,1032.492262,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.015290105,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.505971813,2.068820953,26.82219315,2,4.644859791,1,9.289719582,27.73799133,26.82219315,27.03199387,1201.151123,1184.119995,10.85522938,14.47027969,29.56991577,39.41740036,300.2059937,1498.150269,1.124475002,101.8039322,-0.867195129,0.163408771,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501029968,0.005505972,299.9721931,300.8879913,239.7040376,0.030321282,3.541952326,34.79190096,20.32162126,27.28009224,3.638463161,0.264267976,1.473131373,2.165331788,0.165845679,105.1117722,0.871949014,41.81947661,1181.352411,0.006741689,0,1310.945974,0,#DIV/0!,#DIV/0!
