OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jun  7 2014 15:04:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:04:23 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:07:26,192,0,10.80534718,0.200477912,293.0252424,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.008985761,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,3.905181068,1.959598671,25.01962662,2,4.644859791,1,9.289719582,26.60879135,25.01962662,25.06737137,399.9425964,391.7234192,9.585207939,12.15569496,27.58956337,34.9883194,300.1540833,1501.393311,0.715737164,100.6772079,1.807291031,0.173855186,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500770416,0.003905181,298.1696266,299.7587914,240.2229243,0.344980404,3.183400101,31.61986874,19.46417378,25.81420898,3.337339912,0.19624287,1.223801429,2.113538482,0.123025382,29.50096326,0.748041164,38.39519589,390.1531653,0.010633604,0,1313.783775,0,#DIV/0!,#DIV/0!
2,15:10:26,372,0,0.017094373,0.241068561,47.726664,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.000774288,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.557514501,1.909504152,24.99427986,2,4.644859791,1,9.289719582,26.62206459,24.99427986,25.06698036,49.50461578,49.3433876,9.607834816,12.60619831,27.63160706,36.25473785,300.1678467,1501.167236,0.854236841,100.6718445,1.121740341,0.172533393,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500839233,0.004557515,298.1442799,299.7720646,240.1867524,0.231617711,3.178593388,31.573807,18.96760869,25.80817223,3.33614629,0.234971053,1.269089236,2.067057054,0.147392823,4.804731295,0.967235253,40.12293089,49.34090342,0.000139008,0,1313.58595,0,#DIV/0!,#DIV/0!
3,15:13:26,552,0,2.369362438,0.293584192,82.98776799,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.002565424,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.365816823,1.855528998,25.00486374,2,4.644859791,1,9.289719582,26.64794922,25.00486374,25.06786537,100.9152145,98.98262787,9.634908676,13.16307926,27.66557693,37.7963295,300.1661072,1500.925781,0.854230285,100.6657104,1.490697861,0.17162931,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500830536,0.005365817,298.1548637,299.7979492,240.1481196,0.089691042,3.180599723,31.59566161,18.43258235,25.82640648,3.339752808,0.28459025,1.325070726,2.014682082,0.178655666,8.354022623,0.838407403,42.1536819,98.63830754,0.010125615,0,1313.374667,0,#DIV/0!,#DIV/0!
4,15:16:26,732,0,7.023376115,0.363468435,157.5372916,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.006108734,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.362226151,1.789363444,25.0143795,2,4.644859791,1,9.289719582,26.65922165,25.0143795,25.06677246,200.0916138,194.5863037,9.65753746,13.8385973,27.71153069,39.70875168,300.1239929,1500.985474,0.74963063,100.6634598,1.750417709,0.174517989,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500619965,0.006362226,298.1643795,299.8092216,240.1576704,-0.08583072,3.182404526,31.61429711,17.77569982,25.83680058,3.341810159,0.349782873,1.393041082,1.948769077,0.219804001,15.85824882,0.809601131,44.63199561,193.5656531,0.016194365,0,1313.4269,0,#DIV/0!,#DIV/0!
5,15:19:26,912,0,16.04321729,0.433172213,316.691945,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.012978479,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.250687367,1.722898627,24.9960556,2,4.644859791,1,9.289719582,26.66040993,24.9960556,25.06615639,400.6964417,388.1314697,9.703267097,14.46461868,27.84028053,41.50138855,300.158844,1500.715454,0.587882757,100.6615753,1.771657944,0.172115684,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50079422,0.007250687,298.1460556,299.8104099,240.1144673,-0.241732789,3.178929929,31.58037135,17.11575267,25.82823277,3.340114213,0.413873616,1.456031303,1.88408291,0.2603383,31.87871007,0.81593988,46.99688944,385.8000384,0.019543319,0,1313.190621,0,#DIV/0!,#DIV/0!
6,15:22:26,1092,0,26.49510204,0.480529044,667.6664168,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.020939087,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.824367315,1.683739617,25.00600052,2,4.644859791,1,9.289719582,26.67857742,25.00600052,25.06751442,801.1978149,779.4793701,9.736653328,14.87273788,27.90550423,42.62565994,300.1507263,1500.611206,0.861018717,100.65905,0.346792221,0.175206542,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500753632,0.007824367,298.1560005,299.8285774,240.0977876,-0.342538392,3.180815283,31.59989373,16.72715585,25.84228897,3.34289695,0.456895237,1.497075666,1.845821283,0.287592816,67.20666722,0.856554314,48.47191933,775.6290507,0.016557766,0,1313.0994,0,#DIV/0!,#DIV/0!
7,15:25:26,1271.5,0,29.31071697,0.478045533,1043.206623,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.023082831,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.783649592,1.683192246,25.00961685,2,4.644859791,1,9.289719582,26.68800545,25.00961685,25.06665802,1201.437256,1175.809082,9.776228905,14.8853569,28.00269127,42.63710022,300.1603088,1500.644165,0.673106849,100.6565628,-2.459115982,0.178973556,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500801544,0.00778365,298.1596169,299.8380054,240.103061,-0.335066315,3.181501108,31.60748807,16.72213117,25.84881115,3.344188847,0.454649441,1.498308862,1.845879985,0.286169183,105.005593,0.887224499,48.48614757,1171.549592,0.012130632,0,1313.12824,0,#DIV/0!,#DIV/0!
8,15:28:26,1452,0,31.32584446,0.372637406,1390.482928,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.024617247,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.450844561,1.770944016,25.02831459,2,4.644859791,1,9.289719582,26.69138908,25.02831459,25.06659889,1599.675781,1572.044434,9.811043739,14.04915905,28.09612083,40.23291016,300.1435852,1500.655396,0.631467581,100.6540756,-6.182260513,0.186796546,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500717926,0.006450845,298.1783146,299.8413891,240.1048579,-0.100805831,3.185049133,31.64351879,17.59435974,25.85985184,3.346376753,0.358266312,1.414105117,1.932271636,0.225164724,139.9577738,0.884506124,45.29269033,1567.492101,0.009051604,0,1313.138068,0,#DIV/0!,#DIV/0!
