OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jun  5 2014 17:28:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""17:28:21 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17:31:25,191.5,0,24.54261237,0.642330822,307.0342785,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.019443748,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.57881455,1.730401168,24.98927307,2,4.644859791,1,9.289719582,25.4029026,24.98927307,25.07746315,400.4378662,381.3950195,7.440368652,14.3882637,22.97885132,44.43674469,300.1370544,1501.180542,1.025693297,100.5849991,1.510633469,0.171071231,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500685272,0.010578815,298.1392731,298.5529026,240.1888814,-0.885827576,3.17764466,31.59163582,17.20337211,25.19608784,3.217040286,0.600789663,1.447243491,1.769796794,0.379017139,30.88304262,0.805029596,47.86779101,377.8284397,0.031093494,0,1313.667121,0,#DIV/0!,#DIV/0!
2,17:34:25,371.5,0,0.406982637,0.637909595,46.37354439,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.001070859,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.51120145,1.73071001,24.96072006,2,4.644859791,1,9.289719582,25.39052773,24.96072006,25.07864571,49.39525604,48.78245926,7.427521229,14.33044052,22.9576683,44.29385376,300.1794128,1501.426147,0.687660575,100.5920868,1.142183304,0.177828968,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500897064,0.010511201,298.1107201,298.5405277,240.2281782,-0.873026878,3.172238927,31.53567073,17.20523021,25.17562389,3.213123228,0.596920085,1.441528917,1.771594312,0.376553199,4.664811603,0.950619241,47.74941554,48.72331576,0.003988477,0,1313.882048,0,#DIV/0!,#DIV/0!
3,17:37:25,551.5,0,5.957056107,0.62706042,78.18422579,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.005296011,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.39957271,1.740183586,24.9707756,2,4.644859791,1,9.289719582,25.39519119,24.9707756,25.07702065,101.3572922,96.71736145,7.423233032,14.25452995,22.93910217,44.04901505,300.128418,1501.150513,0.839712501,100.5966644,1.425790787,0.171535671,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50064209,0.010399573,298.1207756,298.5451912,240.1840767,-0.853765854,3.174141752,31.55315109,17.29862114,25.1829834,3.21453145,0.587409972,1.433958166,1.780573284,0.370498933,7.865072325,0.808378399,47.4390302,95.85167055,0.029482738,0,1313.640842,0,#DIV/0!,#DIV/0!
4,17:40:25,731.5,0,14.20458485,0.621649157,146.2821606,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.011571652,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.34104396,1.744555466,24.97429085,2,4.644859791,1,9.289719582,25.39618111,24.97429085,25.07675934,200.435791,189.66362,7.424659252,14.21745777,22.94252396,43.93257141,300.1419983,1501.505005,0.808728695,100.5982742,1.690210342,0.172855556,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500709991,0.010341044,298.1242908,298.5461811,240.2407954,-0.843335104,3.174807182,31.55926089,17.34180312,25.18523598,3.214962583,0.582658814,1.430251716,1.784710867,0.367474956,14.7157329,0.771271584,47.29009767,187.5993823,0.035806952,0,1313.951055,0,#DIV/0!,#DIV/0!
5,17:43:25,911.5,0,24.07231507,0.617294596,305.9444621,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.019079841,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.30172917,1.749395692,24.98217392,2,4.644859791,1,9.289719582,25.38498497,24.98217392,25.07620621,400.2456665,381.5903015,7.418962479,14.18445587,22.93974113,43.85892868,300.2177124,1501.64502,0.702184319,100.5963287,1.667627335,0.172324359,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501088562,0.010301729,298.1321739,298.534985,240.2631978,-0.837184903,3.176299878,31.57470971,17.39025384,25.18357944,3.214645526,0.578831683,1.426904186,1.78774134,0.365039422,30.77688968,0.80176163,47.14594809,378.0920662,0.030016819,0,1314.07358,0,#DIV/0!,#DIV/0!
6,17:46:25,1091.5,0,26.6434486,0.610648663,682.76439,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.02103654,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.21766567,1.752965286,24.96928024,2,4.644859791,1,9.289719582,25.38899994,24.96928024,25.07725906,800.1885986,777.1461182,7.41260004,14.12421513,22.91539192,43.66375351,300.1766052,1501.638916,0.922041118,100.5998154,-0.060155869,0.174657047,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500883026,0.010217666,298.1192802,298.5389999,240.2622212,-0.821602119,3.173858719,31.54934935,17.42513422,25.17914009,3.213795976,0.572984227,1.420893434,1.792902542,0.361318743,68.68597158,0.878553433,46.96410891,773.2742407,0.016181657,0,1314.068239,0,#DIV/0!,#DIV/0!
7,17:49:25,1271.5,0,26.26955175,0.593312646,1068.076927,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.020756432,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.04027718,1.76984221,24.99314308,2,4.644859791,1,9.289719582,25.40919113,24.99314308,25.07888222,1200.17688,1174.817383,7.405945778,14.00127316,22.86752701,43.23208618,300.2034607,1501.318726,0.607279837,100.6005478,-2.702245712,0.173103511,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501017303,0.010040277,298.1431431,298.5591911,240.2109907,-0.790691035,3.17837796,31.59404227,17.59276912,25.20116711,3.218013168,0.557694034,1.408535749,1.809477419,0.351592952,107.4491239,0.909142938,46.43798558,1170.999841,0.010417636,0,1313.788044,0,#DIV/0!,#DIV/0!
8,17:52:25,1451.5,0,26.96870996,0.571913734,1449.105073,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.021288942,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.779931607,1.784687503,24.97620201,2,4.644859791,1,9.289719582,25.40647125,24.97620201,25.07784462,1600.253052,1572.039429,7.396083355,13.82246685,22.83967972,42.68484879,300.1610107,1501.294678,0.784516573,100.5957565,-6.819555283,0.178299129,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500805054,0.009779932,298.126202,298.5564713,240.2071431,-0.744169092,3.175169013,31.56364764,17.74118079,25.19133663,3.216130473,0.538746275,1.39048151,1.825648963,0.339547094,145.7738211,0.921799445,45.82260669,1568.120284,0.007880624,0,1313.767,0,#DIV/0!,#DIV/0!
