OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jun  5 2014 18:03:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""18:03:32 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18:06:38,195,0,19.31141845,0.542159283,314.1253411,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.01549505,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.410032762,1.806425739,24.97593307,2,4.644859791,1,9.289719582,25.40617371,24.97593307,25.07769585,399.420166,384.1445923,7.419395447,13.60393429,22.91532516,42.01670837,300.1685181,1497.914795,0.848414779,100.6100388,1.558130264,0.178409755,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50084259,0.009410033,298.1259331,298.5561737,239.6663618,-0.681124862,3.175118095,31.55866088,17.9547266,25.19105339,3.216076242,0.512262995,1.368692356,1.847383886,0.32272253,31.60416274,0.817726834,45.0021553,381.3382196,0.022789624,0,1310.83271,0,#DIV/0!,#DIV/0!
2,18:09:38,375,0,0.672510511,0.54356652,45.51376677,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.00127597,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.425772779,1.804980926,24.96273804,2,4.644859791,1,9.289719582,25.39268303,24.96273804,25.0779953,49.72457123,48.96887207,7.398486137,13.59400845,22.86817551,42.01807785,300.1405945,1497.85022,1.044071555,100.6060715,1.12673378,0.177076519,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500702972,0.009425773,298.112738,298.542683,239.6560298,-0.683961189,3.172620712,31.53508198,17.94107353,25.17771053,3.213522447,0.513519132,1.367639785,1.845882661,0.323520228,4.578961273,0.929442825,45.01169878,48.87114154,0.006194011,0,1310.7762,0,#DIV/0!,#DIV/0!
3,18:12:39,557,0,4.530174093,0.545198761,80.75357909,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.004218768,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.459419728,1.806191281,24.97808075,2,4.644859791,1,9.289719582,25.38585854,24.97808075,25.07777786,100.9438019,97.31222534,7.394691944,13.61133862,22.86488914,42.08718491,300.183197,1497.934937,0.619846225,100.6024094,1.46330452,0.179257572,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500915985,0.00945942,298.1280807,298.5358585,239.6695845,-0.69084664,3.175524741,31.56509631,17.9537577,25.18196964,3.214337439,0.514975664,1.369333459,1.845003979,0.324445224,8.124004621,0.829840021,45.03293894,96.65389169,0.021106967,0,1310.850336,0,#DIV/0!,#DIV/0!
4,18:15:39,736,0,11.73063434,0.549607737,150.6504684,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.00968518,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.508627761,1.801947402,24.97794533,2,4.644859791,1,9.289719582,25.40511703,24.97794533,25.07717323,200.5346375,191.5058289,7.403435707,13.65211296,22.86767197,42.16853333,300.1856079,1502.069214,0.886189282,100.6109238,1.627672195,0.178176105,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50092804,0.009508628,298.1279453,298.555117,240.3310688,-0.695988176,3.175499098,31.56217018,17.91005722,25.19153118,3.216167723,0.518907603,1.373551696,1.842616027,0.326942478,15.15708279,0.786662575,45.18515995,189.8011104,0.027926633,0,1314.444788,0,#DIV/0!,#DIV/0!
5,18:18:39,916,0,20.27259113,0.549721375,312.1019534,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.016186687,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.515035363,1.802768505,24.99746704,2,4.644859791,1,9.289719582,25.42723083,24.99746704,25.07777596,400.1720581,384.2270203,7.426861286,13.68056965,22.91013336,42.20136642,300.1375732,1501.792847,0.721550941,100.6119614,1.614274979,0.173939884,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500687866,0.009515035,298.147467,298.5772308,240.2868501,-0.697165561,3.17919745,31.59860326,17.91803361,25.21234894,3.22015584,0.519008899,1.376428945,1.843726895,0.327006817,31.40118967,0.812285282,45.22279145,381.2809681,0.024044818,0,1314.202942,0,#DIV/0!,#DIV/0!
6,18:21:39,1096,0,24.30231039,0.542729331,683.4832813,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.019253316,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.423748133,1.807280858,24.99840164,2,4.644859791,1,9.289719582,25.42941475,24.99840164,25.07701492,801.151001,780.0588989,7.443252563,13.63709354,22.95837021,42.06298828,300.1444702,1501.765869,0.661501408,100.6148224,-0.065290451,0.178610027,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500722351,0.009423748,298.1484016,298.5794147,240.2825337,-0.681032701,3.179374603,31.59946544,17.96237189,25.2139082,3.220454725,0.512771878,1.372093745,1.84836098,0.323045688,68.76854895,0.876194454,45.05089265,776.5272402,0.014099193,0,1314.179334,0,#DIV/0!,#DIV/0!
7,18:24:39,1276.5,0,25.10850934,0.523986867,1063.424368,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.019866607,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.193350344,1.822832532,25.00452423,2,4.644859791,1,9.289719582,25.4297924,25.00452423,25.07859612,1200.696045,1176.758179,7.451013565,13.49383545,22.98217964,41.62088394,300.1676025,1501.778809,0.610167503,100.6165237,-2.819440842,0.176289737,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500838013,0.00919335,298.1545242,298.5797924,240.284604,-0.640669713,3.180535347,31.61046744,18.11663199,25.21715832,3.221077801,0.496009442,1.357702815,1.863374986,0.312403692,106.9980632,0.903689804,44.49622897,1173.109362,0.009523698,0,1314.190658,0,#DIV/0!,#DIV/0!
8,18:27:39,1456.5,0,25.13787048,0.501365925,1444.236209,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.019888043,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,8.889887609,1.838195933,24.98046875,2,4.644859791,1,9.289719582,25.42537117,24.98046875,25.07633209,1599.00769,1572.942139,7.451301575,13.29568386,22.98937798,41.02095413,300.1751099,1501.847168,0.955897689,100.617691,-6.836530685,0.180486858,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500875549,0.008889888,298.1304688,298.5753712,240.2955415,-0.586242015,3.175976944,31.56479652,18.26911266,25.20291996,3.218348969,0.475692797,1.337781011,1.880567958,0.299512685,145.3157126,0.918175039,43.82559738,1569.289055,0.007020263,0,1314.250478,0,#DIV/0!,#DIV/0!
