OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun  6 2014 15:06:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:06:10 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:09:16,196,0,21.05747929,0.346477042,273.3208495,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.016781408,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.775725323,2.003964453,24.98278046,2,4.644859791,1,9.289719582,26.13358688,24.98278046,25.07309532,400.0479126,384.2845459,7.151070118,11.61270046,21.22866249,34.47345734,300.2059937,1502.09729,0.795153201,100.9627609,1.6770401,0.175276771,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501029968,0.006775725,298.1327805,299.2835869,240.335561,-0.180907399,3.176414754,31.46125091,19.84855045,25.55818367,3.287043451,0.334019187,1.1724503,2.114593151,0.209846615,27.59522758,0.711246009,37.84081062,381.2244323,0.020901915,0,1314.399787,0,#DIV/0!,#DIV/0!
2,15:12:16,376,0,-0.176013915,0.427545407,48.69073636,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.000626999,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.995221714,1.931521913,25.01590347,2,4.644859791,1,9.289719582,26.16879654,25.01590347,25.07085609,49.68005371,49.53344727,7.131128788,12.39265442,21.12503433,36.7116127,300.1463928,1501.838623,0.749631047,100.9607544,1.090930939,0.174867645,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500731964,0.007995222,298.1659035,299.3187965,240.2941743,-0.395930354,3.182693652,31.52406766,19.13141324,25.59235001,3.293716942,0.408734036,1.251171739,2.042545203,0.25708478,4.915853475,0.982987033,40.67933438,49.55902595,-0.001444768,0,1314.173443,0,#DIV/0!,#DIV/0!
3,15:15:16,555.5,0,4.26677054,0.487243555,79.71451709,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.00400827,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,8.800634199,1.87661721,25.00943375,2,4.644859791,1,9.289719582,26.17404556,25.00943375,25.07207108,100.4349518,97.02338409,7.136428356,12.92397499,21.13474274,38.2747345,300.1926575,1501.612793,0.797063947,100.9634552,1.374195099,0.176813141,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500963287,0.008800634,298.1594337,299.3240456,240.2580415,-0.537517563,3.18146638,31.51106877,18.58709378,25.59173965,3.293597622,0.462961344,1.30484917,1.988748452,0.29143868,8.048253075,0.821601079,42.6801912,96.40332875,0.018890072,0,1313.975832,0,#DIV/0!,#DIV/0!
4,15:18:16,735.5,0,12.54434114,0.529044942,146.2966813,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.010307845,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.343571664,1.842422453,25.0182724,2,4.644859791,1,9.289719582,26.18822479,25.0182724,25.07112885,200.6322327,191.0840149,7.136397362,13.27954292,21.11651039,39.29400253,300.1554565,1501.621826,0.749646544,100.9613571,1.673191071,0.17912294,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500777283,0.009343572,298.1682724,299.3382248,240.2594868,-0.632967663,3.183143129,31.52833143,18.24878851,25.6032486,3.295848182,0.500539467,1.340720675,1.955127506,0.315279128,14.77031148,0.765614441,43.98306187,189.261047,0.02915225,0,1313.983736,0,#DIV/0!,#DIV/0!
5,15:21:16,915.5,0,25.29749043,0.554989901,294.0686934,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.020018489,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.682676096,1.824516034,25.0436554,2,4.644859791,1,9.289719582,26.20895767,25.0436554,25.07290459,399.9403992,380.6291199,7.140747547,13.50515461,21.10270882,39.91113663,300.1665344,1501.251953,0.606272876,100.9575043,1.638217926,0.177867904,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500832672,0.009682676,298.1936554,299.3589577,240.2003071,-0.693174986,3.187962738,31.57727364,18.07211903,25.62630653,3.300361176,0.523702661,1.363446704,1.936914472,0.329988331,29.68844137,0.772585906,44.74956609,376.9528397,0.030031654,0,1313.660081,0,#DIV/0!,#DIV/0!
6,15:24:16,1095.5,0,28.23412331,0.55866372,670.5174144,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.022251487,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.704589491,1.817347958,25.02080154,2,4.644859791,1,9.289719582,26.20192146,25.02080154,25.0716362,800.5235596,776.6903687,7.154623508,13.53290653,21.15291977,40.01055908,300.1829224,1501.417969,0.707014024,100.9594727,0.232456207,0.181786552,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500914612,0.009704589,298.1708015,299.3519215,240.2268696,-0.696220451,3.183623066,31.53367368,18.00076715,25.6113615,3.297435458,0.526972716,1.366275107,1.931160351,0.332065753,67.69508457,0.863300797,44.91261827,772.5873313,0.016413269,0,1313.805352,0,#DIV/0!,#DIV/0!
7,15:27:16,1276,0,27.74011884,0.477094007,1045.33157,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.021872507,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,8.680928279,1.888356925,25.038908,2,4.644859791,1,9.289719582,26.19383621,25.038908,25.07224274,1201.501709,1176.212402,7.153841972,12.86415386,21.159832,38.04994965,300.1326599,1501.621826,0.830975175,100.9552536,-2.575405121,0.183148399,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.5006633,0.008680928,298.188908,299.3438362,240.2594868,-0.516834433,3.18706084,31.56904398,18.70489011,25.61637211,3.298416108,0.45378869,1.298703916,1.999712193,0.285623571,105.5317137,0.888726873,42.36307846,1172.181155,0.010025386,0,1313.983736,0,#DIV/0!,#DIV/0!
8,15:30:16,1456,0,29.16517241,0.385952417,1401.129609,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.022955211,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.406567859,1.973798846,25.04408264,2,4.644859791,1,9.289719582,26.20804405,25.04408264,25.07055664,1600.829346,1573.631592,7.152454853,12.02793789,21.13730621,35.54558945,300.1746521,1501.741211,0.59855026,100.9520569,-6.635463715,0.184449211,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50087326,0.007406568,298.1940826,299.3580441,240.2785884,-0.291693872,3.188043916,31.57978168,19.55184379,25.62606335,3.30031355,0.37055718,1.21424507,2.086068481,0.232933889,141.446916,0.89037969,39.23211548,1569.393253,0.007290788,0,1314.088203,0,#DIV/0!,#DIV/0!
