OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun  6 2014 17:23:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""17:23:49 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17:26:54,194.5,0,29.15454901,0.514765989,272.8422503,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.022964994,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.18202744,1.856771521,24.92315483,2,4.644859791,1,9.289719582,26.20630074,24.92315483,25.07120323,399.21698,377.4805298,6.9322896,12.9712925,20.47139168,38.30486298,300.1463928,1500.572876,0.898768902,100.8664093,1.71062851,0.180849567,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500731964,0.009182027,298.0731548,299.3563007,240.0916548,-0.600011269,3.165139219,31.37951713,18.40822464,25.56472778,3.288320755,0.487739173,1.308367698,1.979953057,0.307155182,27.52061809,0.722798207,43.15628084,373.2437344,0.033709927,0,1313.065859,0,#DIV/0!,#DIV/0!
2,17:29:54,374.5,0,-0.005242544,0.544587233,47.48309446,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.000757651,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.507409536,1.822677021,24.84726143,2,4.644859791,1,9.289719582,26.19349098,24.84726143,25.06901932,49.18649673,48.88032532,6.916426659,13.16816521,20.43901825,38.91379166,300.1473694,1500.439209,0.824194729,100.8615036,1.133895874,0.177074924,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500736847,0.00950741,297.9972614,299.343491,240.0702681,-0.654611759,3.150837964,31.23925235,18.07108715,25.52037621,3.279672533,0.514430023,1.328160942,1.951511591,0.3240987,4.789216303,0.971415271,44.11514681,48.88108717,-4.73139E-05,0,1312.948895,0,#DIV/0!,#DIV/0!
3,17:32:54,554.5,0,5.838450506,0.566813284,76.8234721,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.005209187,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.804921975,1.809784041,24.87930679,2,4.644859791,1,9.289719582,26.21921539,24.87930679,25.07130814,101.213768,96.69194031,6.910600185,13.35633087,20.38996887,39.40832138,300.1665649,1500.231812,0.9636693,100.85746,1.412788391,0.17863895,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500832825,0.009804922,298.0293068,299.3692154,240.0370845,-0.707456173,3.156869648,31.30030884,17.94397797,25.54926109,3.285302608,0.534217917,1.347085607,1.938217001,0.336669288,7.748220266,0.794517846,44.73432235,95.8434854,0.027250587,0,1312.767413,0,#DIV/0!,#DIV/0!
4,17:35:55,736.5,0,16.09332323,0.586534797,137.5721352,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.013022565,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.967769022,1.781578828,24.78902054,2,4.644859791,1,9.289719582,26.19297791,24.78902054,25.07037354,200.4959259,188.5192871,6.914866924,13.46782112,20.43409538,39.79870224,300.124939,1500.032104,1.041148067,100.8568954,1.754386902,0.178590313,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500624695,0.009967769,297.9390205,299.3429779,240.0051314,-0.733420236,3.139901454,31.13224376,17.66442264,25.49099922,3.273955189,0.551701442,1.358322627,1.915632562,0.347782448,13.87509846,0.729750984,45.41243005,186.1805743,0.039254198,0,1312.592661,0,#DIV/0!,#DIV/0!
5,17:38:55,915.5,0,31.65409391,0.593710243,277.7368921,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.024879942,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.0859627,1.782088952,24.8334713,2,4.644859791,1,9.289719582,26.21151352,24.8334713,25.07286453,400.7250366,377.0967102,6.915220737,13.54531384,20.41304588,39.98442078,300.1268616,1499.888062,1.159287333,100.8582382,1.683708191,0.178134456,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500634308,0.010085963,297.9834713,299.3615135,239.9820845,-0.755503544,3.148245441,31.21455913,17.6692453,25.52249241,3.280084725,0.558045311,1.36615649,1.913928235,0.35181634,28.01205363,0.736513697,45.57660749,372.4966761,0.038730177,0,1312.466617,0,#DIV/0!,#DIV/0!
6,17:41:55,1095.5,0,35.14596298,0.614625592,655.6389973,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.02754847,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.33114867,1.766783261,24.84247017,2,4.644859791,1,9.289719582,26.24753571,24.84247017,25.07147408,801.3446045,772.6082764,6.925111771,13.71440125,20.39795494,40.39584351,300.1628723,1499.453125,0.969466627,100.8541107,0.24407196,0.181870952,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500814362,0.010331149,297.9924702,299.3975357,239.9124946,-0.797748835,3.149937003,31.23260897,17.51820773,25.54500294,3.284472103,0.57648429,1.383153742,1.901318361,0.363545717,66.12388803,0.848604678,46.18173315,767.5007971,0.02114788,0,1312.086029,0,#DIV/0!,#DIV/0!
7,17:44:55,1275.5,0,33.31756459,0.601532114,1045.933872,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.026147877,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,10.16749939,1.77433454,24.82435608,2,4.644859791,1,9.289719582,26.23407173,24.82435608,25.0665741,1201.240112,1171.109253,6.924569607,13.6064558,20.41156387,40.10776901,300.1893616,1499.859619,1.168987393,100.8490601,-2.445991516,0.18298389,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500946808,0.010167499,297.9743561,299.3840717,239.9775337,-0.768441423,3.146532818,31.20041789,17.59396209,25.52921391,3.281394231,0.564950203,1.372198278,1.909195952,0.356207879,105.4814479,0.893113832,45.82549818,1166.26748,0.013091285,0,1312.441729,0,#DIV/0!,#DIV/0!
8,17:47:55,1455.5,0,34.40459659,0.55735077,1421.333073,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.026973365,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,9.632978487,1.806448913,24.80503082,2,4.644859791,1,9.289719582,26.20566559,24.80503082,25.06984329,1601.632202,1568.63855,6.919198513,13.25290298,20.42865181,39.12866211,300.1502075,1500.013306,1.123458385,100.8424835,-6.366279602,0.186008945,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500751038,0.009632978,297.9550308,299.3556656,240.0021235,-0.674547086,3.142904564,31.16647323,17.91357025,25.50534821,3.276746697,0.525804343,1.336455651,1.940291046,0.331323477,143.330757,0.906093423,44.54453842,1563.638807,0.009801093,0,1312.576211,0,#DIV/0!,#DIV/0!
