OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jun 24 2014 12:05:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:05:27 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:08:31,205.0001221,0,22.1589451,0.32891498,262.545201,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.01765471,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.317840303,1.969027652,24.96937752,2,4.644859791,1,9.289719582,25.1736393,24.96937752,25.08156967,400.2191467,383.8385925,7.746800423,11.90632057,24.40065765,37.50220108,300.1604919,1498.987549,0.838780344,101.1941071,2.378046513,0.160317093,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50080246,0.00631784,298.1193775,298.3236393,239.8380025,-0.145681775,3.17387713,31.3642486,19.45792803,25.07150841,3.19325868,0.317667535,1.204849479,1.988409202,0.199522988,26.56802718,0.683998968,38.75789592,380.6184118,0.022564176,0,1311.771483,0,#DIV/0!,#DIV/0!
2,12:11:31,385.0001221,0,2.165023552,0.342507878,35.89458804,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.002411747,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.509067885,1.950743203,24.96503067,2,4.644859791,1,9.289719582,25.15026283,24.96503067,25.08240318,49.28722382,47.63768005,7.793048859,12.07865429,24.58097649,38.09870911,300.0951538,1499.633179,0.724479914,101.1959839,1.713846684,0.157617241,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500475769,0.006509068,298.1150307,298.3002628,239.9413032,-0.179850322,3.173054508,31.3555379,19.27688361,25.05764675,3.190622079,0.3303288,1.222311305,1.968310775,0.207516227,3.632388152,0.753491522,39.39143791,47.32305465,0.018021531,0,1312.336476,0,#DIV/0!,#DIV/0!
3,12:14:31,565.0001221,0,5.850721689,0.359983022,67.52142566,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.005217708,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.766814856,1.932851154,24.97736549,2,4.644859791,1,9.289719582,25.11907768,24.97736549,25.0821476,101.2796783,96.94400024,7.824727058,12.27835083,24.72714615,38.80117416,300.1479187,1500.363281,0.955954254,101.1974792,2.002687931,0.155714661,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500739594,0.006766815,298.1273655,298.2690777,240.0581196,-0.226807698,3.175389307,31.37814628,19.09979545,25.04822159,3.188830423,0.346553823,1.242538153,1.94629227,0.217763922,6.832998072,0.696499273,40.09335586,96.09376206,0.024411061,0,1312.975393,0,#DIV/0!,#DIV/0!
4,12:17:31,745.0001221,0,12.49068582,0.37893646,131.8870405,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.010276394,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.032655533,1.911856182,24.97493744,2,4.644859791,1,9.289719582,25.10957527,24.97493744,25.08249664,200.6591644,191.4371796,7.852756023,12.48132992,24.82966042,39.46476364,300.0871887,1500.144653,0.808751166,101.1970215,2.368639469,0.155821472,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500435944,0.007032656,298.1249374,298.2595753,240.0231392,-0.274134862,3.174929594,31.37374546,18.89241555,25.04225636,3.187696929,0.364085085,1.263073412,1.924623517,0.22884245,13.34657567,0.688931172,40.84566409,189.622009,0.026905651,0,1312.78407,0,#DIV/0!,#DIV/0!
5,12:20:31,925.0001221,0,23.53407143,0.394773493,272.7706453,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.018687284,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.250253625,1.894864058,24.98023224,2,4.644859791,1,9.289719582,25.10790253,24.98023224,25.08044243,399.1096802,381.5878906,7.890057087,12.65910625,24.95017052,40.03099823,300.2054138,1500.248779,0.513328671,101.1973572,2.298052311,0.160967499,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501027069,0.007250254,298.1302322,298.2579025,240.0397993,-0.312744794,3.175932155,31.38354838,18.72444212,25.04406738,3.188041017,0.378681158,1.281068097,1.90697292,0.238070758,27.60366842,0.714830454,41.4801547,378.1678739,0.025813851,0,1312.875192,0,#DIV/0!,#DIV/0!
6,12:23:31,1105.000122,0,32.30553693,0.386954899,616.5788684,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.025372281,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.133216575,1.900433899,24.9822464,2,4.644859791,1,9.289719582,25.11964607,24.9822464,25.08097076,801.4058228,776.1939697,7.915497303,12.60797596,25.01283836,39.84099197,300.1944885,1500.019043,0.543366134,101.1962357,0.775225163,0.160412461,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500972443,0.007133217,298.1322464,298.2696461,240.0030415,-0.29181488,3.176313605,31.3876656,18.77968964,25.05094624,3.189348269,0.371481185,1.275879706,1.913468562,0.233518081,62.39546047,0.794361838,41.26918277,771.4992667,0.017280938,0,1312.674148,0,#DIV/0!,#DIV/0!
7,12:26:31,1285.000122,0,35.56913593,0.354302732,972.3834467,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.027848721,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.64748389,1.927962229,24.97506905,2,4.644859791,1,9.289719582,25.09999275,24.97506905,25.08145714,1200.373657,1171.48584,7.948267937,12.3228054,25.14522552,38.98455811,300.1719971,1500.545898,0.593734384,101.1938629,-1.834882259,0.159931809,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500859985,0.006647484,298.125069,298.2499928,240.0873384,-0.206422386,3.17495451,31.37497096,19.05216555,25.0375309,3.186799263,0.341286335,1.246992281,1.939806982,0.214436419,98.39923721,0.830042851,40.20023748,1166.316864,0.012259856,0,1313.135202,0,#DIV/0!,#DIV/0!
8,12:29:31,1465.000122,0,36.28965753,0.316961295,1336.497103,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.028393033,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.0903635,1.967134526,24.99108696,2,4.644859791,1,9.289719582,25.0728569,24.99108696,25.07968712,1601.594849,1571.036743,7.956008911,11.96585751,25.21007538,37.91601563,300.135376,1500.777954,0.763220251,101.1923981,-5.726483822,0.16084829,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50067688,0.006090363,298.141087,298.2228569,240.1244673,-0.110032574,3.177988342,31.40540596,19.43954846,25.03197193,3.185743543,0.306503525,1.210853816,1.974889727,0.192477598,135.2433469,0.850710277,38.81674618,1565.76306,0.008996549,0,1313.338275,0,#DIV/0!,#DIV/0!
