OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Jun 23 2014 15:17:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:17:37 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:20:42,196,0,17.57224641,0.239826112,256.562583,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.014142558,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.838171149,2.059421021,24.54341316,2,4.644859791,1,9.289719582,25.032547,24.54341316,25.07846451,399.9603271,387.0033569,6.995219231,10.18630409,22.30404472,32.47872162,300.1416931,1500.639282,0.864904642,101.5799484,2.590782166,0.158289596,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500708466,0.004838171,297.6934132,298.182547,240.1022798,0.12919446,3.094145266,30.46019725,20.27389316,24.78798008,3.139706378,0.233790508,1.034724244,2.104982134,0.146649601,26.06161395,0.66294666,33.77041269,384.4497241,0.015435621,0,1313.216923,0,#DIV/0!,#DIV/0!
2,15:23:42,376,0,1.817397166,0.276087959,35.95500631,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.002144466,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.460897185,2.026323245,24.57826614,2,4.644859791,1,9.289719582,25.03800774,24.57826614,25.08311081,49.50587845,48.11952591,6.975134373,10.5761137,22.23190117,33.70933151,300.092926,1501.304199,1.102210641,101.576004,1.808952332,0.157559082,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50046463,0.005460897,297.7282661,298.1880077,240.2086665,0.018485834,3.100602613,30.52495166,19.94883796,24.80813694,3.14348748,0.268119519,1.074279368,2.069208112,0.168272848,3.652165866,0.747202006,35.2020078,47.85541824,0.013368607,0,1313.798795,0,#DIV/0!,#DIV/0!
3,15:26:42,556,0,5.341395898,0.318703659,65.9059023,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.004825802,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.14634297,1.98397374,24.58645821,2,4.644859791,1,9.289719582,25.00662422,24.58645821,25.07997131,100.0343628,96.08185577,6.958152771,11.00842953,22.21843338,35.151577,300.1612854,1501.603149,1.020825505,101.5720139,2.124450684,0.152717277,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500806427,0.006146343,297.7364582,298.1566242,240.2564985,-0.103983833,3.102122097,30.54111048,19.53268095,24.79654121,3.141311823,0.308132515,1.118148356,2.023163467,0.19350547,6.694195221,0.685934943,36.85413493,95.3056338,0.020654868,0,1314.060408,0,#DIV/0!,#DIV/0!
4,15:29:42,736,0,11.69520826,0.359402507,133.1839493,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.009659223,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.753221439,1.940832132,24.56283951,2,4.644859791,1,9.289719582,24.98374939,24.56283951,25.08050537,200.6807556,192.0243225,6.941926956,11.39027882,22.19643974,36.41980362,300.1696167,1501.887695,0.991782367,101.5700226,2.47593689,0.156757042,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500848083,0.006753221,297.7128395,298.1337494,240.3020259,-0.210777002,3.097743009,30.49859525,19.10831644,24.77329445,3.136954094,0.34601578,1.156910877,1.980043218,0.217424012,13.52749674,0.69357854,38.39016411,190.3247522,0.023590256,0,1314.309415,0,#DIV/0!,#DIV/0!
5,15:32:42,916,0,21.23988124,0.386689383,282.7574812,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.0169246,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.1993417,1.927946355,24.64920425,2,4.644859791,1,9.289719582,25.02125549,24.64920425,25.08180618,400.0536499,384.0596008,6.934832096,11.67563152,22.12313461,37.24698257,300.1723633,1501.598755,0.823261142,101.5650101,2.486679077,0.156388924,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500861816,0.007199342,297.7992043,298.1712555,240.2557954,-0.291824579,3.113781988,30.6580188,18.98238727,24.83522987,3.148575947,0.371236473,1.185835633,1.962740314,0.233363362,28.71826643,0.736233336,39.27235317,380.9729802,0.021894994,0,1314.056562,0,#DIV/0!,#DIV/0!
6,15:35:42,1096,0,26.09988695,0.397542347,647.785579,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.020623828,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.336826231,1.913201669,24.61968231,2,4.644859791,1,9.289719582,25.02192879,24.61968231,25.07976723,799.7040405,778.5095825,6.936307907,11.76693344,22.12660217,37.53614426,300.1886292,1501.543945,0.678947151,101.563385,1.06803894,0.15692775,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500943146,0.007336826,297.7696823,298.1719288,240.2470259,-0.314730122,3.10829126,30.60444726,18.83751382,24.82080555,3.145865943,0.381228148,1.195089591,1.950776352,0.239681512,65.79129616,0.832084272,39.69680871,774.7166965,0.013373692,0,1314.008598,0,#DIV/0!,#DIV/0!
7,15:38:42,1276,0,27.69449246,0.376916653,1021.32941,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.021843589,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,7.050216686,1.935060258,24.6356144,2,4.644859791,1,9.289719582,25.04315948,24.6356144,25.08084297,1200.99353,1177.014771,6.938537121,11.58107853,22.10533714,36.89590836,300.2048645,1501.116455,0.852317691,101.5616226,-1.763504028,0.159282371,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501024323,0.007050217,297.7856144,298.1931595,240.1786274,-0.264223622,3.111253385,30.63414412,19.05306559,24.83938694,3.149357344,0.362220107,1.176193127,1.973164217,0.227663628,103.7278721,0.867728627,38.94076084,1172.990153,0.009193978,0,1313.634499,0,#DIV/0!,#DIV/0!
8,15:41:42,1456,0,28.95504982,0.336270614,1385.903122,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.2099781,0.875104989,0.022803422,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.457330894,1.978450714,24.65520096,2,4.644859791,1,9.289719582,25.04960251,24.65520096,25.07877731,1600.906738,1574.836792,6.935762405,11.19036865,22.08676338,35.63545227,300.1486206,1501.10083,0.941414952,101.5558701,-5.492752075,0.16154258,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500743103,0.006457331,297.805201,298.1996025,240.1761274,-0.160296166,3.114898338,30.67177049,19.48140184,24.85240173,3.15180481,0.324523466,1.136447625,2.015357185,0.203850846,140.7465973,0.880029682,37.3926561,1570.628988,0.006893456,0,1313.620825,0,#DIV/0!,#DIV/0!
