OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jun  5 2014 12:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:36:00 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:39:09,235.5001221,0,13.07613674,0.203725575,274.9242189,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.010711834,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.39454337,2.167184887,25.10546875,2,4.644859791,1,9.289719582,25.36712074,25.10546875,25.07976532,401.117981,391.2607422,7.383720875,10.28139591,22.81682014,31.7710762,300.1966248,1501.644897,0.069736071,100.4281311,1.359465122,0.170897663,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500983124,0.004394543,298.2554688,298.5171207,240.2631782,0.197695512,3.199726263,31.8608564,21.57946048,25.23629475,3.22474855,0.199353705,1.032541377,2.192207173,0.124981611,27.6101255,0.702662417,32.29655654,389.3604927,0.010846354,0,1314.073473,0,#DIV/0!,#DIV/0!
2,12:42:09,415.5001221,0,1.154272009,0.229949334,39.15298993,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.001639509,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.879139829,2.137355082,25.10041809,2,4.644859791,1,9.289719582,25.38266182,25.10041809,25.0782299,49.80872726,48.88071823,7.352163792,10.56880283,22.69839668,32.62915421,300.1625671,1501.531494,0.172399193,100.4284592,1.057672977,0.170314968,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500812836,0.00487914,298.2504181,298.5326618,240.2450337,0.113144492,3.198763666,31.85116741,21.28236458,25.24153996,3.225755323,0.224394866,1.061408584,2.16434674,0.140735468,3.93207445,0.800990479,33.38289525,48.71297719,0.0079102,0,1313.974235,0,#DIV/0!,#DIV/0!
3,12:45:09,595.5001221,0,3.715207047,0.26325862,71.80841896,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.003589331,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.470654658,2.100012869,25.10549736,2,4.644859791,1,9.289719582,25.40621758,25.10549736,25.07735825,100.6567383,97.82461548,7.345716,10.9510231,22.64520073,33.75955582,300.15448,1501.187378,0.205330059,100.4215622,1.322779179,0.170023143,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.5007724,0.005470655,298.2554974,298.5562176,240.1899751,0.009503028,3.199731717,31.86299483,20.91197173,25.25585747,3.228504848,0.256003804,1.099718848,2.128786,0.160638736,7.211113611,0.734052658,34.78160497,97.28471441,0.013282751,0,1313.673103,0,#DIV/0!,#DIV/0!
4,12:48:09,775.5001221,0,8.025415574,0.297635364,144.0548281,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.006868939,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.05152337,2.061742582,25.10297775,2,4.644859791,1,9.289719582,25.39752007,25.10297775,25.07647133,200.1613922,194.0306702,7.339917183,11.32704544,22.63960838,34.93770599,300.114624,1501.499268,0.509459674,100.4241486,1.56444788,0.1705181,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50057312,0.006051523,298.2529778,298.5475201,240.2398774,-0.09297312,3.199251476,31.85739209,20.53034665,25.25024891,3.22742754,0.288395401,1.137508894,2.089918646,0.181055113,14.46658345,0.742433286,36.17806577,192.8644013,0.015054308,0,1313.946034,0,#DIV/0!,#DIV/0!
5,12:51:09,955.5001221,0,14.63294937,0.330900679,304.7539983,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.011898774,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.596110317,2.027956503,25.11100388,2,4.644859791,1,9.289719582,25.39573669,25.11100388,25.07709694,400.5287781,389.0683899,7.335093498,11.67894363,22.62668419,36.02622986,300.1519165,1501.36499,0.385482907,100.4221802,1.380701542,0.169562519,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500759583,0.00659611,298.2610039,298.5457367,240.2183931,-0.189503407,3.200781485,31.8732523,20.19430867,25.25337029,3.228027064,0.319519369,1.172824982,2.055202082,0.200691881,30.60406093,0.783291591,37.45913679,386.9419014,0.01416589,0,1313.82853,0,#DIV/0!,#DIV/0!
6,12:54:09,1135.500122,0,18.73725464,0.350130229,673.5004164,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.015024024,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.891176443,2.00620846,25.09803581,2,4.644859791,1,9.289719582,25.4027977,25.09803581,25.07700348,801.6950684,785.6034546,7.333492279,11.87052536,22.61296082,36.60298538,300.1686096,1501.23291,0.244074762,100.4253159,-0.588109493,0.170345485,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500843048,0.006891176,298.2480358,298.5527977,240.1972603,-0.240685373,3.198309719,31.8476441,19.97711874,25.25041676,3.227459776,0.337413103,1.192101259,2.035358518,0.211990024,67.63649205,0.857303277,38.20028802,782.8805205,0.009142756,0,1313.712948,0,#DIV/0!,#DIV/0!
7,12:57:09,1315.500122,0,19.55535867,0.333713099,1050.102473,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.015645856,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.636919813,2.023990669,25.10268402,2,4.644859791,1,9.289719582,25.41217613,25.10268402,25.07663345,1201.634155,1183.374023,7.332286358,11.70207214,22.59703445,36.06407547,300.2094116,1501.32019,0.37483421,100.4270706,-3.573949337,0.178058803,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501047058,0.00663692,298.252684,298.5621761,240.2112251,-0.19559269,3.199195495,31.85590772,20.15383558,25.25743008,3.228806975,0.322140884,1.175204826,2.05360215,0.202346718,105.4587152,0.887380027,37.56856287,1180.532201,0.006223182,0,1313.789326,0,#DIV/0!,#DIV/0!
8,13:00:09,1495.500122,0,19.95697303,0.296215813,1419.113429,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.17872143,0.875089361,0.015945866,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.031594156,2.064567231,25.09713745,2,4.644859791,1,9.289719582,25.38201141,25.09713745,25.07683754,1599.690552,1580.042847,7.314161301,11.28773308,22.58118057,34.84887695,300.1587219,1501.855103,0.225668907,100.4250641,-7.437596798,0.178842723,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50079361,0.006031594,298.2471375,298.5320114,240.296811,-0.089676667,3.198138549,31.8460195,20.55828642,25.23957443,3.225378026,0.287062423,1.133571318,2.091806708,0.180214533,142.5145571,0.8981487,36.06057655,1577.142661,0.004563062,0,1314.257422,0,#DIV/0!,#DIV/0!
