OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jun  6 2014 12:42:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-1.769999981,-0.330000013,-2944.77002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/Fluorimeter.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
in,in,in,in,out,out,out,in,in,in,in,in,in,in,out,out,out,in,in,in,in,out,out,out,out,out,in,in,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:42:49 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:45:53,193.5,0,19.91726611,0.264296937,251.324421,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.015913843,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.27045667,2.027915205,25.00912094,2,4.644859791,1,9.289719582,26.23124504,25.00912094,25.07022858,399.8649597,385.2393799,7.943242073,11.41530132,23.46437836,33.72085953,300.1269531,1502.105469,0.910440683,101.0478668,1.559856415,0.185662284,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500634766,0.005270457,298.1591209,299.381245,240.3368696,0.087760521,3.181407053,31.48415848,20.06885716,25.62018299,3.299162125,0.256985575,1.153491848,2.145670277,0.161257243,25.39579662,0.652385073,36.66204638,382.3449643,0.019098139,0,1314.406944,0,#DIV/0!,#DIV/0!
2,12:48:53,373.5,0,1.587569084,0.259863488,36.76217095,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.001968915,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.199740045,2.03401713,25.00287628,2,4.644859791,1,9.289719582,26.23774338,25.00287628,25.07053375,49.38799286,48.16309738,7.917063713,11.34300327,23.37847137,33.49500275,300.1080017,1501.880859,0.78063035,101.0495834,1.029750824,0.173743263,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500540009,0.00519974,298.1528763,299.3877434,240.3009321,0.100668678,3.180222886,31.47190496,20.12890169,25.62030983,3.299186957,0.252792076,1.146205756,2.152981202,0.158615508,3.71480206,0.763285024,36.42105195,47.93238877,0.01206302,0,1314.210401,0,#DIV/0!,#DIV/0!
3,12:51:53,553.5,0,5.115316277,0.285761802,64.68400809,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.004653445,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.627379282,2.006970905,24.99849319,2,4.644859791,1,9.289719582,26.24332237,24.99849319,25.06998253,100.4595032,96.68862915,7.896401882,11.60242367,23.30979538,34.24979019,300.1648865,1501.809692,0.855210841,101.0496674,1.332157135,0.175094619,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500824432,0.005627379,298.1484932,299.3933224,240.2895454,0.025696017,3.179391957,31.46365584,19.86123218,25.62090778,3.299304027,0.277233791,1.172421052,2.126882975,0.174017645,6.536297501,0.668992917,37.41174719,95.9452615,0.019946052,0,1314.148127,0,#DIV/0!,#DIV/0!
4,12:54:53,733.5,0,11.70273126,0.317787513,126.1933658,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.009668134,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.13731517,1.974450827,24.99866295,2,4.644859791,1,9.289719582,26.2558403,24.99866295,25.07027626,200.4813385,191.8987732,7.884238243,11.92491055,23.25601387,35.17472076,300.1544189,1501.499023,0.905583799,101.0467377,1.612049103,0.175257698,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500772095,0.006137315,298.1486629,299.4058403,240.2398384,-0.063824531,3.179424135,31.46488653,19.53997598,25.62725163,3.300546268,0.307276055,1.204973308,2.095572961,0.192965048,12.75142793,0.657603817,38.62161906,190.1981097,0.023763561,0,1313.876278,0,#DIV/0!,#DIV/0!
5,12:57:53,913.5,0,23.62466319,0.347576177,261.083662,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.018743143,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.589192228,1.943898289,24.9832859,2,4.644859791,1,9.289719582,26.25134277,24.9832859,25.07055664,400.829895,383.4067993,7.862038612,12.19853306,23.1965065,35.9910965,300.1878052,1501.407104,1.051809669,101.0459366,1.495075226,0.175571457,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500939026,0.006589192,298.1332859,299.4013428,240.2251313,-0.143048352,3.176510487,31.43630109,19.23776803,25.61731434,3.298600545,0.335040586,1.232612198,2.065988347,0.21049165,26.38144315,0.680957308,39.69535909,379.9736176,0.024680384,0,1313.795845,0,#DIV/0!,#DIV/0!
6,13:00:53,1093.5,0,34.62348654,0.341922933,586.040665,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.027110924,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,6.509451272,1.950969752,24.9789505,2,4.644859791,1,9.289719582,26.24285889,24.9789505,25.0694046,800.9699707,774.5394897,7.836090088,12.12100601,23.13042641,35.77856064,300.1482544,1501.62915,1.035338998,101.0410919,-0.03635788,0.184404388,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500741272,0.006509451,298.1289505,299.3928589,240.2606587,-0.129043866,3.175689435,31.42968246,19.30867645,25.61090469,3.297346066,0.329784682,1.224719683,2.072626384,0.207172653,59.2141887,0.756631099,39.42740822,769.5079378,0.017740094,0,1313.990145,0,#DIV/0!,#DIV/0!
7,13:03:53,1273.5,0,37.93437689,0.272819573,909.4581204,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.08609104,0.875043046,0.029626523,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,5.4229752,2.023215773,24.9650631,2,4.644859791,1,9.289719582,26.22172928,24.9650631,25.06998253,1200.95813,1171.448242,7.807528973,11.3799057,23.07503891,33.63314819,300.151001,1501.838135,1.188394904,101.041687,-3.038433075,0.185541168,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500755005,0.005422975,298.1150631,299.3717293,240.2940962,0.062275882,3.173060643,31.40348046,20.02357475,25.59339619,3.293921472,0.265036021,1.14984487,2.144076602,0.166329663,91.89318275,0.776353652,36.70282755,1165.935545,0.011941474,0,1314.173015,0,#DIV/0!,#DIV/0!
8,13:06:53,1453.5,0,39.71207771,0.20136365,1200.818334,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.87,0.92,10.11678028,0.87505839,0.031056371,#DIV/0!,#DIV/0!,#DIV/0!,0,0.5,#DIV/0!,4.197678637,2.106756195,24.96621895,2,4.644859791,1,9.289719582,26.18175507,24.96621895,25.06983376,1600.126587,1569.274292,7.788069725,10.55572987,23.07097054,31.26974106,300.1357727,1498.081787,0.937534392,101.0373688,-6.969219208,0.184778228,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500678864,0.004197679,298.1162189,299.3317551,239.6930806,0.27397509,3.173279366,31.40698738,20.85125751,25.57398701,3.290128746,0.197091501,1.066523171,2.223605575,0.12355902,121.3275248,0.765206147,33.62541277,1563.503256,0.00854066,0,1310.909037,0,#DIV/0!,#DIV/0!
