time,date,Machine,SampleID,Remove,A,Ci,VPDleaf,Tair,Tleaf,TBlk,CO2r,CO2s,H2Or,H2Os,RHs,flow,Qin,Patm
12:53:34,20200122,Lindsey,BNL17167,NO,-0.18,53.41,1.42,28.4,28,27.71,50.01,50.14,22.85,23.76,61.1,600.03,1000,99.59
12:52:00,20200122,Lindsey,BNL17167,NO,0.42,64.33,1.42,28.43,28.03,27.67,74.94,74.44,22.75,23.87,61.2,600.03,1000,99.59
12:50:59,20200122,Lindsey,BNL17167,NO,0.9,80.06,1.39,28.39,27.99,27.65,100.04,99.02,22.91,24.09,61.9,600.03,1000,99.59
12:49:04,20200122,Lindsey,BNL17167,NO,1.86,105.5,1.42,28.44,28.02,27.63,149.94,147.92,22.76,23.84,61.1,600.03,1000,99.6
12:48:03,20200122,Lindsey,BNL17167,NO,3.28,149.94,1.38,28.41,28,27.62,225.06,221.53,23.07,24.15,62,600.03,1000,99.6
12:45:57,20200122,Lindsey,BNL17167,NO,4.79,181.51,1.42,28.47,28.03,27.63,299.94,294.84,22.9,23.91,61.2,600.03,1000,99.6
12:43:29,20200122,Lindsey,BNL17167,YES,6.76,232.22,1.39,28.44,28.01,27.67,400.05,392.9,23.09,24.08,61.7,600.03,1000,99.6
12:44:55,20200122,Lindsey,BNL17167,NO,6.71,236.37,1.41,28.46,28.01,27.64,400.02,392.9,22.93,23.95,61.3,600.03,1000,99.6
12:55:00,20200122,Lindsey,BNL17167,YES,6.93,255.14,1.41,28.41,28.04,27.76,399.95,392.54,22.81,24.02,61.7,600.03,1000,99.58
12:56:01,20200122,Lindsey,BNL17167,YES,7.14,258.87,1.41,28.4,28.01,27.8,399.99,392.34,22.66,23.94,61.5,600.02,1000,99.58
12:58:11,20200122,Lindsey,BNL17167,NO,7.33,263.91,1.39,28.39,28,27.89,399.98,392.11,22.74,24.1,61.9,600.02,1000,99.58
13:11:24,20200122,Lindsey,BNL17167,YES,5.16,270.31,1.41,28.38,28.02,28.36,399.87,394.3,22.94,23.95,61.6,600.02,1000,99.58
12:59:12,20200122,Lindsey,BNL17167,NO,8.8,304.37,1.42,28.41,28.01,27.94,475.01,465.58,22.5,23.83,61.2,600.02,1000,99.58
13:01:27,20200122,Lindsey,BNL17167,NO,9.93,380.81,1.39,28.38,28.01,28.05,575.04,564.37,22.83,24.12,62,600.02,1000,99.58
13:02:29,20200122,Lindsey,BNL17167,NO,11.34,442.75,1.41,28.39,28.02,28.11,675.01,662.82,22.64,23.89,61.4,600.02,1000,99.58
13:04:31,20200122,Lindsey,BNL17167,NO,12.23,547.69,1.39,28.36,28,28.21,800.03,786.82,22.87,24.09,62,600.03,1000,99.58
13:05:52,20200122,Lindsey,BNL17167,NO,13.02,709.53,1.41,28.39,28.02,28.25,999.92,985.73,22.76,23.91,61.5,600.03,1000,99.59
13:08:08,20200122,Lindsey,BNL17167,NO,12.93,1092.9,1.39,28.36,28,28.32,1399.99,1385.5,23,24.1,62.1,600.02,1000,99.59
13:10:09,20200122,Lindsey,BNL17167,NO,13.22,1450.91,1.4,28.37,28,28.35,1800.06,1785.01,23.03,24.04,61.9,600.02,1000,99.59
15:48:39,20200122,Andy,BNL17168,NO,-0.32,53.8,1.05,28.17,28.72,28.02,50.01,50.32,27.71,29.2,75.8,500.2,1499,99.55
15:47:17,20200122,Andy,BNL17168,NO,0.03,68.2,1.06,28.19,28.74,28.02,70.01,69.86,27.67,29.13,75.6,500.2,1499,99.55
