SampleID,Date,Site,Vertical_Profile,Vertical_Elevation,Phenological_Stage,Species_Name,Species_Code,Tleaf_Spec
SPC00302,20200217,PA_SLZ,A,10,Mature,Amaioua corymbosa,AMAICO,25.6
BNL17244,20200128,PA_SLZ,NA,1,Mature,Annona spraguei,ANNOSP,24.1
SPC00514,20200225,PA_SLZ,NA,1,NA,Apeiba membranacea,APEIME,-9999
BNL17717,20200225,PA_SLZ,NA,1,Mature,Apeiba membranacea,APEIME,26
BNL17742,20200225,PA_SLZ,NA,1,Mature,Apeiba membranacea,APEIME,25.9
SPC00263,20200217,PA_SLZ,A,1,Mature,Apeiba membranacea,APEIME,24.8
SPC00425,20200218,PA_SLZ,I,1,Young,Apeiba membranacea,APEIME,25.7
SPC00467,20200218,PA_SLZ,J,1,Mature,Apeiba membranacea,APEIME,24.4
BNL17500,20200211,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,24.8
BNL17508,20200211,PA_SLZ,B,8,Mature,Aspidosperma spruceanum,ASPICR,24.4
BNL17510,20200211,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,25.9
BNL17520,20200211,PA_SLZ,B,8,Mature,Aspidosperma spruceanum,ASPICR,25
BNL17598,20200217,PA_SLZ,B,8,Mature,Aspidosperma spruceanum,ASPICR,26.4
BNL17602,20200217,PA_SLZ,B,8,Mature,Aspidosperma spruceanum,ASPICR,25
BNL17609,20200217,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,26.5
BNL17612,20200217,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,25.3
BNL17617,20200217,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,25.2
BNL17624,20200218,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,25.9
BNL18446,20200312,PA_SLZ,NA,1,Mature,Aspidosperma spruceanum,ASPICR,28.1
SPC00043,20200211,PA_SLZ,B,1,Mature,Aspidosperma spruceanum,ASPICR,25.9
SPC00048,20200211,PA_SLZ,B,2,Mature,Aspidosperma spruceanum,ASPICR,24.9
SPC00049,20200211,PA_SLZ,B,3,Mature,Aspidosperma spruceanum,ASPICR,25.3
SPC00057,20200211,PA_SLZ,B,5,Mature,Aspidosperma spruceanum,ASPICR,26.7
SPC00066,20200211,PA_SLZ,B,8,Mature,Aspidosperma spruceanum,ASPICR,26
SPC00076,20200211,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,27.8
SPC00077,20200211,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,29.1
SPC00078,20200211,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,28.9
SPC00079,20200211,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,27.8
SPC00080,20200211,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,29.1
SPC00083,20200211,PA_SLZ,C,2,Mature,Aspidosperma spruceanum,ASPICR,26.9
SPC00084,20200211,PA_SLZ,C,2,Mature,Aspidosperma spruceanum,ASPICR,27.1
SPC00260,20200217,PA_SLZ,A,1,Young,Aspidosperma spruceanum,ASPICR,24.5
SPC00261,20200217,PA_SLZ,A,1,Mature,Aspidosperma spruceanum,ASPICR,25
SPC00262,20200217,PA_SLZ,A,1,Old,Aspidosperma spruceanum,ASPICR,24.9
SPC00264,20200217,PA_SLZ,A,1,Young,Aspidosperma spruceanum,ASPICR,25.3
SPC00265,20200217,PA_SLZ,A,1,Mature,Aspidosperma spruceanum,ASPICR,25
SPC00266,20200217,PA_SLZ,A,1,Young,Aspidosperma spruceanum,ASPICR,25.3
SPC00288,20200217,PA_SLZ,A,7,Mature,Aspidosperma spruceanum,ASPICR,24.6
SPC00307,20200217,PA_SLZ,B,8,Mature,Aspidosperma spruceanum,ASPICR,26
SPC00312,20200217,PA_SLZ,C,1,Mature,Aspidosperma spruceanum,ASPICR,29.1
SPC00330,20200217,PA_SLZ,E,4,Mature,Aspidosperma spruceanum,ASPICR,25.6
SPC00427,20200218,PA_SLZ,I,2,Young,Aspidosperma spruceanum,ASPICR,25.7
SPC00428,20200218,PA_SLZ,I,2,Mature,Aspidosperma spruceanum,ASPICR,25.8
SPC00435,20200218,PA_SLZ,I,3,Mature,Aspidosperma spruceanum,ASPICR,25.5
SPC00436,20200218,PA_SLZ,I,3,Mature,Aspidosperma spruceanum,ASPICR,25
BNL17245,20200128,PA_SLZ,NA,1,Mature,Bixa orellana,BIXAOR,23.4
