SampleID,Spectra_name,date,Genus_species,Site,Plot,AQ,ACi,Rdark,survey,gswQ,gswTleaf,gswRH,gswdarkCO2,gswdarkRH,gswdarkTleaf,Refl,Tran,Vertical_Position,Vertical_Profile,Vertical_Level,Tleaf_Spec
BNL21600,BCI_16_CUPASY01_01,20220316,Cupania seemannii,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.6
BNL21601,BCI_16_EUGEOE02_01,20220316,Eugenia oerstediana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
BNL21602,BCI_16_SIMAAN01_01,20220316,Simarouba amara,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.6
BNL21603,BCI_16_VIROSE01_01,20220316,Virola sebifera,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.1
BNL21604,BCI_16_TRI2TU01_01,20220316,Trichilia tuberculata,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.2
BNL21605,BCI_16_MICOAR01_01,20220316,Miconia argentea,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,24.1
BNL21606,BCI_16_QUARAS01_01,20220316,Quararibea asterolepis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,22.1
BNL21607,BCI_16_FARAOC02_01,20220316,Faramea occidentalis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.3
BNL21608,BCI_16_FARAOC03_01,20220316,Faramea occidentalis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.4
BNL21609,BCI_16_TRI2TU02_01,20220316,Trichilia tuberculata,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,22.5
BNL21610,BCI_16_FARAOC01_01,20220316,Faramea occidentalis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,23.9
BNL21611,BCI_16_EUGEOE03_01,20220316,Eugenia oerstediana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.3
BNL21612,BCI_16_EUGEOE01_01,20220316,Eugenia oerstediana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25
BNL21613,BCI_16_CECRIN01_01,20220316,Cecropia insignis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,29.1
BNL21614,BCI_17_INGAA103_01,20220317,Inga acuminata,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
BNL21615,BCI_17_HIRTTR01_01,20220317,Hirtella triandra,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.2
BNL21616,BCI_17_INGAA101_01,20220317,Inga acuminata,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.5
BNL21617,BCI_17_MICOAR03_01,20220317,Miconia argentea,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.8
BNL21618,BCI_17_MICOAR02_01,20220317,Miconia argentea,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.2
BNL21619,BCI_17_QUARAS02_01,20220317,Quararibea asterolepis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.5
BNL21620,BCI_17_INGAA102_01,20220317,Inga acuminata,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
BNL21621,BCI_17_HIRTTR03_01,20220317,Hirtella triandra,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.9
BNL21622,BCI_17_PRI2CO01_01,20220317,Prioria copaifera,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.7
BNL21623,BCI_17_VIROSE02_01,20220317,Virola sebifera,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
BNL21624,BCI_17_GAR2IN05_01,20220317,Garcinia recondita,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.6
BNL21625,BCI_17_HIRTTR02_01,20220317,Hirtella triandra,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.9
BNL21626,BCI_17_GAR2IN04_01,20220317,Garcinia recondita,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,28.3
BNL21627,BCI_17_SIMAAN02_01,20220317,Simarouba amara,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,27.8
BNL21628,NA,20220317,Simarouba amara,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
BNL21629,BCI_17_PRI2CO02_01,20220317,Prioria copaifera,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
BNL21630,BCI_17_CECRIN02_01,20220317,Cecropia insignis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,25.1
BNL21631,BCI_17_CECRIN03_01,20220317,Cecropia insignis,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
BNL21632,BCI_18_ALSEBD03_01,20220318,Alseis blackiana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26
BNL21633,BCI_18_ALSEBD02_01,20220318,Alseis blackiana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.1
BNL21634,BCI_18_ALSEBD01_01,20220318,Alseis blackiana,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.1
BNL21635,BCI_18_CALOLO02_07,20220318,Calophyllum longifolium,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.2
BNL21636,BCI_18_CALOLO02_02,20220318,Calophyllum longifolium,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.7
BNL21637,BCI_18_CALOLO99_01,20220318,Calophyllum longifolium,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.4
BNL21638,BCI_18_CALOLO99_02,20220318,Calophyllum longifolium,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,28.2
BNL21639,BCI_18_CALOLO01_02,20220318,Calophyllum longifolium,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.6
BNL21640,BCI_18_TAB1RO01_01,20220318,Tabebuia rosea,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.3
BNL21641,BCI_18_GAR2IN01_02,20220318,Garcinia recondita,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.8
BNL21642,BCI_18_GAR2IN02_01,20220318,Garcinia recondita,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.8
BNL21643,BCI_18_GAR2IN03_03,20220318,Garcinia recondita,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.9
BNL21644,BCI_18_GUSTSU02_06,20220318,Gustavia superba,PA-BCI,NA,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,26.8
