"SampleID","date","Remove_gswmin","Tair","Tleaf","RHs","VPDleaf","CO2s","Qin","gsw","Ci","A","Rdark","Patm"
"BNL20383","20220224","NO",31.46,31.11,59.2781818181818,1.79272727272727,401.587272727273,0,5.77818181818182,773.363636363636,-1.40090909090909,1.40090909090909,100.6
"BNL20384","20220224","NO",31.8890909090909,31.14,61.9963636363636,1.60909090909091,401.455454545455,0,11.5909090909091,558.454545454545,-1.22363636363636,1.22363636363636,100.9
"BNL20387","20220224","NO",32.1981818181818,32.1218181818182,60.8672727272727,1.87,401.311818181818,0,10.6272727272727,568.363636363636,-1.20636363636364,1.20636363636364,100.5
"BNL20388","20220224","NO",31.9245454545455,32.0345454545455,54.74,2.18090909090909,401.825454545455,0,6.43363636363636,732.909090909091,-1.41754545454545,1.41754545454545,100.3
"BNL20397","20220228","NO",30.1336363636364,30.1472727272727,46.3536363636364,2.31,402.983636363636,-1,7.50636363636364,918.272727272727,-2.52818181818182,2.52818181818182,100.7
"BNL20398","20220228","NO",29.8718181818182,30.1327272727273,50.1818181818182,2.17,402.104545454545,0,7.70272727272727,765.545454545455,-1.84363636363636,1.84363636363636,100.9
"BNL20402","20220228","NO",30.2954545454545,29.8390909090909,50.7227272727273,2.02454545454545,400.025454545455,-1,3.68272727272727,1045.09090909091,-1.53181818181818,1.53181818181818,100.4
"BNL20403","20220228","NO",30.2790909090909,29.8772727272727,47.05,2.19454545454545,177.477272727273,0,8.63909090909091,789.363636363636,-3.38727272727273,3.38727272727273,100.6
"BNL20407","20220301","NO",26.76,26.0481818181818,51.3136363636364,1.57,400.537272727273,-1,9.12909090909091,467.818181818182,-0.446,0.446,101
"BNL20408","20220301","NO",25.2837090909091,24.9998090909091,69.94700871461,0.91765362037702,400.241545454545,0,5.3593907503552,479.051523553644,-0.270483571181754,0.270483571181754,101.193181818182
"BNL20409","20220301","NO",25.5859818181818,24.9964090909091,70.151501603969,0.869278468307121,400.653454545455,0,13.9953397619316,474.713725138145,-0.69982671676637,0.69982671676637,101.099818181818
"BNL20410","20220301","NO",25.3354545454545,25.0136363636364,64.4718181818182,1.09,400.652727272727,0,20.8090909090909,443,-0.644636363636364,0.644636363636364,101.2
"BNL20411","20220301","NO",25.2327272727273,24.9627272727273,66.3272727272727,1.03181818181818,400.365454545455,1,5.67181818181818,494,-0.336454545454545,0.336454545454545,101
"BNL20412","20220301","NO",24.99,25.0009090909091,47.2354545454545,1.68,401.146363636364,0,5.02727272727273,704.272727272727,-0.998181818181818,0.998181818181818,100.9
"BNL20413","20220301","NO",25.2982454545455,25.0007818181818,70.0414809117383,0.912823445231832,400.374272727273,0,8.96163906170437,467.101524484084,-0.408430704613921,0.408430704613921,100.993454545455
"BNL20414","20220301","NO",25.4766909090909,25.0005,70.06386766379,0.887861732409645,400.433727272727,0,20.0037340971051,436.343991057083,-0.523101666686658,0.523101666686658,100.936272727273
"BNL20415","20220301","NO",25.3054545454545,25.0909090909091,63.8245454545455,1.13,400.793636363636,0,5.02090909090909,603.636363636364,-0.662818181818182,0.662818181818182,101
"BNL20416","20220301","YES",26.58,26.0081818181818,54.1309090909091,1.48545454545455,400.196363636364,-1,28.0181818181818,410.545454545455,-0.349636363636364,0.349636363636364,100.8
"BNL20417","20220301","NO",25.13,24.88,68.2263636363636,0.970545454545454,400.219090909091,1,10.7636363636364,416.454545454545,-0.152493636363636,0.152493636363636,100.7
"BNL20418","20220301","NO",24.7218181818182,24.92,66.1218181818182,1.1,401.232727272727,0,4.31,784.363636363636,-1.05881818181818,1.05881818181818,100.7
"BNL20419","20220301","NO",25.29,25.0145454545455,61.2972727272727,1.2,15.6272727272727,0,18.5363636363636,70.9272727272727,-0.647363636363636,0.647363636363636,100.7
"BNL20420","20220301","YES",26.54,25.9845454545455,53.7754545454546,1.5,400.681818181818,-1,15.9909090909091,453.636363636364,-0.630363636363636,0.630363636363636,100.6
"BNL20421","20220301","NO",25.2673181818182,25.0003454545455,70.0039921323215,0.918119273574801,400.497636363636,0,2.81449605683272,731.189847963759,-0.518589396506031,0.518589396506031,100.773
"BNL20422","20220301","NO",25.5015444444444,25.0011111111111,69.9714719965904,0.887618261972961,400.528666666667,0,19.9642545333481,442.328831987892,-0.595671101860479,0.595671101860479,100.690555555556
"BNL20426","20220302","NO",29.0954545454545,29.1463636363636,64.6581818181818,1.44,400.941818181818,0,7.88272727272727,568.727272727273,-0.881,0.881,100.8
"BNL20427","20220302","NO",28.8181818181818,29.1172727272727,69.9109090909091,1.26727272727273,401.32,0,7.72818181818182,633.090909090909,-1.16727272727273,1.16727272727273,100.6
"BNL20430","20220302","NO",30.73,30.12,53.3118181818182,1.92,215.608181818182,0,8.34090909090909,559.181818181818,-1.85,1.85,100.5
"BNL20433","20220302","NO",30.62,30.0836363636364,54.1063636363636,1.89,401.206363636364,0,5.49,687.090909090909,-1.03509090909091,1.03509090909091,100.3
