record,time,date,SampleID,Remove,A,gsw,Ci,VPDleaf,Tair,Tleaf,CO2r,CO2s,H2Or,H2Os,RHs,flow,Qin,Patm
1,09:57:18,20230906,BNL19781,YES,3.59,29.5,223,2.13,29.41,33.41,434.96,430.32,29.669,30.423,73.9,500,1700,100
2,09:58:39,20230906,BNL19781,NO,3.58,29.7,225,2.12,29.42,33.45,434.9,430.28,29.825,30.583,74.23,500,1699,100
3,09:59:40,20230906,BNL19781,NO,1.85,29.5,188,2.12,29.43,33.48,300.13,297.67,29.961,30.711,74.51,500,1699,100
4,10:01:01,20230906,BNL19781,NO,1.44,31.2,167,1.9,29.43,32.77,250.05,248.14,30.118,30.829,74.8,500,1699,100
5,10:02:22,20230906,BNL19781,NO,0.224,31.4,134,1.89,29.44,32.78,150.01,149.63,30.304,31.014,75.21,500,1699,100
6,10:03:43,20230906,BNL19781,NO,-0.117,31.7,103,1.9,29.44,32.88,100.08,100.15,30.456,31.177,75.59,500,1699,100
7,10:05:05,20230906,BNL19781,NO,-0.714,32.9,83.8,1.87,29.46,32.85,50.01,50.82,30.658,31.395,76.04,500,1699,100
8,10:07:03,20230906,BNL19781,YES,3.97,34.6,234,1.86,29.49,32.95,434.44,429.34,30.994,31.766,76.79,500,1700,100
9,10:08:30,20230906,BNL19781,YES,3.96,35.7,239,1.86,29.51,33.04,434.43,429.33,31.284,32.076,77.44,500,1699,100
10,10:09:38,20230906,BNL19781,NO,4.39,35.9,259,1.84,29.52,33.04,473.81,468.15,31.492,32.281,77.92,500,1700,100
11,10:11:38,20230906,BNL19781,NO,5.52,36.5,310,1.8,29.53,33.05,575,567.92,31.85,32.637,78.73,500,1699,100
12,10:13:36,20230906,BNL19781,NO,6.37,36.5,369,1.8,29.56,33.16,674.83,666.65,32.221,33.006,79.45,500,1699,100
13,10:15:39,20230906,BNL19781,NO,7.6,36.6,436,1.78,29.6,33.26,799.63,789.87,32.671,33.45,80.34,500,1699,100
14,10:17:41,20230906,BNL19781,NO,9.31,36.4,551,1.76,29.62,33.33,999.8,987.84,33.07,33.836,81.18,500,1699,100
15,10:19:48,20230906,BNL19781,NO,11.8,36.4,826,1.74,29.64,33.38,1399.42,1384.14,33.418,34.175,81.92,500,1700,100
16,10:21:51,20230906,BNL19781,NO,13.7,33.5,1070,1.95,29.67,34.2,1800.19,1782.27,33.73,34.514,82.58,500,1699,100
17,10:23:25,20230906,BNL19781,YES,2.64,32.8,290,1.95,29.67,34.28,434.77,431.26,33.997,34.764,83.16,500,1701,100
1,12:07:48,20230906,BNL19782,YES,3.34,32.1,251,2.05,29.77,33.87,434.92,430.56,31.833,32.622,77.52,500,1794,99.9
2,12:44:52,20230906,BNL19782,NO,3.93,41.8,263,2.4,30.07,35.1,434.8,429.54,31.645,32.848,76.65,500,1800,99.81
3,12:45:53,20230906,BNL19782,NO,4.03,41.8,260,2.4,30.06,35.07,435.03,429.66,31.546,32.752,76.47,500,1800,99.81
4,12:46:54,20230906,BNL19782,NO,1.96,42.4,212,2.42,30.07,35.11,300.04,297.32,31.427,32.658,76.2,500,1800,99.8
5,12:48:16,20230906,BNL19782,NO,1.56,41.4,177,2.63,30.09,35.72,249.96,247.76,31.268,32.575,75.93,500,1801,99.8
6,12:49:38,20230906,BNL19782,NO,0.364,42.2,129,2.63,30.09,35.69,150,149.36,31.125,32.457,75.65,500,1800,99.8
7,12:52:00,20230906,BNL19782,NO,0.0216,44.5,95.1,2.46,30.13,35.12,100.04,99.88,31.014,32.326,75.17,500,1799,99.8
8,12:54:22,20230906,BNL19782,NO,-0.64,46.3,70.5,2.48,30.21,35.21,49.9,50.6,31.077,32.452,75.09,500,1800,99.79
9,12:56:44,20230906,BNL19782,YES,4.41,48.7,267,2.48,30.26,35.25,434.98,429.05,31.11,32.555,75.11,500,1800,99.79
10,12:59:06,20230906,BNL19782,NO,4.22,45.3,264,2.5,30.29,35.27,435.07,429.4,31.026,32.384,74.6,500,1800,99.78
11,13:01:07,20230906,BNL19782,NO,4.56,44.1,285,2.53,30.33,35.33,475.12,469,30.914,32.254,74.11,500,1799,99.77
12,13:03:29,20230906,BNL19782,NO,5.52,42.6,338,2.57,30.42,35.41,575.15,567.76,30.825,32.14,73.49,500,1800,99.77
13,13:05:51,20230906,BNL19782,NO,6.09,39.1,392,2.59,30.4,35.39,674.95,666.81,30.678,31.897,72.99,500,1801,99.76
