date,SampleID,TreeID,Tair,Tleaf,RH,wind_speed,PARout,PARset,clamp_record,comment
20230815,BNL21896,115XA,29.2,27.7,69.3,0,21,0,14,N/A
20230815,BNL21892,102X,30,N/A,75,0,500,1800,51,N/A
20230815,BNL21899,280,32.3,28.7,56.7,0.3,55,400,18,N/A
20230815,BNL21900,115XA,32,28.4,67.8,0,116,400,7,N/A
20230815,BNL21894,115XA,32.8,31.6,64.3,0,475,1800,26,N/A
20230815,BNL21895,280,34,30.5,56.1,0,120,1800,13,N/A
20230816,BNL21897,274,29.6,30.3,87.6,0,744,400,23,N/A
20230816,BNL21898,274,35.5,29.5,61,0,230,1800,23,N/A
20230816,BNL19108,91XB,34.7,33.2,56,0,1000,1800,20,N/A
20230816,BNL19109,91XB,28,25.4,78,0,188,0,6,N/A
20230816,BNL19110,91XB,27.7,25.9,80,0,88,400,34,N/A
20230816,BNL19106,90XD,31.3,33.1,70,0,1850,1800,22,N/A
20230816,BNL19107,90XD,32.4,32.9,66.9,0.9,1720,400,5,N/A
20230815,BNL21893,102X,32.2,N/A,63.5,0,300,400,6,N/A
20230816,BNL19111,274,27.1,26.6,84,0,63,0,11,N/A
20230816,BNL19112,90XD,26.9,26.9,84.8,0,20,0,20,N/A
20230817,BNL19113,300X,30.5,34.5,80.4,0.8,710,1800,9,N/A
20230817,BNL19114,300X,35.6,35.5,62.7,0,1728,400,6,N/A
20230817,BNL19115,84X,33.7,34.5,62.7,0,1288,1800,7,N/A
20230817,BNL19116,84X,N/A,33.8,N/A,0.5,1364,400,13,N/A
20230817,BNL19124,116X,31.5,29.5,67.8,0,400,1800,9,N/A
20230817,BNL19125,116X,31.6,29.7,65.8,0,175,400,8,N/A
20230817,BNL19126,116X,31,30.2,66.4,0,86,0,9,N/A
20230817,BNL19127,102X,31.3,29.3,67,0,207,0,23,N/A
20230817,BNL19117,300X,30.4,28.3,67.8,0,53,0,13,N/A
20230818,BNL19118,85XC,27.9,27.3,81,0,92,400,7,N/A
20230818,BNL19119,85XC,29.9,28.5,78.9,0,108,1800,4,N/A
20230818,BNL19120,85XC,32.4,31,57,0,118,0,9,N/A
20230818,BNL19121,84X,34.5,31.4,68.2,0,113,0,17,N/A
20230818,BNL19122,280,32.7,29.9,56.4,0,104,0,8,N/A
20230821,BNL19123,324,30.6,34.2,68,0.5,1096,1800,8,N/A
20230821,BNL19128,324,32.6,33.8,60.4,0.8,664,400,15,N/A
20230821,BNL19129,317,32.9,30.7,56,1.2,559,400,12,N/A
20230821,BNL19130,317,34.1,32.5,54.5,0.3,222,1800,8,N/A
20230821,BNL19131,184J,35,40,51.2,0.8,1550,1800,154,N/A
20230821,BNL19132,184J,35.3,36.3,44.9,0.7,1575,400,10,N/A
20230821,BNL19133,184J,33.9,31,44.3,1.2,87,0,4,N/A
20230821,BNL19134,317,33,30.7,59.3,0.7,150,0,8,N/A
20230822,BNL19135,176YC,27.5,28.8,74.9,0,28,400,11,N/A
20230822,BNL19136,176YC,29.9,29.3,71,0.6,35,1800,9,N/A
20230822,BNL19137,165MA,31.5,34.1,64.4,0.4,1058,400,6,N/A
20230822,BNL19138,165MA,33.6,40.5,60,0,1563,1800,13,N/A
20230822,BNL19139,Cecropia,35,41,48.8,1,1825,1800,17,N/A
20230822,BNL19140,Cecropia,35.5,43.5,48.9,0,1790,400,14,N/A
20230822,BNL19141,Cecropia,32.8,33.6,55,0,116,0,7,N/A
20230822,BNL19142,165MA,33,32.4,55.8,0,23,0,10,N/A
20230822,BNL19143,176YC,32,30.4,57.1,0,20,0,7,N/A
20230823,BNL19150,Swartzia,33.8,32.9,47.7,1,83,0,21,N/A
20230823,BNL19151,275E,34.4,33,45.3,0.6,857,0,17,N/A
20230823,BNL19152,276C,34.7,30.8,47.8,0,33,0,4,N/A
20230823,BNL19148,276C,34.3,30.4,50,0.6,162,1800,22,N/A
20230823,BNL19149,276C,34.5,32.4,47,0,110,400,-1,N/A
20230823,BNL19144,Swartzia,31.8,37.3,66.3,0.5,1400,400,11,N/A
20230823,BNL19145,Swartzia,34.4,33,57,0,505,1800,4,N/A
20230823,BNL19146,275E,33.5,31.4,56.4,0,244,400,21,N/A
20230823,BNL19147,275E,33.6,33.3,57.4,0,370,1800,-4,N/A
20230824,BNL19153,186M,28.1,27.2,66.4,0.4,348,1800,7,N/A
20230824,BNL19154,186M,32.3,29.7,69.1,0,555,400,8,N/A
