SampleID,Dataset_name,Site_name,Species,Sun_Shade,Phenological_stage,Plant_type,Soil,LMA,Narea,Nmass,Parea,Pmass,LWC,Photosynthetic_pathway
1.1.1_20221008,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,97.84298484,1.027351341,10.5,NA,NA,NA,C3
1.1.1_20221128,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,105.5930862,1.235439109,11.7,NA,NA,NA,C3
1.1.1_20230216,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,160.2456987,1.954997524,12.2,NA,NA,NA,C3
1.1.2_20221008,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,NA,NA,12.5,NA,NA,NA,C3
1.1.2_20230216,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,142.5195521,1.966769819,13.8,NA,NA,NA,C3
1.1.3_20230216,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,NA,NA,10.1,NA,NA,NA,C3
2.1.1_20221008,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,129.2338854,1.654193733,12.8,NA,NA,NA,C3
2.1.1_20221128,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,139.5073336,1.799644603,12.9,NA,NA,NA,C3
2.1.2_20220725,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,NA,NA,14.5,NA,NA,NA,C3
2.1.2_20221128,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,116.1571029,1.730740833,14.9,NA,NA,NA,C3
3.1.1_20221012,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,112.3751763,1.539539915,13.7,NA,NA,NA,C3
3.1.1_20221130,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,141.6263296,1.91195545,13.5,NA,NA,NA,C3
3.1.2_20221012,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,118.8462162,1.568770054,13.2,NA,NA,NA,C3
3.1.2_20221130,Marechaux_et_al_2024,Paracou,Caryocar_glabrum,Sun,Mature,Wild,Natural,93.62597324,1.263950639,13.5,NA,NA,NA,C3
4.1.1_20220707,Marechaux_et_al_2024,Paracou,Eschweilera_coriacea,Sun,Mature,Wild,Natural,140.072985,2.311204253,16.5,NA,NA,NA,C3
