MACHINE,Cultivar,Rep,Date,"Temp from ""termometer""",Tleaf,Photo,Ci,CO2S,Cc,Tleaf Mean ,Cond,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,TotalCV,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo,,,,
AINS,84619,1,07_23_2015,22.1,23.44423676,9.506219022,321.5885008,394.8291931,297.8229532,23.5265337,0.23377047,10,10,0,0,653.8027344,920.2295532,831.1561279,#DIV/0!,0.289522128,0.096794789,-1,0.87,0.92,10.11956692,0.875059783,0.00686947,0.334326047,1.407503372,-1,1747.733521,0.5,74.0175868,2.705168034,1.148212415,23.44423676,2,4.644859791,1,9.289719582,21.39809608,23.44423676,20.18852425,400.1254578,394.8291931,16.30804253,17.63905907,63.19488144,68.35267639,399.311554,1747.774902,1.001330733,99.11090851,7.114947319,-0.131672114,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,0.064755201,1.99655777,0.002705168,296.5942368,294.5480961,279.6439781,0.550337077,2.896435584,29.22418559,11.58512652,22.42116642,2.722435173,0.228032172,1.748223169,0.974212004,0.143024783,31.87292848,0.814500312,60.40300955,393.447731,0.014594168,0,1529.407528,266.4268188,0.096794789,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.41138268,6.939312715,241.4066032,295.9964905,224.0583215,,0.228611228,11,11,0,0,650.4455566,900.4833984,822.1819458,#DIV/0!,0.277670685,0.08695491,-1,0.87,0.92,10.11956692,0.875059783,0.005179128,0.313158409,1.3844101,-1,1751.827637,0.5,66.64893455,2.6037675,1.129451218,23.41138268,2,4.644859791,1,9.289719582,21.38863373,23.41138268,20.18926811,299.8582764,295.9964905,16.48961449,17.77061081,63.93509674,68.90189362,399.2980957,1751.816284,1.311154008,99.11021423,6.628137112,-0.133855462,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.065143831,1.996490479,0.002603768,296.5613827,294.5386337,280.2905992,0.571880621,2.890700262,29.16652218,11.39591138,22.4000082,2.718935395,0.223120444,1.761249044,0.957686351,0.13993341,23.92586016,0.815572519,60.95009345,294.9880561,0.014337928,0,1532.943978,250.0378418,0.08695491,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.5580616,4.862621571,183.317966,222.3184967,171.161412,,0.225710972,12,12,0,0,646.8071289,898.2915039,820.1256714,#DIV/0!,0.279958537,0.08701611,-1,0.87,0.92,10.11956692,0.875059783,0.003825659,0.310817849,1.38880891,-1,1751.219116,0.5,66.67267563,2.598538274,1.141086318,23.5580616,2,4.644859791,1,9.289719582,21.4472847,23.5580616,20.18714523,225.0434265,222.3184967,16.63408661,17.91231918,64.26405334,69.20236969,399.3001709,1751.249023,0.876820922,99.11037445,6.133963108,-0.136651441,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.06950327,1.996500854,0.002598538,296.7080616,294.5972847,280.1998375,0.568386657,2.91638298,29.42560752,11.51328834,22.50267315,2.735954061,0.22035699,1.775296662,0.960657399,0.138194337,18.16871225,0.824573612,60.87530108,221.6118511,0.013357298,0,1532.447591,251.484375,0.08701611,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.61643219,2.486966429,128.1663863,148.5255127,121.9489702,,0.228634784,13,13,0,0,651.5480957,895.9766235,821.6992798,#DIV/0!,0.272806814,0.082900984,-1,0.87,0.92,10.11956692,0.875059783,0.002275579,0.303881648,1.375150399,-1,1751.19873,0.5,63.51888243,2.618385647,1.135308242,23.61643219,2,4.644859791,1,9.289719582,21.4610157,23.61643219,20.18549156,149.9659424,148.5255127,16.78628731,18.0740509,64.79844666,69.76947021,399.3063354,1751.128784,0.682490051,99.11173248,5.575917721,-0.135809824,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.062159058,1.996531677,0.002618386,296.7664322,294.6110157,280.1805992,0.562770022,2.92665874,29.52888288,11.45483197,22.53872395,2.741952239,0.223142883,1.791350498,0.950601741,0.139947531,12.70279259,0.862925056,61.21674191,148.1641019,0.010275362,0,1532.342375,244.4285278,0.082900984,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.509758,0.84405625,91.99993787,99.47905731,89.88979725,,0.240272501,14,14,0,0,653.3942871,886.2833252,823.4584961,#DIV/0!,0.262770416,0.070885717,-1,0.87,0.92,10.11956692,0.875059783,0.001203326,0.269762929,1.35642956,-1,1751.369995,0.5,54.31807514,2.660875634,1.099231522,23.509758,2,4.644859791,1,9.289719582,21.43227768,23.509758,20.18169212,100.0344086,99.47905731,16.9398613,18.248312,65.50827026,70.56819153,399.2995911,1751.270142,1.07348454,99.11447144,5.198275089,-0.13632071,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.076231778,1.996497955,0.002660876,296.659758,294.5822777,280.2032164,0.558929205,2.90790332,29.33883699,11.09052499,22.47101784,2.73069668,0.234214692,1.808671798,0.922024881,0.146916646,9.118525215,0.924817146,62.25341959,99.35639743,0.005288576,0,1532.466071,232.8890381,0.070885717,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.54497147,-1.160388214,56.91534325,50.25860214,59.81631379,,0.249345139,15,15,0,0,656.5505371,882.3950806,825.8157959,#DIV/0!,0.255944926,0.064120127,-1,0.87,0.92,10.11956692,0.875059783,-0.000104692,0.250523142,1.343986534,-1,1750.716553,0.5,49.11542893,2.730201573,1.087758918,23.54497147,2,4.644859791,1,9.289719582,21.45610619,23.54497147,20.1905098,49.74610901,50.25860214,17.08365631,18.42597961,65.96953583,71.15299988,399.2920227,1750.744019,1.041921973,99.11679077,4.734968185,-0.136612251,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.204646379,1.996460114,0.002730202,296.6949715,294.6061062,280.1190367,0.545819576,2.914082884,29.40049674,10.97451713,22.50053883,2.73559931,0.242827414,1.826323966,0.909275344,0.152339555,5.641266169,1.132449786,62.7574732,50.427232,-0.014441211,0,1532.005682,225.8445435,0.064120127,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.49926567,10.91014901,321.5204097,393.8856201,294.2450372,,0.270289526,16,16,0,0,646.8393555,902.0467529,808.2644043,#DIV/0!,0.282920366,0.103966173,-1,0.87,0.92,10.11956692,0.875059783,0.007774386,0.36747504,1.394545253,-1,1750.726074,0.5,79.6375675,2.844322131,1.047578866,23.49926567,2,4.644859791,1,9.289719582,21.46051788,23.49926567,20.18560982,399.911377,393.8856201,17.35252571,18.75045967,66.98969269,72.38643646,399.3020935,1750.706665,1.121080399,99.11679077,7.076281548,-0.137896851,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,0.071098752,1.996510468,0.002844322,296.6492657,294.6105179,280.1130601,0.527927366,2.906064254,29.31959592,10.56913625,22.47989178,2.73216959,0.262647647,1.858485388,0.873684202,0.164824666,31.86807118,0.816278618,64.1085021,392.3001362,0.017829036,0,1531.972995,255.2073975,0.103966173,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.4933815,15.03626841,493.6881473,591.5662842,456.0974763,,0.278097368,17,17,0,0,651.4003906,920.9457397,813.3433228,#DIV/0!,0.292683203,0.116839041,-1,0.87,0.92,10.11956692,0.875059783,0.010468869,0.39919968,1.413793656,-1,1750.539307,0.5,89.4885723,2.85802346,1.023784097,23.4933815,2,4.644859791,1,9.289719582,21.45617104,23.4933815,20.18413544,599.9446411,591.5662842,17.5758934,18.9802742,67.86954498,73.29257965,399.2901917,1750.515015,1.245001554,99.1160202,7.746508598,-0.137043223,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.056700327,1.996450958,0.002858023,296.6433815,294.606171,280.0823961,0.525462331,2.905033338,29.30942276,10.32914856,22.47477627,2.731320425,0.270014213,1.881249241,0.850071184,0.169466954,48.93240439,0.834544092,64.93598478,589.3811846,0.016566442,0,1531.80529,269.5453491,0.116839041,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.60171127,17.08031836,673.1366009,790.3340454,630.4358049,,0.266976153,18,18,0,0,649.9348145,927.4591675,813.7722778,#DIV/0!,0.299230805,0.122578862,-1,0.87,0.92,10.11956692,0.875059783,0.011807992,0.409646535,1.427003365,-1,1749.886108,0.5,93.84974545,2.740879767,1.021395368,23.60171127,2,4.644859791,1,9.289719582,21.49165535,23.60171127,20.18283653,799.9743042,790.3340454,17.84845734,19.19496536,68.77754211,73.96619415,399.2948608,1749.815674,1.137472749,99.12332916,8.20831871,-0.131388322,1,-1.355140209,7.355140209,1,0,0.159999996,111115,0.051833455,1.996474304,0.00274088,296.7517113,294.6416553,279.9705016,0.542339821,2.924064238,29.49925374,10.30428837,22.54668331,2.743278078,0.259517899,1.90266887,0.840609209,0.162852671,66.72354086,0.851711507,65.19781713,787.8519005,0.01413463,0,1531.193325,277.524353,0.122578862,#DIV/0!,,,,
AINS,84619,,07_23_2015,,23.58613586,17.91409105,861.8420461,989.809082,817.0568185,,0.260323308,19,19,0,0,649.1506348,926.5463867,812.0734863,#DIV/0!,0.299386794,0.123547943,-1,0.87,0.92,10.11956692,0.875059783,0.012356761,0.412669984,1.427321082,-1,1749.210693,0.5,94.5551902,2.612306017,0.997573542,23.58613586,2,4.644859791,1,9.289719582,21.49386406,23.58613586,20.18373489,1000.077209,989.809082,18.12448502,19.40756798,69.83192444,74.77552032,399.2894592,1749.2146,1.32199955,99.12358856,8.406393051,-0.131790206,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,0.055877376,1.996447296,0.002612306,296.7361359,294.6438641,279.8743297,0.565437832,2.921321325,29.47150489,10.06393691,22.53999996,2.742164755,0.25322719,1.923747783,0.818416972,0.158889597,85.42887638,0.870715436,65.95066108,987.2057717,0.011967577,0,1530.667349,277.395752,0.123547943,#DIV/0!,,,,
