ID,Year,Fertilisation,Season,Site,Plot,Tree,Rep,Family,Genus,Species,Photosynthesis,Vcmax,Jmax,Rd,Vcmax_TPU,Jmax_TPU,TPU,Asat,Cond,SLA,C,N,P,K,Ca,Mg,Mn,Phenol_Perc,Phenol,Tannin_Perc,Tannin,CII,Height,Diameter10cm,Diameter50cm,LAI,Herbivory
(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(/),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(µmol m-2 s-1),(cm² g-1),(%),(%),(%),(%),(%),(%),(%),(%),(mg g-1),(%),(mg g-1),(/),(cm),(mm),(mm),(m² m-2),(%)
2016_dry_PAR-B1_EF1_A-Ci,2016,N,dry,PAR,B1,EF1,1,Fabaceae,Eperua,falcata,A-Ci,17.761,41.056,0.91,17.943,42.953,3.096,4.210438147,0.081162805,200.2234432,64.87730408,2.50051713,0.064060803,0.657491857,0.310567318,0.243645494,NA,9.564846717,95.64846717,0.074188464,0.741884637,1,96.6,7.69,5.39,7.02,4.193548387
2016_dry_PAR-B1_EF2_A-Ci,2016,N,dry,PAR,B1,EF2,1,Fabaceae,Eperua,falcata,A-Ci,18.331,34.865,0.854,18.816,39.818,2.683,3.62187185,0.074834276,195.1764706,47.67348099,1.690249681,0.056943543,0.532057106,0.506714796,0.319511681,NA,9.748405603,97.48405603,0.074415571,0.744155713,1,88.3,8.61,4.24,8.06,8.7
2016_dry_PAR-B1_EF3_A-Ci,2016,N,dry,PAR,B1,EF3,1,Fabaceae,Eperua,falcata,A-Ci,20.782,37.387,1.058,21.509,41.826,2.788,3.418933542,0.059330076,199.1746032,47.94609451,1.683539629,0.070526316,1.075894737,0.184015789,0.179942105,NA,9.36532664,93.6532664,0.038074473,0.38074473,1,81.3,6.54,3.73,7.43,8
2016_dry_PAR-B1_EF4_NA,2016,N,dry,PAR,B1,EF4,1,Fabaceae,Eperua,falcata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.95363235,1.705630183,0.089592275,0.909978541,0.332580472,0.222043991,NA,7.969376877,79.69376877,0.06689926,0.668992597,1,54.4,4.42,0.81,NA,NA
2016_dry_PAR-B1_EF5_NA,2016,N,dry,PAR,B1,EF5,1,Fabaceae,Eperua,falcata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.10634613,1.546931505,0.058169597,0.390201655,0.491777404,0.268002844,NA,6.141022372,61.41022372,0.086448989,0.864489893,1,69.3,4.48,2.45,NA,NA
2016_dry_PAR-B1_EF6_NA,2016,N,dry,PAR,B1,EF6,1,Fabaceae,Eperua,falcata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.32377243,1.701689482,0.067295189,0.594050715,0.428119311,0.230651821,NA,7.641713711,76.41713711,0.091323388,0.913233877,1,65,4.78,2.6,NA,NA
2016_dry_PAR-B1_EF7_NA,2016,N,dry,PAR,B1,EF7,1,Fabaceae,Eperua,falcata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.48558807,1.557666302,0.074680851,0.692617021,0.409509574,0.220975532,NA,10.01356527,100.1356527,0.07990352,0.799035204,1,89.2,5.67,3.78,NA,NA
2016_dry_PAR-B1_EF8_NA,2016,N,dry,PAR,B1,EF8,1,Fabaceae,Eperua,falcata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.83354568,1.697263837,0.067079333,0.502223345,0.616269581,0.322090702,NA,8.674626986,86.74626986,0.168114196,1.681141963,1,77,8.43,5.55,NA,NA
2016_dry_PAR-B1_EF9_A-Ci,2016,N,dry,PAR,B1,EF9,1,Fabaceae,Eperua,falcata,A-Ci,20.9,38.221,0.827,21.725,46.143,2.902,5.077719102,0.106073413,184.0061728,48.14894485,1.807073236,0.067402894,0.597829398,0.392744669,0.264753427,NA,5.065621055,50.65621055,0.046420831,0.464208311,1,81.6,6.58,3.69,6.43,14.875
2016_dry_PAR-B1_EF10_A-Ci,2016,N,dry,PAR,B1,EF10,1,Fabaceae,Eperua,falcata,A-Ci,20.592,43.864,0.757,21.094,49.625,3.204,4.941892776,0.107748893,210.2592593,35.63394928,1.23940444,0.08287796,0.970491803,0.339949909,0.204594718,NA,5.694343378,56.94343378,0.044831997,0.448319966,1,79.7,7.5,4.01,6.7,4.880952381
2016_dry_PAR-B1_IH1_Asat,2016,N,dry,PAR,B1,IH1,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,2.731708071,0.049427723,165.9920635,49.71200562,1.772036314,0.063737624,0.743935644,0.542654703,0.296280941,NA,8.230675745,82.30675745,0.333787406,3.337874059,1,108.6,14.17,11.03,9.29,21.76829268
2016_dry_PAR-B1_IH2_Asat,2016,N,dry,PAR,B1,IH2,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,5.251554403,0.167346286,120.53125,49.09072495,1.611465693,0.054506591,0.773833274,0.772745814,0.284553794,NA,8.132157619,81.32157619,0.257368944,2.57368944,1,75.6,11.71,8.47,7.18,19.70588235
2016_dry_PAR-B1_IH3_NA,2016,N,dry,PAR,B1,IH3,1,Myristicaceae,Iryanthera,hostmannii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.68397522,1.580578923,0.050090253,0.550586643,0.633377708,0.25202843,NA,13.65701232,136.5701232,0.972687062,9.726870618,1,198.8,11.66,16.7,NA,NA
2016_dry_PAR-B1_IH4_NA,2016,N,dry,PAR,B1,IH4,1,Myristicaceae,Iryanthera,hostmannii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.73599243,1.589125037,0.05019957,0.593229966,0.571568161,0.246850629,NA,12.80714703,128.0714703,1.026766737,10.26766737,1,103.2,14.93,10.57,NA,NA
2016_dry_PAR-B1_IH5_NA,2016,N,dry,PAR,B1,IH5,1,Myristicaceae,Iryanthera,hostmannii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.26953888,1.605526924,0.059068407,0.766944194,0.45335171,0.318493474,NA,11.6201351,116.201351,1.020817849,10.20817849,1,92,10.55,5.59,NA,NA
2016_dry_PAR-B1_IH6_NA,2016,N,dry,PAR,B1,IH6,1,Myristicaceae,Iryanthera,hostmannii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.52497864,1.703855157,0.053605464,0.961134053,0.551571633,0.247059244,NA,9.351154186,93.51154186,0.689218678,6.892186776,1,136,13.89,9.28,NA,NA
2016_dry_PAR-B1_IH7_NA,2016,N,dry,PAR,B1,IH7,1,Myristicaceae,Iryanthera,hostmannii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7646904,1.839897633,0.071838111,1.022478921,0.383253794,0.234938449,NA,8.821589266,88.21589266,0.683930075,6.839300749,1,91.2,11.59,8.62,NA,NA
2016_dry_PAR-B1_IH8_Asat,2016,N,dry,PAR,B1,IH8,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,5.274670491,0.107610732,130.4444444,48.43130493,1.651144266,0.056772908,0.816454183,0.5295,0.310272908,NA,9.025457407,90.25457407,0.736986009,7.36986009,1,99.8,10.38,8.14,7.38,20.55147059
2016_dry_PAR-B1_IH9_Asat,2016,N,dry,PAR,B1,IH9,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,4.567599648,0.105934993,143.9140625,49.46681213,1.580003262,0.05523918,0.926651481,0.552522779,0.221805239,NA,5.894696884,58.94696884,0.408412341,4.084123406,1,71.9,10.39,5.05,7.27,15.23255814
2016_dry_PAR-B1_IH10_Asat,2016,N,dry,PAR,B1,IH10,1,Myristicaceae,Iryanthera,hostmannii,Asat,NA,NA,NA,NA,NA,NA,4.54976466,0.135098228,123.407563,49.76214218,1.58699882,0.051365675,0.650081533,0.690724623,0.231203628,NA,8.285178195,82.85178195,0.744869703,7.448697028,1,74.9,9.53,4.65,7.45,19.19811321
2016_dry_PAR-B1_LP1_Asat,2016,N,dry,PAR,B1,LP1,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.682245745,0.099655709,117.2314488,48.10193634,1.581836462,0.036711479,0.476525336,0.328110134,0.351858842,NA,8.307483534,83.07483534,0.566498871,5.66498871,1,92.2,8.24,6.47,7.62,17
2016_dry_PAR-B1_LP2_Asat,2016,N,dry,PAR,B1,LP2,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.81426806,0.090592036,114.3293963,49.14496231,1.538538218,0.039911851,0.598481881,0.381030852,0.188513712,NA,9.353129754,93.53129754,0.124624736,1.246247361,1,160.4,14.37,9.9,8.24,23.5
2016_dry_PAR-B1_LP3_Asat,2016,N,dry,PAR,B1,LP3,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.454978265,0.087360254,120.7762303,48.35390091,1.409507275,0.041298436,0.392131203,0.439275153,0.409157886,NA,5.700817216,57.00817216,0.011868476,0.118684755,1,126.8,17.04,11.23,7.85,12.83333333
2016_dry_PAR-B1_LP4_Asat,2016,N,dry,PAR,B1,LP4,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,4.40554092,0.085681393,108.6846011,48.53676987,1.760430813,0.042117117,0.358828829,0.671876126,0.353376126,NA,6.866629871,68.66629871,0.153986162,1.539861618,1,127.4,11.48,8.73,8.12,15.86956522
2016_dry_PAR-B1_LP5_Asat,2016,N,dry,PAR,B1,LP5,1,Lecythidaceae,Lecythis,persistens,Asat,NA,NA,NA,NA,NA,NA,3.993865352,0.094159291,100.0027076,48.57981491,1.849418759,0.052376334,0.236954413,0.303135306,0.419735694,NA,4.943432771,49.43432771,0.129352092,1.293520919,1,154.8,11.48,8.61,7.77,26.45833333
2016_dry_PAR-B1_LP6_NA,2016,N,dry,PAR,B1,LP6,1,Lecythidaceae,Lecythis,persistens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.52999496,1.613690495,0.047449487,0.483736337,0.24326681,0.2397789,NA,7.569771141,75.69771141,0.131447894,1.314478941,1,80.3,10.71,5.74,NA,NA
2016_dry_PAR-B1_LP7_NA,2016,N,dry,PAR,B1,LP7,1,Lecythidaceae,Lecythis,persistens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.97966385,1.196810365,0.048638481,0.953475457,0.292671981,0.183399319,NA,9.102808463,91.02808463,0.162308622,1.62308622,1,255.4,28.03,18.63,NA,NA
2016_dry_PAR-B1_LP8_NA,2016,N,dry,PAR,B1,LP8,1,Lecythidaceae,Lecythis,persistens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.15773773,1.527503967,0.044377323,0.882249071,0.260253253,0.312962361,NA,4.072142136,40.72142136,0.103763578,1.037635781,1,83.7,12.82,8.4,NA,NA
2016_dry_PAR-B1_OX1_NA,2016,N,dry,PAR,B1,OX1,1,Annonaceae,Oxandra,asbeckii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.7458725,1.284311295,0.03712036,0.353149606,1.178626265,0.327625141,NA,0.267855141,2.678551414,0.070096712,0.700967115,1,135.4,8.27,6.81,NA,NA
2016_dry_PAR-B1_OX2_NA,2016,N,dry,PAR,B1,OX2,1,Annonaceae,Oxandra,asbeckii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.45442581,1.683755994,0.047450425,1.543248347,0.664100567,0.274313031,NA,0.23082747,2.308274703,0.046534568,0.465345685,1,127.9,17.02,14,NA,NA
2016_dry_PAR-B1_OX3_NA,2016,N,dry,PAR,B1,OX3,1,Annonaceae,Oxandra,asbeckii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.10713196,1.701237679,0.046782666,1.073145108,0.801771175,0.271039068,NA,0.288812348,2.888123476,0.098865464,0.988654642,1,77.1,11.28,4,NA,NA
2016_dry_PAR-B1_OX4_Asat,2016,N,dry,PAR,B1,OX4,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,2.175969308,0.048970271,186.3245614,47.2304306,2.067840815,0.056637168,1.835486726,0.427933628,0.280659292,NA,-0.210774067,-2.107740672,0.083062466,0.830624661,1,84.6,10.8,7.83,7.64,6.51734104
2016_dry_PAR-B1_OX5_Asat,2016,N,dry,PAR,B1,OX5,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,3.592628279,0.101083606,155.9699248,47.39671326,1.603267431,0.048160848,1.393485037,0.556949813,0.235141833,NA,0.242535217,2.425352171,-0.005375174,-0.053751745,1,117.4,9.52,6.99,6.43,1.02739726
2016_dry_PAR-B1_OX6_Asat,2016,N,dry,PAR,B1,OX6,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,1.901604988,0.040211969,149.4761905,47.55703735,1.683413982,0.047986762,0.897352454,0.688415609,0.375947325,NA,0.458496249,4.584962489,0.044836388,0.448363876,1,124.4,13.15,11.57,7.01,5.05952381
2016_dry_PAR-B1_OX7_Asat,2016,N,dry,PAR,B1,OX7,1,Annonaceae,Oxandra,asbeckii,Asat,NA,NA,NA,NA,NA,NA,1.627963742,0.03495659,165.0699301,47.49425507,1.742067575,0.046634341,1.223702225,0.485223902,0.356855391,NA,0.157632676,1.576326761,0.019803309,0.19803309,1,166.4,14.1,11.32,7.83,12.40909091
