"SampleID","Record","A","Ci","CO2s","CO2r","gsw","Patm","Qin","RHs","Tleaf","Tair","SampleID_num","QC"
"2015_dry_PAR-B3_61T2",1,6.802479219,255.1570263,380.9436035,389.8872986,0.096081472,100.6997604,1288.788086,70.39111328,32.21947479,30.42125893,233,"ok"
"2015_dry_PAR-B3_61T2",2,4.67705976,200.679087,293.6535339,299.828186,0.089574123,100.7003937,1289.216675,70.097435,32.16439438,30.40312004,233,"ok"
"2015_dry_PAR-B3_61T2",3,2.756663136,142.8216147,196.3782196,200.0679321,0.093035464,100.6998367,1289.996704,70.19083405,32.01266098,30.35559654,233,"ok"
"2015_dry_PAR-B3_61T2",4,0.48500397,88.89094173,99.26856995,100.0572205,0.102965918,100.7110519,1291.988159,70.42175293,31.86681366,30.30876541,233,"ok"
"2015_dry_PAR-B3_61T2",5,-0.609220367,57.68866178,50.61204147,49.99835205,0.118035679,100.7062225,1292.965576,70.73638153,31.80800056,30.29617119,233,"ok"
"2015_dry_PAR-B3_61T2",6,8.557146963,264.1023335,378.6929626,389.9483643,0.134375538,100.7100677,1290.221069,70.95425415,31.71173668,30.28553772,233,"ok"
"2015_dry_PAR-B3_61T2",7,8.853088794,263.3696319,378.6098328,390.2379761,0.138252121,100.7140427,1288.453979,70.68671417,31.61489677,30.25578308,233,"ok"
"2015_dry_PAR-B3_61T2",8,12.77340605,405.2197102,583.3204956,600.1247559,0.128850862,100.7069321,1313.202026,70.07685089,31.6002388,30.23271942,233,"ok"
"2015_dry_PAR-B3_61T2",9,14.50439985,534.579942,780.9755249,800.0733643,0.10505888,100.7098465,1312.650757,68.94655609,31.68675423,30.24557686,233,"ok"
"2015_dry_PAR-B3_61T2",10,15.00256198,659.5533074,980.1766357,999.9443359,0.082977233,100.7054214,1311.288818,67.88976288,31.81169701,30.26839447,233,"ok"
"2015_dry_PAR-B3_61T2",11,15.3371449,787.4820958,1179.802246,1200.036011,0.069103242,100.7036743,1311.161743,67.21565247,31.92044067,30.29494667,233,"ok"
"2015_dry_PAR-B3_61T2",12,16.2467632,993.0979586,1478.793091,1500.27832,0.059080692,100.7060318,1311.477295,66.63335419,31.88587189,30.27110291,233,"ok"
"2015_dry_PAR-B3_61T2",13,16.17301998,1130.374944,1678.823853,1700.205688,0.051965824,100.7024918,1309.593994,66.13150787,31.70535851,30.20035553,233,"ok"
"2015_dry_PAR-B3_61T2",14,17.07903446,1359.186573,1977.963867,2000.631592,0.048789238,100.7053375,1300.192871,65.6858902,31.57961655,30.17036438,233,"ok"
