"SampleID","Rdark","Tleaf_Rdark"
"CORN Sun 1",-1.922180001,28.78795815
"Corn 2",-3.548026982,28.93532944
"LALA Sun 2",NA,24.6266969
"TICO Shade",-0.447472947,26.9207134
"ACSA Sun 3",-0.700678836,31.05421829
"ACRU 3 Sun",-1.312559003,29.96426455
"ABBA Shade 1",-0.639681378,16.96154594
"ABBA Sun 2",NA,20.49581337
"ABBA 1",NA,33.88905716
"ACSA2 Real Int",-0.48423441,25.53812981
"ACPL Shade 2",-0.68603567,28.1965847
"ACRU Shade ",-0.974321012,29.3962339
"ACRU2 shade",-0.910876239,28.53767586
"ACSA1 ",-1.041414701,28.24441527
"ACSA2 ",-1.856134803,28.03087487
"ACSA Shade ",-0.57802246,30.20502093
"ACSA (real) shade",-0.140378939,25.34578387
"ACSA Shade 2B",-0.508523501,27.65472794
"ACNE Int/Shade",-0.716020868,27.1407121
"ACSA Sun 4",-0.244474243,25.2069753
"ACSA1 Real Int",-0.157194593,25.49555969
"Alnus ?3",-1.745594687,25.78565502
"Alnus?1",NA,24.36272176
"Alnus 2",-1.260083787,23.07353147
"BEPA Shade 1",-0.959660935,24.43569374
"BEPA1",-0.612633098,16.83120346
"BEPA2 ",-0.761287106,17.03747749
"BEAL Shade",-0.473388627,30.38075827
"BEAL Shade 2",-0.505270907,27.03238169
"BEPA Shade 2",-0.257977929,18.69166946
"BEPA Sun 3",-0.598662232,17.89034843
"CABI Sun 1",-2.604382668,28.98071798
"CABI Shade 1",-1.077262957,31.19305738
"Corn Shade 1",-0.92991083,18.40043195
"Corn Sun 3",-1.322492809,18.41013845
"Frangula alnus 1",-1.551643621,26.71819687
"GIBI Shade 2",-1.426988564,31.9825503
"GIBI Shade 1",-0.978048752,30.85513687
"GIBI Sun 1",-0.794866123,25.31620344
"GIBI Sun 2",-1.718549028,27.52075195
"JUAL Shade 1",-0.353836153,22.92491531
"JUNI Shade 1",-0.30777248,22.3217392
"JUNI Shade 2",-0.592135318,23.17553266
"JUNI Sun 1",-1.590149056,23.78334872
"JUNI Sun 2",-1.223002379,23.20856349
"JUAL Sun 1",-0.846456058,24.55246449
"LA?1",-0.488743082,19.83832296
"LALA Shade 1",-2.142102322,24.62713877
"LADE? Shade 1",-2.091511272,25.20980072
"Larix decidua? Sun 1",NA,24.11742147
"Larix ?? Sun",-1.87031152,29.7713871
"Maple 1",NA,26.26556015
"Maple 2",-1.633779125,25.45497831
"Quercus 3 ",-2.239415397,26.9895916
"Picea abeis Sun 2",-0.223913526,19.94835917
"Picea abeis Shade 2",-0.526237606,20.45030721
"PIAB Sun 3",-0.460922865,21.48046176
"PIGL? Sun 2?",NA,29.82583491
"PIGL 1 Sun",-1.508296488,26.39916674
"Picea glauca Shade 1",NA,19.16014226
"PIOM Shade 1",NA,35.3399264
"PIGL? Sun 3",NA,18.11631012
"Picea PIAB? M4",NA,34.85112254
"Picea M8 Shade",NA,31.50570361
"PIRU Sun 2",-0.838454486,18.40357717
"PIRU Shade 1",NA,20.20538584
"PIRU 1 Sun ",-1.197220463,31.67977397
"PIRU Sun 3",-0.408546081,18.65599505
"PIST2 Sun",-1.697194284,25.48097356
"PIST Sun 3",-0.635500298,18.49920019
"PIOM1 ",NA,26.4679114
"PIST1 Sun?",-0.331848831,27.3507239
"Poplar 2 ",-2.146932629,26.83658091
"Poplar 1 ",NA,24.81487465
"PIST Shade 1",-0.029008383,33.41857656
"QURO Shade 2",-0.742224481,30.52661959
"Quercus 2",-1.060288658,26.35460154
"QURU1/Quercus 4",-2.401084527,25.11779403
"QURU Shade",-0.726272642,24.96148047
"QURU Shade 2",-0.870641826,27.13869222
"QURU Sun 4",-1.121492022,18.29236603
"Quercus 1",NA,27.03980255
"QURO1 Int/Shade",-0.500361394,25.97185071
"QURO2 ",-0.672147519,15.43897406
"Red fruit 2",-2.343947356,26.13922373
"Real fruit (FRAL) Shade 1",-0.198105726,25.2818807
"Red fruit 1",NA,22.46023687
"RHCA Shade 1",-0.110443846,25.43125089
"Rhodo Paul Bosley Shade 1",-0.282978258,16.49954669
"Rhodo Paul Bosley Sun 1",-0.363234304,15.90194162
"RHODE Shade 1",NA,19.37956619
"RHODE Shade 2",-0.573956481,20.10727946
"RHODE sun 2",-0.516602659,19.5580705
"RHODE Sun 1",-0.865564037,19.50782204
"RHO makinoi Shade 1",NA,19.07809321
"RHO Makinoi Sun 1",-0.613882531,18.88427544
"RHOMA 1 Shade 2",-0.436872145,17.79454803
"RHOMA Sun 2",-0.665521886,17.75345612
"RHOMA pride's pink sun 1",-0.16358695,16.84605853
"RHOMA pride's pink shade 1",-0.195444367,16.82236195
"THOC Shade 1",-0.210024034,30.15138054
"TH OC Sun 2",-1.389477778,27.55268415
"THOC1 ",-1.134779567,21.98383268
"THOC Shade 2",-0.336426467,19.27892876
"Tico 1",-2.872525394,27.85235358
"TICO Shade 2",-0.304561228,26.39458148
