Obs,Curve,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status
1,c1,09:50:14,555,17.1,0.168,202,1.8,1.15,6,1,2.84,17.79,17.4,18.05,400.08,378.75,6.071,8.214,30.48,41.24,500.2,1002,33,102.6,0,0,1,111115
2,c1,09:52:54,715,7.27,0.148,203,1.62,1.16,6,1,2.84,17.72,17.24,18.05,298.49,289.2,5.998,7.925,30.24,39.95,500.1,1000,29,102.6,8.03,-0.21,0.7,111115
3,c1,09:55:28,869.5,4.14,0.149,143,1.63,1.16,6,1,2.84,17.71,17.2,18.04,198.01,192.67,5.922,7.858,29.88,39.65,500.2,1000,24,102.6,7.95,-0.215,1,111115
4,c1,09:57:58,1020,1.22,0.149,81.3,1.62,1.16,6,1,2.84,17.68,17.12,18.04,98.24,96.59,5.856,7.785,29.6,39.35,500.2,1000,20,102.6,6.86,-0.223,0.7,111115
5,c1,10:00:28,1170,-0.149,0.148,48.7,1.61,1.16,6,1,2.84,17.63,17.01,18.05,47.79,47.88,5.782,7.693,29.32,39.01,500.2,1000,18,102.6,6.28,-0.226,0.7,111115
6,c1,10:03:37,1358.5,9.57,0.149,278,1.62,1.16,6,1,2.84,17.64,16.99,18.05,403.83,391.59,5.688,7.617,28.83,38.61,500.2,1000,16,102.6,9.22,-0.207,0.7,111115
7,c1,10:06:08,1510,8.96,0.148,281,1.63,1.17,6,1,2.84,17.64,17,18.05,399.7,388.2,5.623,7.561,28.5,38.32,500.2,1000,18,102.6,8.38,-0.206,0.7,111115
8,c1,10:08:38,1659.5,12.4,0.149,436,1.63,1.17,6,1,2.84,17.62,16.95,18.05,601.1,585.07,5.569,7.507,28.26,38.1,500.2,1000,20,102.6,10.7,-0.194,1,111115
9,c1,10:10:40,1781.5,17,0.148,672,1.62,1.17,6,1,2.84,17.6,16.94,18.05,901.13,879.04,5.542,7.471,28.15,37.95,500.2,1000,19,102.6,10.7,-0.194,1,111115
10,c1,10:12:42,1903,17.1,0.147,962,1.62,1.17,6,1,2.84,17.61,16.93,18.05,1199.18,1176.39,5.506,7.43,27.96,37.73,500.2,1000,18,102.6,10.7,-0.194,1,111115
11,c1,10:14:43,2024.5,16.5,0.145,1.26E+03,1.61,1.18,6,1,2.84,17.61,16.93,18.05,1499.98,1477.32,5.474,7.386,27.79,37.49,500.2,1000,16,102.6,10.7,-0.194,1,111115
1,c2,10:21:58,2460,9.15,0.137,271,1.53,1.18,6,1,2.84,17.58,16.85,18.05,399.77,388.08,5.427,7.245,27.61,36.86,500.2,1000,108,102.6,8.35,-0.187,1,111115
2,c2,10:24:28,2610,7.01,0.137,200,1.54,1.19,6,1,2.84,17.61,16.93,18.05,298.91,289.97,5.414,7.249,27.49,36.81,500.2,1000,173,102.6,8.21,-0.191,1,111115
3,c2,10:27:06,2768,4.29,0.137,138,1.54,1.19,6,1,2.84,17.62,16.97,18.05,198.58,193.08,5.444,7.277,27.63,36.93,500.2,999,142,102.6,7.62,-0.198,1,111115
4,c2,10:29:36,2918,1.35,0.138,78.3,1.54,1.18,6,1,2.84,17.59,16.9,18.05,98.09,96.29,5.468,7.296,27.81,37.11,500.2,999,124,102.6,6.84,-0.2,0.7,111115
5,c2,10:32:06,3068,-0.0999,0.138,48.4,1.53,1.18,6,1,2.84,17.59,16.91,18.05,48.03,48.06,5.468,7.295,27.8,37.09,500.2,999,128,102.6,6.32,-0.205,0.7,111115
6,c2,10:35:13,3255,9.22,0.137,273,1.52,1.17,6,1,2.84,17.57,16.82,18.05,402.93,391.15,5.486,7.293,27.93,37.14,500.2,999,140,102.6,8.77,-0.179,0.7,111115
7,c2,10:37:43,3405,9.06,0.138,273,1.53,1.18,6,1,2.84,17.58,16.86,18.04,400.12,388.54,5.493,7.318,27.94,37.23,500.2,999,141,102.6,8.66,-0.174,1,111115
8,c2,10:40:13,3555,12.8,0.139,421,1.53,1.17,6,1,2.84,17.57,16.82,18.05,600.05,583.58,5.503,7.329,28.02,37.32,500.2,999,129,102.6,9.21,-0.156,1,111115
9,c2,10:42:15,3676.5,16.2,0.138,671,1.52,1.17,6,1,2.84,17.56,16.82,18.05,900.67,879.68,5.503,7.317,28.02,37.27,500.2,999,120,102.6,9.21,-0.156,1,111115
10,c2,10:44:17,3798.5,19,0.142,933,1.57,1.17,6,1,2.84,17.58,16.85,18.05,1200.65,1175.61,5.475,7.343,27.85,37.35,500.2,999,103,102.6,9.21,-0.156,1,111115
11,c2,10:46:19,3920.5,18.7,0.141,1.23E+03,1.57,1.18,6,1,2.84,17.59,16.87,18.05,1500.51,1475.32,5.445,7.31,27.68,37.15,500.2,999,98,102.6,9.21,-0.156,1,111115
1,c3,10:54:12,4394,9.03,0.12,258,1.38,1.21,6,1,2.84,17.61,16.92,18.05,400.28,388.81,5.394,7.033,27.38,35.7,500.2,999,45,102.6,9.22,-0.201,1,111115
2,c3,10:56:42,4544,6.37,0.121,200,1.38,1.2,6,1,2.84,17.58,16.83,18.05,299.53,291.4,5.374,7.022,27.32,35.7,500.2,1001,43,102.6,8.98,-0.207,1,111115
3,c3,10:59:14,4696,4.42,0.122,130,1.39,1.21,6,1,2.84,17.57,16.83,18.05,198.61,192.98,5.348,7.002,27.22,35.64,500.2,1000,47,102.6,7.81,-0.213,0.7,111115
4,c3,11:01:55,4857,1.14,0.122,79.5,1.4,1.21,6,1,2.84,17.6,16.9,18.05,98.17,96.65,5.345,7.01,27.16,35.61,500.2,1000,53,102.6,7.52,-0.223,0.7,111115
5,c3,11:04:29,5011,-0.245,0.122,50.8,1.4,1.21,6,1,2.84,17.61,16.91,18.05,48.26,48.47,5.351,7.024,27.17,35.66,500.2,1000,59,102.6,6.63,-0.225,0.7,111115
6,c3,11:07:34,5196,9.12,0.123,262,1.41,1.21,6,1,2.84,17.61,16.91,18.05,402.46,390.86,5.36,7.042,27.2,35.74,500.2,1000,58,102.6,8.65,-0.203,0.7,111115
7,c3,11:10:04,5346,8.77,0.125,267,1.44,1.22,6,1,2.84,17.63,16.97,18.05,401.17,389.97,5.361,7.074,27.17,35.85,500.2,1000,58,102.6,10.3,-0.201,1,111115
8,c3,11:12:34,5496,11.7,0.125,421,1.44,1.21,6,1,2.84,17.63,16.97,18.05,600.39,585.34,5.368,7.083,27.21,35.91,500.2,1000,58,102.6,9.91,-0.192,0.7,111115
9,c3,11:15:08,5649.5,14.2,0.127,682,1.45,1.21,6,1,2.84,17.62,16.95,18.05,900.6,882.06,5.367,7.097,27.22,35.99,500.2,999,58,102.6,10.7,-0.177,0.7,111115
10,c3,11:17:38,5799.5,15.1,0.127,962,1.46,1.21,6,1,2.84,17.64,16.98,18.05,1200.04,1179.82,5.378,7.116,27.25,36.05,500.2,999,59,102.6,10.1,-0.168,0.7,111115
11,c3,11:20:08,5949.5,15.8,0.127,1.25E+03,1.46,1.22,6,1,2.84,17.67,17.05,18.05,1498.81,1477.31,5.405,7.146,27.34,36.15,500.2,999,64,102.6,7.67,-0.156,1,111115
1,c4,11:27:16,6378,12,0.177,263,1.92,1.17,6,1,2.84,17.71,17.1,18.05,399.67,384.34,5.409,7.691,27.28,38.79,500.2,1000,79,102.6,8.61,-0.201,1,111115
2,c4,11:29:46,6527,9.31,0.178,194,1.93,1.17,6,1,2.84,17.71,17.09,18.05,298.72,286.89,5.415,7.708,27.31,38.87,500.2,1000,83,102.6,8.18,-0.203,1,111115
3,c4,11:32:24,6686,5.89,0.178,133,1.94,1.17,6,1,2.84,17.73,17.15,18.05,199.09,191.57,5.43,7.74,27.35,38.99,500.2,1000,100,102.6,7.65,-0.206,0.7,111115
4,c4,11:34:57,6839,2.01,0.18,74.5,1.95,1.17,6,1,2.84,17.73,17.17,18.04,97.51,94.87,5.452,7.774,27.46,39.16,500.2,999,84,102.6,6.79,-0.203,0.7,111115
5,c4,11:37:27,6988.5,0.499,0.18,42,1.96,1.17,6,1,2.84,17.74,17.2,18.05,48.26,47.55,5.458,7.787,27.47,39.19,500.2,999,74,102.6,6.71,-0.24,0.7,111115
6,c4,11:40:38,7180,11.8,0.18,270,1.96,1.17,6,1,2.84,17.75,17.21,18.05,401.18,386.14,5.467,7.795,27.5,39.22,500.2,999,96,102.6,11.3,-0.224,0.7,111115
7,c4,11:43:08,7330,12,0.181,268,1.97,1.17,6,1,2.84,17.76,17.23,18.05,400.88,385.6,5.483,7.825,27.56,39.33,500.2,999,122,102.6,11,-0.222,1,111115
8,c4,11:45:10,7451.5,16.2,0.181,419,1.96,1.17,6,1,2.84,17.76,17.22,18.05,600.94,580.08,5.512,7.843,27.7,39.42,500.2,999,127,102.5,11,-0.222,1,111115
9,c4,11:47:17,7578.5,19.9,0.18,674,1.97,1.17,6,1,2.84,17.79,17.3,18.04,900.17,874.27,5.549,7.889,27.84,39.57,500.2,1000,123,102.6,11,-0.222,1,111115
10,c4,11:49:23,7704.5,20.3,0.18,961,1.96,1.18,6,1,2.84,17.81,17.34,18.05,1198.98,1171.83,5.575,7.91,27.94,39.64,500.2,1000,110,102.6,11,-0.222,1,111115
11,c4,11:51:25,7826.5,19.4,0.18,1.26E+03,1.97,1.18,6,1,2.84,17.82,17.38,18.05,1498.99,1472.24,5.605,7.945,28.07,39.78,500.2,1000,112,102.6,11,-0.222,1,111115
