Obs,Curve,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,C1,11:24:58,304.5000087,0,14.34300451,0.330896485,287.7909288,7.955174202,2.521513729,38.45664597,6,1.420000017,1,2.840000033,38.04005432,38.45664597,38.25203323,398.9822998,378.1491699,34.10020065,43.23874664,50.85455704,64.48322296,499.7207947,1500.990601,1770.459961,99.5007782,2.970871925,-0.812096596,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832867991,0.007955174,311.606646,311.1900543,240.1584907,-1.349419558,6.823802668,68.58039497,25.34164832,38.24835014,6.747400933,0.296366035,4.302288939,2.445111993,0.18804969,28.63542138,0.76105133,64.94438756,371.3311925,0.025085359
2,C1,11:27:33,460.0000087,0,10.06373574,0.330294574,221.4624558,7.867987802,2.497204022,38.48852921,6,1.420000017,1,2.840000033,38.06703186,38.48852921,38.2821846,300.4786682,285.6947937,34.56705475,43.60305786,51.47348404,64.92980957,499.6624756,1500.521729,1736.304077,99.49667358,3.878556252,-0.817921638,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832770793,0.007867988,311.6385292,311.2170319,240.0834712,-1.306296163,6.835563238,68.7014248,25.09836694,38.27778053,6.758150605,0.295883102,4.338359215,2.419791389,0.187738601,22.03477768,0.775171479,65.32659481,280.9109757,0.023403485
3,C1,11:30:08,614.5000087,0,5.126532443,0.330459981,157.7296582,7.78357818,2.468835878,38.49458313,6,1.420000017,1,2.840000033,38.07122803,38.49458313,38.28672409,200.2298737,192.2762451,34.97452927,43.91127777,52.0667038,65.37207794,499.6307983,1500.241333,1760.69043,99.495224,4.65126133,-0.821324348,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832717997,0.007783578,311.6445831,311.221228,240.0386079,-1.263821422,6.837798296,68.72488971,24.81361194,38.28290558,6.760024085,0.296015832,4.368962418,2.391061667,0.1878241,15.69334767,0.820328367,65.72745412,189.8393371,0.017749426
4,C1,11:32:43,769.5000087,0,-0.044112558,0.330920062,95.5415207,7.692630285,2.436337872,38.5241394,6,1.420000017,1,2.840000033,38.09309006,38.5241394,38.31260681,100.1560287,99.29176331,35.51791763,44.34606934,52.81583405,65.94329071,499.63974,1499.860718,1806.776123,99.49881744,5.092438698,-0.839119911,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8327329,0.00769263,311.6741394,311.2430901,239.9777095,-1.219036521,6.848719329,68.83216811,24.48609878,38.30861473,6.769428963,0.296384948,4.412381457,2.357047506,0.188061874,9.506268326,0.962230073,66.22772528,99.3127323,-0.000294169
5,C1,11:35:18,925.0000087,0,-2.632307802,0.34286597,64.31970875,7.651977994,2.347946098,38.39518356,6,1.420000017,1,2.840000033,37.98323822,38.39518356,38.18093491,50.40563965,53.07883835,35.97884369,44.75622177,53.82104111,66.95146942,499.6597595,1498.720703,1721.749023,99.49979401,5.238137245,-0.856698036,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832766266,0.007651978,311.5451836,311.1332382,239.7953071,-1.197581552,6.801180945,68.35371885,23.59749708,38.18921089,6.725844722,0.305931624,4.453234847,2.272609875,0.194214698,6.399797772,1.211776873,67.34969955,54.33011141,-0.032631102
6,C1,11:37:53,1079.500009,0,13.17846354,0.349972068,301.2021945,7.534812263,2.270028504,38.28653336,6,1.420000017,1,2.840000033,37.89730453,38.28653336,38.07121658,400.066864,380.7946472,36.50053406,45.14088058,54.85435867,67.83964539,499.6108093,1500.635498,1698.140015,99.4956665,3.058327675,-0.8621912,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832684682,0.007534812,311.4365334,311.0473045,240.1016743,-1.130640904,6.761350505,67.95623108,22.8153505,38.09191895,6.690511877,0.311576608,4.491322,2.199189877,0.197855727,29.9683131,0.790983268,68.3182059,374.5302368,0.024038887
7,C1,11:40:28,1235.000009,0,13.91270425,0.348668999,296.8200957,7.406720416,2.238412749,38.2881813,6,1.420000017,1,2.840000033,37.8780632,38.2881813,38.05538177,400.1763,380.0880737,36.9756279,45.4658165,55.62572861,68.39810944,499.6332703,1500.726685,1831.679565,99.49321747,3.116005898,-0.874810219,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832722117,0.00740672,311.4381813,311.0280632,240.1162642,-1.067938503,6.761953117,67.96396065,22.49814415,38.08312225,6.687325197,0.310543352,4.523540368,2.163784829,0.197189117,29.53158633,0.780924518,68.74396124,373.4746404,0.02560855
8,C1,11:43:03,1389.500009,0,20.66492009,0.349794117,445.9598596,7.390480502,2.226564857,38.32765961,6,1.420000017,1,2.840000033,37.93693542,38.32765961,38.10749435,599.2947998,569.4248047,37.26198578,45.73125839,55.87662506,68.57660675,499.6300049,1500.356079,1809.56604,99.49077606,0.885903358,-0.884400368,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832716675,0.007390481,311.4776596,311.0869354,240.0569673,-1.057338369,6.776403245,68.1108693,22.37961091,38.13229752,6.705156285,0.311435553,4.549838388,2.155317897,0.197764721,44.36889253,0.783176033,68.97986015,559.6016914,0.02547282
9,C1,11:45:38,1544.500009,0,26.69476777,0.334553049,690.6094589,7.180490185,2.250168137,38.44577026,6,1.420000017,1,2.840000033,38.00969315,38.44577026,38.20103073,899.9534302,860.4735718,37.70501709,45.93244934,56.31538391,68.60468292,499.5973816,1500.276367,1719.429565,99.48580933,-3.509421349,-0.885983467,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832662303,0.00718049,311.5957703,311.1596931,240.0442134,-0.956567468,6.819795034,68.55043026,22.61798091,38.2277317,6.739878732,0.299295884,4.569626897,2.170251835,0.18993733,68.70584095,0.802592295,68.69029934,847.7841577,0.021628991
10,C1,11:48:13,1700.000009,0,30.09126241,0.332346383,954.3889077,7.081390878,2.232260904,38.42155838,6,1.420000017,1,2.840000033,37.98659897,38.42155838,38.17842102,1199.245361,1153.29895,37.91044617,46.02347565,56.69387054,68.82689667,499.6023254,1500.562134,1717.869385,99.48443604,-9.312766075,-0.862278938,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832670542,0.007081391,311.5715584,311.136599,240.089936,-0.905081368,6.810880423,68.46176844,22.4382928,38.20407867,6.731258387,0.297528585,4.578619519,2.152638867,0.188798628,94.94684224,0.827529504,68.87714014,1138.995005,0.018196744
