obs,Curve,time,elapsed,date,TIME,E,A,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,blfa_1,blfa_2,blfa_3,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Heatx_setpoint,CO2_r_setpoint,H2O_r_setpoint,SS_s,SS_r,MatchH2O,MatchCO2,MatchValveR,MatchValveS
1,c1,1499735371,0,20170711 09:09:30,1499735370,0.004322165,10.80454589,255.3985591,25.52043847,38.44824633,0.155667316,2.25454228,0.149933163,0.09420582,247.8421532,33.63328354,33.9158,5.317966775,49.91046323,2.550849165,5.11085051,2.76711761,-0.041306144,0.046369765,3.463344869,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.507233,10.80454589,#DIV/0!,#DIV/0!,0.009335293,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.01,1264.507233,0.842999202,0.195999,1499735370,384.775,399.732,25.5279,20.4751,500.138,99.8239,0.100072,33.2059,33.9158,999.9,9978.75,0,177.284,1500.01,0.900015,0.0999846,0,2078.09,5.00027,30745.2,47.75,48.937,48.437,49.375,50.062,2162.904615,-698.125812,-10279.05641,31994.82308,15,2,468.837,889.855,30.0006,33.7599,30.0006,33.4746,33.3783,22.4279,41.7809,24.5716,30,400,20.5754,98.1164,99.4,0.368,12.898,100,100
2,c1,1499735445,74.4000001,20170711 09:10:45,1499735445,0.00435982,6.463697903,211.0746055,21.09147131,29.03408954,0.157137911,2.260687599,0.151312335,0.095075621,247.8310268,33.63906939,33.9053,5.31485097,49.82006945,2.548987637,5.116387161,2.765863332,-0.041472093,0.046556058,3.474346615,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.441305,6.463697903,#DIV/0!,#DIV/0!,0.005902763,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.93,1264.441305,0.84300021,0.19600042,1499735445,290.561,299.839,25.5092,20.4101,499.924,99.8243,0.0999484,33.2252,33.9053,999.9,10018.8,0,292.836,1499.93,0.899993,0.100007,0,1473.55,5.00027,21903.2,48.062,49.187,48.75,49.562,50.312,1511.506923,-313.2567517,-4556.451276,22453.43846,15,2,472.741,888.807,29.9994,33.842,30.0005,33.5892,33.501,17.5883,41.5229,20.3384,30,300,20.4,98.0994,99.3851,0.368,12.898,100,100
3,c1,1499735519,148,20170711 09:11:58,1499735518,0.004292752,1.637528548,170.935209,17.0806517,19.66828118,0.154830587,2.256280585,0.149160903,0.093717665,247.8430616,33.66945984,33.9102,5.316304815,49.89285664,2.553785883,5.118540117,2.762518932,-0.041353044,0.046422414,3.466455671,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.508416,1.637528548,#DIV/0!,#DIV/0!,0.002085813,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.01,1264.508416,0.842999991,0.195999535,1499735518,196.831,199.81,25.5571,20.5374,499.995,99.8247,0.100013,33.2327,33.9102,999.9,9990,0,248.491,1500.01,0.900009,0.0999913,0,1230.65,5.00027,18367.5,48.312,49.375,49,49.75,50.562,1244.539231,-113.5323078,-1647.165813,18565.90769,15,2,473.897,887.41,29.9999,33.9005,30.0003,33.6718,33.5904,12.5055,39.2414,16.1236,30,200,20.6325,98.0886,99.3778,0.368,12.898,100,100
4,c1,1499735592,220.9000001,20170711 09:13:11,1499735591,0.004281436,-3.143858458,131.4540994,13.13537379,10.28674036,0.153047049,2.261244775,0.147516412,0.092678012,247.8428307,33.72738213,34.0091,5.345722772,49.8662565,2.560323771,5.134381345,2.785399001,-0.04148716,0.046572972,3.475344704,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.507593,-3.143858458,#DIV/0!,#DIV/0!,-0.00169541,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.01,1264.507593,0.842999442,0.19599948,1499735591,102.946,99.7022,25.6228,20.6166,499.988,99.8237,0.0999528,33.2878,34.0091,999.9,10022.5,0,350.145,1500.01,0.900007,0.0999926,0,1150.95,5.00027,17185.7,48.562,49.625,49.25,49.937,50.75,1155.633077,-39.40034188,-575.1965811,17255.43462,15,2,474.73,886.327,30.0011,33.9564,30.0006,33.7525,33.6811,7.36976,38.6745,12.3189,30,100,20.6236,98.0783,99.3671,0.368,12.898,100,100
5,c1,1499735669,298.4000001,20170711 09:14:29,1499735669,0.004252684,-5.565931827,113.0326457,11.29467308,5.576038491,0.150164961,2.258661275,0.1448309,0.090982771,247.8181473,33.83186781,34.1458,5.386617402,49.77677114,2.569345583,5.161736135,2.817271819,-0.041417329,0.04649458,3.470717624,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.374045,-5.565931827,#DIV/0!,#DIV/0!,-0.003611219,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.85,1264.374045,0.84300033,0.19600066,1499735669,55.8028,49.4082,25.713,20.7408,499.98,99.824,0.0999911,33.3826,34.1458,999.9,10005.6,0,350.968,1499.85,0.899989,0.100011,0,1126.43,5.00027,16812.1,48.812,49.937,49.562,50.25,51,1127.754231,-11.3651282,-188.9606838,16836.94231,15,2,475.308,885.322,30.0007,34.047,30.0004,33.8505,33.781,4.82893,38.3999,8.0864,30,50,20.7476,98.0581,99.3532,0.368,12.898,100,100
6,c1,1499735736,365,20170711 09:15:35,1499735735,0.00421441,-6.379897799,95.1138729,9.504049568,2.684407469,0.147999686,2.261324316,0.142821361,0.089713508,247.8431441,33.87522808,34.1875,5.399146232,49.66694077,2.56814723,5.170737697,2.830999003,-0.041489311,0.046575386,3.475487197,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.50816,-6.379897799,#DIV/0!,#DIV/0!,-0.004254538,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.01,1264.50816,0.84299982,0.19599964,1499735735,26.8648,19.3445,25.7013,20.7738,499.981,99.8229,0.0999533,33.4137,34.1875,999.9,10023.1,0,303.062,1500.01,0.900006,0.099994,0,1121.48,5.00027,16732.2,49,50.187,49.75,50.437,51.187,1121.78,-4.796581192,-62.99487176,16739.12308,15,2,475.715,884.038,30.0013,34.1078,30.0004,33.9195,33.8523,3.56093,38.3999,4.31688,30,20,20.8764,98.0477,99.3476,0.368,12.898,100,100
7,c1,1499735824,453,20170711 09:17:03,1499735823,0.004081921,10.96022188,245.5431436,24.5350048,38.49730182,0.144510347,2.252871933,0.139551078,0.087650816,247.8331872,33.88749013,34.1522,5.388538648,50.03429102,2.582377615,5.161215562,2.806161033,-0.041261109,0.046319209,3.460356587,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.450005,10.96022188,#DIV/0!,#DIV/0!,0.009458833,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.94,1264.450005,0.84300039,0.19600078,1499735823,385.276,400.317,25.8441,21.0719,499.949,99.8214,0.0999598,33.3808,34.1522,999.9,9968.12,0,418.297,1499.94,0.899987,0.100013,0,1075.89,5.00027,16157.8,49.187,50.312,49.937,50.562,51.375,1077.288077,-10.90564104,-138.3350427,16174.19615,15,2,475.872,884.039,29.9996,34.1885,30.0003,34.0089,33.9433,23.4332,37.8157,0,30,400,20.9902,98.0333,99.3369,0.368,12.898,100,100
8,c1,1499735884,513.4000001,20170711 09:18:04,1499735884,0.003969769,11.28816215,237.1122983,23.69269642,38.43543421,0.139778388,2.261980762,0.135151005,0.084872368,247.8533141,33.95898596,34.2012,5.403267945,49.99481097,2.585607431,5.171751589,2.817660514,-0.041507067,0.046595319,3.476663259,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.559177,11.28816215,#DIV/0!,#DIV/0!,0.009717348,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.07,1264.559177,0.843000111,0.195999775,1499735884,384.655,400.033,25.8763,21.2359,500.006,99.8218,0.100037,33.4172,34.2012,999.9,10027.5,0,491.483,1500.07,0.900005,0.0999953,0,1071.34,5.00027,16111,49.312,50.437,50.125,50.625,51.5,1071.682308,-3.467350441,-25.59658125,16114.29615,15,2,475.947,882.946,30.0014,34.2377,30.0006,34.0666,34.0052,23.38,37.811,0,30,400,21.1433,98.0214,99.3281,0.368,12.898,100,100
9,c1,1499735958,587,20170711 09:19:17,1499735957,0.003908204,20.17559816,309.9030432,30.96441626,57.2638241,0.136964286,2.257304706,0.132509273,0.083206489,247.8400958,33.99244709,34.2269,5.411007297,49.88992549,2.58196133,5.175316066,2.829045967,-0.04138069,0.04645345,3.468288848,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.491736,20.17559816,#DIV/0!,#DIV/0!,0.016746332,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.99,1264.491736,0.843000111,0.195999775,1499735957,573.117,600.017,25.8412,21.2723,499.973,99.8165,0.099964,33.4295,34.2269,999.9,9997.5,0,412.364,1499.99,0.900005,0.0999953,0,1062.6,5.00027,16012.2,49.5,50.562,50.25,50.75,51.625,1061.400385,7.355555564,105.8735043,15999.06923,15,2,475.91,882.206,30.0011,34.3102,30.0005,34.1398,34.0787,32.6566,38.3568,0,30,600,21.1729,98.0085,99.3137,0.368,12.898,100,100
10,c1,1499736036,665,20170711 09:20:35,1499736035,0.003817728,27.65939935,393.7967762,39.34471437,76.26602704,0.132940851,2.253771846,0.12873305,0.080825116,247.8431857,34.05984826,34.2676,5.4232835,49.72930152,2.578958237,5.185993284,2.844325263,-0.041285368,0.046346442,3.461966437,0,0,0,0,#DIV/0!,-1,-,0,0,#DIV/0!,0.5,1264.50063,27.65939935,#DIV/0!,#DIV/0!,0.022664599,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500,1264.50063,0.84300042,0.19600084,1499736035,763.338,800.027,25.8125,21.3494,499.991,99.8112,0.100015,33.4663,34.2676,999.9,9975,0,465.867,1500,0.899986,0.100014,0,1067.69,5.00027,16111.1,49.625,50.625,50.375,50.875,51.75,1067.327308,0.989059822,14.58461541,16107.70769,15,2,476.108,881.913,29.9998,34.381,30.0003,34.2106,34.1476,41.394,38.6397,0,30,800,21.3378,97.9967,99.306,0.368,12.898,100,100
