Obs,Curve,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status
1,c1,10:26:44,707.5,6.25,0.124,302,1.27,1.07,6,1,2.84,19.55,18.79,19.99,399.93,391.83,9.327,10.831,41.71,48.43,500.2,999,67,102.1,4.89,-0.141,0.7,111115
2,c1,10:29:18,861.5,4.41,0.116,226,1.19,1.07,6,1,2.84,19.45,18.6,20,299.22,293.52,9.172,10.579,41.27,47.6,500.2,1000,102,102.1,4.64,-0.138,1,111115
3,c1,10:31:48,1011.5,2.56,0.11,154,1.18,1.11,6,1,2.84,19.55,18.83,19.99,198.91,195.57,9.094,10.491,40.66,46.9,500.2,999,126,102,4.21,-0.146,1,111115
4,c1,10:34:18,1161.5,0.953,0.108,80.6,1.16,1.12,6,1,2.84,19.59,18.92,20,98.06,96.78,9.108,10.486,40.62,46.77,500.2,1000,101,102,3.43,-0.149,0.7,111115
5,c1,10:36:48,1311.5,-0.367,0.107,53.7,1.16,1.13,6,1,2.84,19.58,18.91,20,48.57,48.94,9.041,10.415,40.36,46.5,500.2,1000,66,102,3.36,-0.143,0.7,111135
6,c1,10:39:42,1485.5,6.19,0.107,292,1.15,1.12,6,1,2.84,19.5,18.69,20,402.15,394.18,8.894,10.254,39.9,46.01,500.2,1000,51,102,3.79,-0.111,0.7,111115
7,c1,10:42:16,1639.5,6.28,0.107,289,1.15,1.12,6,1,2.84,19.48,18.62,20,400.27,392.2,8.741,10.105,39.27,45.39,500.2,1000,44,102,3.6,-0.114,1,111115
8,c1,10:44:46,1789.5,8.15,0.107,455,1.16,1.13,6,1,2.84,19.45,18.55,19.99,600.72,590.13,8.587,9.964,38.65,44.84,500.2,1000,38,102,3.15,-0.1,1,111115
9,c1,10:47:16,1939,9.3,0.108,731,1.18,1.14,6,1,2.84,19.44,18.55,20,901.03,888.62,8.445,9.844,38.01,44.31,500.2,1000,37,102,1.98,-0.0828,1,111115
10,c1,10:49:46,2088.5,9.69,0.106,1020,1.17,1.15,6,1,2.84,19.43,18.5,19.99,1200.59,1187.29,8.304,9.693,37.41,43.67,500.2,1000,36,102,0.607,-0.0679,1,111115
11,c1,10:52:15,2237.5,10.4,0.102,1290,1.11,1.14,6,1,2.84,19.37,18.32,20,1500.46,1486.04,8.203,9.525,37.08,43.06,500.2,1000,34,102,-1.55,-0.0527,1,111115
1,c2,11:01:20,2783.5,5.88,0.104,293,1.19,1.19,6,1,2.84,19.4,18.44,20,399.74,392.13,7.84,9.253,35.37,41.74,500.2,999,32,102,4.36,-0.101,1,111115
2,c2,11:03:50,2933.5,4.46,0.101,215,1.16,1.2,6,1,2.84,19.42,18.5,20,298.64,292.88,7.801,9.184,35.16,41.39,500.2,1001,27,102,4.62,-0.103,1,111115
