"SampleID","obs","A","Ci","CO2_s","CO2_r","gsw","Pa","Qin","RHcham","Tleaf"
"20230513.2.PEMA.1.L",1,6.9,139.399,242.653,250.001,0.114,100.754,1500,71.047,33.541
"20230513.2.PEMA.1.L",2,5.53,122.714,194.04,199.986,0.135,100.751,1500.009,71.278,33.567
"20230513.2.PEMA.1.L",3,3.756,102.079,145.901,150.005,0.152,100.749,1499.984,71.539,33.573
"20230513.2.PEMA.1.L",4,1.347,82.453,98.4,100.002,0.163,100.745,1499.981,71.315,33.666
"20230513.2.PEMA.1.L",5,-1.002,58.96,50.85,49.988,0.173,100.747,1499.991,71.252,33.679
"20230513.2.PEMA.1.L",6,13.605,237.296,385.389,400.006,0.16,100.751,1500.01,70.572,33.816
"20230513.2.PEMA.1.L",7,7.51,188.347,442.084,450.01,0.05,100.752,1499.99,66.964,34.011
"20230513.2.PEMA.1.L",8,10.706,198.767,638.788,649.991,0.04,100.753,1499.992,66.612,34.011
"20230513.2.PEMA.1.L",9,14.614,246.905,784.706,799.998,0.045,100.752,1500.015,66.612,33.993
"20230513.2.PEMA.1.L",10,15.429,287.531,983.888,1000.02,0.037,100.753,1500,66.12,33.999
"20230513.2.PEMA.1.L",11,16.562,343.318,1482.755,1500.021,0.024,100.758,1500.014,65.605,34.02
"20230513.3.SATR.3.L",1,-0.039,250.561,250,249.996,0.01,100.666,1499.964,70.225,32.083
"20230513.3.SATR.3.L",2,-0.067,206.579,200.039,200,0.01,100.671,1500.012,69.894,32.179
"20230513.3.SATR.3.L",3,-0.159,169.331,150.123,149.989,0.011,100.669,1499.986,69.279,32.391
"20230513.3.SATR.3.L",4,-0.234,136.066,100.21,99.99,0.01,100.67,1500.011,69.04,32.549
"20230513.3.SATR.3.L",5,-0.3,96.793,50.285,49.993,0.01,100.671,1500,68.876,32.665
"20230513.3.SATR.3.L",6,0.388,326.497,399.557,400.006,0.01,100.67,1499.998,68.697,32.835
"20230513.3.SATR.3.L",7,0.519,357.116,449.423,450.012,0.01,100.663,1500.005,68.696,32.851
"20230513.3.SATR.3.L",8,0.932,483.822,648.984,650.016,0.01,100.659,1499.997,68.645,32.905
"20230513.3.SATR.3.L",9,1.33,544.6,798.584,800.024,0.009,100.659,1500.014,68.785,32.84
"20230513.3.SATR.3.L",10,1.007,4769.282,799.064,800.065,0,100.656,1500.014,68.256,32.873
"20230513.3.SATR.3.L",11,1.738,748.838,998.054,999.982,0.012,100.657,1499.998,68.492,32.906
"20230513.3.SATR.3.L",12,18.224,1042.897,1496.724,1500.031,0.07,100.658,1499.972,68.438,32.948
"20230513.2.VIKO.1.L",1,4.175,162.39,245.498,249.988,0.087,100.792,1500.008,60.735,27.953
