SampleID,Date,Site,Species_Name,Species_Code,Light_or_Dark_adapted
20230513.1.VISE.1.D,20230513,LSVA,Virola sebifera,VISE,D
20230513.1.WACO.2.D,20230513,LSVA,Warszewiczia coccinea,WACO,D
20230513.2.PEMA.1.L,20230513,LSVA,Pentaclethra macroloba,PEMA,L
20230513.2.VIKO.1.L,20230513,LSVA,Virola koschnyi,VIKO,L
20230513.3.SATR.3.L,20230513,LSVA,Sacoglottis trichogyna,SATR,L
20230513.3.VIKO.1.L,20230513,LSVA,Virola koschnyi,VIKO,L
20230513.3.WACO.3.L,20230513,LSVA,Warszewiczia coccinea,WACO,L
20230513.5.WACO.1.L,20230513,LSVA,Warszewiczia coccinea,WACO,L
20230514.1.PEMA.1.D,20230514,LSVA,Pentaclethra macroloba,PEMA,D
20230514.1.VIKO.1.D,20230514,LSVA,Virola koschnyi,VIKO,D
20230514.1.WACO.3.D,20230514,LSVA,Warszewiczia coccinea,WACO,D
20230514.2.PEMA.1.L,20230514,LSVA,Pentaclethra macroloba,PEMA,L
20230514.2.SATR.3.L,20230514,LSVA,Sacoglottis trichogyna,SATR,L
20230514.3.GOME.2.L,20230514,LSVA,Goethalsia meiantha,GOME,L
20230514.3.VIKO.2.L,20230514,LSVA,Virola koschnyi,VIKO,L
20230514.4.PEMA.1.L,20230514,LSVA,Pentaclethra macroloba,PEMA,L
20230514.4.SATR.1.L,20230514,LSVA,Sacoglottis trichogyna,SATR,L
20230514.4.VISE.3.L,20230514,LSVA,Virola sebifera,VISE,L
20230705.4.GOME.1.L,20230705,LSVA,Goethalsia meiantha,GOME,L
20230705.4.WACO.3.L,20230705,LSVA,Warszewiczia coccinea,WACO,L
20230706.1.PEMA.1.D,20230706,LSVA,Pentaclethra macroloba,PEMA,D
20230706.1.VIKO.3.D,20230706,LSVA,Virola koschnyi,VIKO,D
20230706.1.VISE.1.D,20230706,LSVA,Virola sebifera,VISE,D
20230706.2.VISE.1.L,20230706,LSVA,Virola sebifera,VISE,L
20230706.3.GOME.2.L,20230706,LSVA,Goethalsia meiantha,GOME,L
20230706.3.PEMA.1.L,20230706,LSVA,Pentaclethra macroloba,PEMA,L
20230706.3.WACO.2.L,20230706,LSVA,Warszewiczia coccinea,WACO,L
20230706.4.VIKO.1.L,20230706,LSVA,Virola koschnyi,VIKO,L
20230706.4.WACO.1.L,20230706,LSVA,Warszewiczia coccinea,WACO,L
20230707.1.GOME.1.D,20230707,LSVA,Goethalsia meiantha,GOME,D
20230707.1.PEMA.2.D,20230707,LSVA,Pentaclethra macroloba,PEMA,D
20230707.1.VIKO.2.D,20230707,LSVA,Virola koschnyi,VIKO,D
20230707.1.WACO.2.D,20230707,LSVA,Warszewiczia coccinea,WACO,D
20230707.2.PEMA.1.L,20230707,LSVA,Pentaclethra macroloba,PEMA,L
20230707.2.VIKO.2.L,20230707,LSVA,Virola koschnyi,VIKO,L
20230707.2.VISE.1.L,20230707,LSVA,Virola sebifera,VISE,L
20230707.3.VISE.1.L,20230707,LSVA,Virola sebifera,VISE,L
20230707.3.WACO.1.L,20230707,LSVA,Warszewiczia coccinea,WACO,L
20230707.4.GOME.3.L,20230707,LSVA,Goethalsia meiantha,GOME,L
20230707.4.SATR.2.L,20230707,LSVA,Sacoglottis trichogyna,SATR,L
20230707.4.VISE.1.L,20230707,LSVA,Virola sebifera,VISE,L
20231111.1.GOME.3.D,20231111,LSVA,Goethalsia meiantha,GOME,D
20231111.1.VIKO.1.D,20231111,LSVA,Virola koschnyi,VIKO,D
20231111.1.WACO.3.D,20231111,LSVA,Warszewiczia coccinea,WACO,D
20231111.2.VIKO.2.L,20231111,LSVA,Virola koschnyi,VIKO,L
20231111.2.VISE.1.L,20231111,LSVA,Virola sebifera,VISE,L
20231111.3.VISE.3.L,20231111,LSVA,Virola sebifera,VISE,L
20231112.1.WACO.1.D,20231112,LSVA,Warszewiczia coccinea,WACO,D
20231112.2.GOME.1.L,20231112,LSVA,Goethalsia meiantha,GOME,L
20231112.2.VIKO.2.L,20231112,LSVA,Virola koschnyi,VIKO,L
