File Name:,NGEE-Arctic_A-Ci_curves_2012-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,"Alistair Rogers, arogers@bnl.gov, +1 631 344 2948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Modified:,8/18/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified By:,Terri Killeffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGEE Arctic Dataset DOI:,10.5440/1336809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cite Dataset As:,"Alistair Rogers, Kim S. Ely and Shawn Serbin. 2017. Leaf Photosynthetic Parameters Vcmax and Jmax and Supporting Gas Exchange Data, Barrow, Alaska, 2012-2016. Next Generation Ecosystem Experiments Arctic Data Collection, Carbon Dioxide Information Analysis Center, Oak Ridge National Laboratory, Oak Ridge, Tennessee, USA. Accessed at http://dx.doi.org/10.5440/1336809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,"Measurement of leaf traits and gas exchange was conducted over an area of approximately 1 km2 centered at 71.28°N, 156.65°W. Raw gas exchange data used in Rogers et al 2017 to derive the photosynthetic parameters Vc,max and Jmax. The entry “-9999” represents data not available. Data collection as described by Rogers et al. (2017).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USDA_Species_Code,Sample_Date,Sample_Barcode,Plot,Replicate,Machine_name,Machine_Serial_Number,Time,QC,Tleaf,Photo,Ci,CO2S,VpdA,RH_S,Tair,PARi,Press,Cond,BLCond,Trmmol,FTime,Ebal,VpdL,CTleaf,Area,BLC_1,StmRat,TBlk,CO2R,H2OR,H2OS,RH_R,Flow,PARo,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R_W_m2,Tl_minus_Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,CndCO2,Ci_Pa,Ci_Ca,RHsfc,C2sfc,AHs_Cs,Comments
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,17.83285033,2.467930782,73.23742032,87.83840179,0.461812802,77.04505157,14.96538544,2000.471924,100.887764,0.311649633,-9999,-9999,-9999,-9999,0.734010564,-9999,4.679999828,-9999,-9999,-9999,100.2450409,-9999,-9999,19.42915916,-9999,0.637113452,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.833774509,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.18136628,2.074801705,70.70585411,90.62627411,0.500954617,74.98433685,14.98365116,1999.147949,100.8907318,0.184027201,-9999,-9999,-9999,-9999,0.813105923,-9999,4.679999828,-9999,-9999,-9999,100.934906,-9999,-9999,35.98653412,-9999,0.774807811,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.780191559,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.29233175,1.888877896,69.9681168,91.57372284,0.50787381,74.57023621,15.01227188,1998.9104,100.8854675,0.152860939,-9999,-9999,-9999,-9999,0.832477947,-9999,4.679999828,-9999,-9999,-9999,100.9322739,-9999,-9999,41.17401886,-9999,0.789977074,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.764063256,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.38072054,11.16200467,203.3556117,335.8952026,0.526145724,73.86367798,15.04097557,1999.526733,100.8810349,0.143591808,-9999,-9999,-9999,-9999,0.854026955,-9999,4.679999828,-9999,-9999,-9999,389.9570313,-9999,-9999,41.64749527,-9999,0.667880595,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.605413862,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.39089976,6.736832315,143.1536113,227.0128937,0.539528654,73.07106781,15.03691387,2000.150146,100.8836746,0.137172249,-9999,-9999,-9999,-9999,0.869308243,-9999,4.679999828,-9999,-9999,-9999,259.7529907,-9999,-9999,41.67876434,-9999,0.688742459,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.630596831,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.41204335,5.001454096,118.8251782,184.8195648,0.550746602,72.41144562,15.04017353,1999.371338,100.8822403,0.129405016,-9999,-9999,-9999,-9999,0.883140735,-9999,4.679999828,-9999,-9999,-9999,209.1678162,-9999,-9999,42.71866226,-9999,0.668539762,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.642925322,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.44839391,4.014947965,105.4950451,160.1520081,0.561471954,71.98350525,15.04413319,1999.369873,100.8810883,0.125612578,-9999,-9999,-9999,-9999,0.895055922,-9999,4.679999828,-9999,-9999,-9999,179.7405243,-9999,-9999,42.75294876,-9999,0.679756641,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.658718217,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,19.45180723,2.924103863,88.22799956,134.6555328,0.695168998,71.88510895,15.05920315,1999.218018,100.8791656,0.107786892,-9999,-9999,-9999,-9999,1.03322302,-9999,4.679999828,-9999,-9999,-9999,149.0157471,-9999,-9999,42.78486633,-9999,0.691074252,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.655212584,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.47872051,1.994700614,81.29662916,110.3583984,0.577434574,71.07374573,15.06113911,1998.943481,100.8785629,0.118830538,-9999,-9999,-9999,-9999,0.913374707,-9999,4.679999828,-9999,-9999,-9999,120.2314682,-9999,-9999,42.824646,-9999,0.683949828,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.736660103,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.51105741,0.967385818,69.10453568,84.29862213,0.587221697,70.55491638,15.07570839,1998.640137,100.877388,0.113252877,-9999,-9999,-9999,-9999,0.925457749,-9999,4.679999828,-9999,-9999,-9999,89.22499084,-9999,-9999,43.38713455,-9999,0.627005935,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.819758781,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.54111422,9.690886115,197.6971989,343.4093933,0.603253152,69.82087708,15.08509064,2000.194336,100.8768845,0.112569636,-9999,-9999,-9999,-9999,0.941416559,-9999,4.679999828,-9999,-9999,-9999,390.3920288,-9999,-9999,41.80200195,-9999,0.597363353,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.575689549,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.6239533,11.23788247,254.6220205,444.48349,0.640751371,67.97779083,15.0967741,1999.176758,100.8776093,0.09998206,-9999,-9999,-9999,-9999,0.983407281,-9999,4.679999828,-9999,-9999,-9999,499.036499,-9999,-9999,41.91064072,-9999,0.623540163,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.57284922,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,19.67269747,13.80667407,301.3251804,583.0319824,0.793822628,67.04026031,15.11693668,1999.286011,100.877739,0.082414538,-9999,-9999,-9999,-9999,1.143525357,-9999,4.679999828,-9999,-9999,-9999,650.1335449,-9999,-9999,41.93498993,-9999,0.646343231,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.516824444,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,19.50125721,16.89049686,449.6359117,817.8668823,0.789187162,65.68517303,15.12552834,1999.258057,100.8759308,0.077252159,-9999,-9999,-9999,-9999,1.141893401,-9999,4.679999828,-9999,-9999,-9999,900.178894,-9999,-9999,42.16795731,-9999,0.703401446,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.54976662,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.73263787,19.18787792,688.8656893,1106.509277,0.707959562,64.17701721,15.13759804,1999.929932,100.8735275,0.077791159,-9999,-9999,-9999,-9999,1.06063818,-9999,4.679999828,-9999,-9999,-9999,1200.44397,-9999,-9999,42.2075119,-9999,0.734771073,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.622557536,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.80182997,21.55146176,977.8106953,1494.273804,0.735896031,62.82473755,15.15687847,1999.861694,100.8739395,0.070932196,-9999,-9999,-9999,-9999,1.092026072,-9999,4.679999828,-9999,-9999,-9999,1600.400391,-9999,-9999,42.18159866,-9999,0.664353967,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.654371838,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.85873855,22.94524767,1288.122399,1886.901367,0.759186303,61.68352509,15.17759228,1998.703613,100.8711166,0.065435423,-9999,-9999,-9999,-9999,1.118093049,-9999,4.679999828,-9999,-9999,-9999,2000.593018,-9999,-9999,42.17691803,-9999,0.664004683,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.682665465,-9999,-9999,-9999,-9999
CAAQ,20120811,60,-9999,-9999,Mariano,PSC0464,-9999,,18.89445046,4.495165047,241.8853777,367.920929,0.778466089,60.65833282,15.1848135,1999.859741,100.867691,0.060620534,-9999,-9999,-9999,-9999,1.140215659,-9999,4.679999828,-9999,-9999,-9999,390.1180115,-9999,-9999,42.21459961,-9999,0.721408367,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.657438484,-9999,-9999,-9999,-9999
CAAQ,20120712,63,-9999,-9999,Mariano,PSC0464,-9999,,25.35694458,0.262042138,403.6818588,390.3073425,1.243651858,53.60781097,24.43492126,999.5440674,100.690979,-0.017614416,-9999,-9999,-9999,-9999,1.594796887,-9999,4.940000057,-9999,-9999,-9999,390.4552612,-9999,-9999,54.62560654,-9999,0.614801407,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.034266627,-9999,-9999,-9999,-9999
CAAQ,20120712,63,-9999,-9999,Mariano,PSC0464,-9999,,21.12958577,7.773664278,204.7673346,382.2556763,0.498371511,76.25667572,18.06141853,1999.964111,100.7158203,0.073227305,-9999,-9999,-9999,-9999,0.930187355,-9999,4.940000057,-9999,-9999,-9999,390.1842651,-9999,-9999,73.08735657,-9999,538.3167114,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.535681606,-9999,-9999,-9999,-9999
CAAQ,20120712,63,-9999,-9999,Mariano,PSC0464,-9999,,19.79771656,19.68129998,305.6395642,382.2775574,0.494303084,77.59208679,18.15888405,2000.025635,100.7198944,0.470408875,-9999,-9999,-9999,-9999,0.694004234,-9999,2.025000095,-9999,-9999,-9999,390.7050781,-9999,-9999,71.85404205,-9999,533.371582,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.799522646,-9999,-9999,-9999,-9999
CAAQ,20120712,63,-9999,-9999,Mariano,PSC0464,-9999,,19.76669555,19.38707042,321.3717572,382.6434937,0.502693607,78.05741882,18.23145294,1998.839844,100.7252579,0.599891369,-9999,-9999,-9999,-9999,0.672415363,-9999,2.025000095,-9999,-9999,-9999,391.0478516,-9999,-9999,71.17128754,-9999,538.3083496,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.839872525,-9999,-9999,-9999,-9999
CAAQ,20120712,63,-9999,-9999,Mariano,PSC0464,-9999,,19.62122742,21.70231896,299.3032167,380.8927612,0.599360329,72.23091888,18.20996094,1999.119263,100.7441711,0.489811822,-9999,-9999,-9999,-9999,0.776141774,-9999,2.025000095,-9999,-9999,-9999,390.2105103,-9999,-9999,65.58322144,-9999,518.9261475,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.785793922,-9999,-9999,-9999,-9999
CAAQ,20120712,63,-9999,-9999,Mariano,PSC0464,-9999,,19.7528323,16.61120695,316.9056582,382.7246704,0.606138732,72.39072418,18.25892448,1999.017456,100.7411423,0.470748375,-9999,-9999,-9999,-9999,0.786932441,-9999,2.025000095,-9999,-9999,-9999,389.9719849,-9999,-9999,66.04946899,-9999,511.9075623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.828025165,-9999,-9999,-9999,-9999
CAAQ,20120712,63,-9999,-9999,Mariano,PSC0464,-9999,,19.78141478,10.66155289,212.0702813,254.1273956,0.605373526,72.46146393,18.30063438,1998.440674,100.7410583,0.474545415,-9999,-9999,-9999,-9999,0.785547316,-9999,2.025000095,-9999,-9999,-9999,258.7935791,-9999,-9999,66.09951019,-9999,510.3690796,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.834503816,-9999,-9999,-9999,-9999
CAAQ,20120712,63,-9999,-9999,Mariano,PSC0464,-9999,,19.72857186,8.356615132,173.6759298,206.2991333,0.595870891,72.61483765,18.28603554,2000.047974,100.7419205,0.481445042,-9999,-9999,-9999,-9999,0.776123268,-9999,2.025000095,-9999,-9999,-9999,209.9663239,-9999,-9999,66.21308136,-9999,517.6213379,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.841864563,-9999,-9999,-9999,-9999
