Site,Plot,USDA_Species,Tree_Plant_Number,Leaf_Number,Canopy_Position,Leaf_Age,Sample_Name,Rep,Date,LiCor,Area_Corrected,Absorption_Corrected,QC,Obs,HHMMSS,FTime,Ebal,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo_Prime,Fm_Prime,Fs,Fv_over_Fm,Fv_Prime_over_Fm_Prime,PhiPS2,Adark,RedAbs,BlueAbs,Perc_Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn_at_Fs,PS2_over_1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R_W_m2,Tl_minus_Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci_over_Ca,RHsfc,C2sfc,Ahs_over_Cs,Fv,PARabs,Fv_Prime,qP_Fo,qN_Fo
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,1,20140613,PSC0463,Yes,Yes,,5,9:20:32,3852.999999,0,15.53784583,0.113821398,154.0456695,4,4,0,0,462.8566895,844.8532104,625.932312,-9999,0.452145433,0.259123,-1,0.88503646,0.942911748,10.08219147,0.890871557,0.00928713,0.573096577,1.825301934,-1,1998.859741,0.5,230.7136988,3.537836167,3.055863449,31.63494873,2,4.644859791,1,9.289719582,26.57907486,31.63494873,24.52878571,399.6586304,388.3838196,13.84955215,16.17001724,39.77391815,46.43796158,299.9941101,1998.859741,6.120309353,100.274437,14.28981495,0.571116686,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.499970551,0.003537836,304.7849487,299.7290749,319.8175514,0.412968065,4.677302824,46.64501708,30.47499983,29.1070118,4.046744092,0.112443693,1.621439374,2.425304717,0.070399801,15.44684277,0.396632562,33.36405755,386.1258298,0.01342582,0,1780.72729,381.996521,0.259123,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,1,20140613,PSC0463,Yes,Yes,,6,9:25:32,4151.999998,0,8.756324322,0.123049375,120.0029655,5,5,0,0,464.0632324,811.2946777,616.00354,-9999,0.427996701,0.240715418,-1,0.88503646,0.942911748,10.08219147,0.890871557,0.005475586,0.562423537,1.748241664,-1,2000.048584,0.5,214.4517289,3.773300389,3.018387456,31.46139717,2,4.644859791,1,9.289719582,26.53774834,31.46139717,24.50903511,250.6391144,244.1876373,13.61258793,16.08752441,39.18570328,46.31015015,300.015564,2000.048584,6.101269245,100.2667389,11.52129078,0.569165468,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50007782,0.0037733,304.6113972,299.6877483,320.0077663,0.378898279,4.631431065,46.19110102,30.10357661,28.99957275,4.021673343,0.121440799,1.61304361,2.408629733,0.076043399,12.03230601,0.491437514,33.61290659,242.9151514,0.012116392,0,1781.786397,347.2314453,0.240715418,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,1,20140613,PSC0463,Yes,Yes,,7,9:28:55,4355.499997,0,1.354241658,0.134269349,78.88110487,6,6,0,0,465.2167969,752.3945313,605.0872803,-9999,0.381685037,0.195784585,-1,0.88503646,0.942911748,9.911893845,0.890772997,0.001322143,0.512948023,1.617298722,-1,1998.966675,0.5,174.3095157,4.113464811,3.019037488,31.458395,2,4.644859791,1,9.289719582,26.64970016,31.458395,24.62020493,100.8241501,99.64810944,13.37569046,16.07379913,38.24913788,45.96465302,300.0135498,1998.966675,5.885502815,100.262764,8.915631294,0.564105272,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500067749,0.004113465,304.608395,299.7997002,319.8346608,0.323748558,4.630641016,46.18505248,30.11125335,29.05404758,4.034367989,0.132356331,1.611603529,2.422764461,0.082892478,7.9088376,0.791596602,33.66702697,99.45130842,0.004584484,0,1780.625536,287.1777344,0.195784585,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,1,20140613,PSC0463,Yes,Yes,,8,9:31:56,4536.999999,0,-1.424243778,0.145670526,63.0141773,7,7,0,0,469.8330078,715.2097778,603.2458496,-9999,0.343083635,0.156546976,-1,0.88503646,0.942911748,9.911893845,0.890772997,-0.000238165,0.45629392,1.522263796,-1,1999.725464,0.5,139.4286776,4.399520231,2.980743592,31.27137947,2,4.644859791,1,9.289719582,26.54337883,31.27137947,24.5133419,49.12310028,49.92612839,13.08129787,15.96735764,37.64189911,45.9466362,300.0126038,1999.725464,5.647504807,100.2616272,8.076004982,0.568940401,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500063019,0.00439952,304.4213795,299.6933788,319.9560671,0.278134626,4.581656851,45.6970127,29.72965506,28.90737915,4.000268176,0.143421557,1.600913259,2.399354918,0.089837852,6.317903953,1.262148285,33.90846774,50.13310225,-0.009633141,0,1781.301445,245.37677,0.156546976,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,1,20140613,PSC0463,Yes,Yes,,9,9:35:24,4745,0,18.82574819,0.15436704,174.2051593,8,8,0,0,451.6469727,815.7973022,607.625061,-9999,0.44637354,0.255176428,-1,0.88503646,0.942911748,9.911893845,0.890772997,0.011126596,0.571665667,1.806272048,-1,2000.323486,0.5,227.3410361,4.584837102,2.935031031,31.02345467,2,4.644859791,1,9.289719582,26.47384834,31.02345467,24.49044991,399.3285217,385.5992126,12.77534008,15.78369904,36.90979004,45.60136795,299.9955444,2000.323486,5.479453564,100.2543182,14.19862461,0.565569162,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.499977722,0.004584837,304.1734547,299.6238483,320.0517507,0.254758488,4.517415017,45.0595555,29.27585647,28.7486515,3.963648087,0.151843855,1.582383986,2.381264101,0.095125921,17.46481948,0.451777788,34.08527732,382.8634185,0.016760046,0,1781.834147,364.1503296,0.255176428,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,2,20140613,PSC0463,Yes,Yes,,10,9:43:06,5206.499998,0,17.579056,0.135055231,160.2685981,9,9,0,0,475.4714355,870.3336182,635.1885986,-9999,0.453690601,0.270178027,-1,0.88503646,0.942911748,9.966777802,0.890804761,0.010486835,0.595511624,1.830464573,-1,1988.825562,0.5,239.3311637,4.763440921,3.470466209,32.80599594,2,4.644859791,1,9.289719582,29.78890228,32.80599594,28.97632599,399.6939697,386.7471008,12.1033802,15.23048019,28.82692146,36.27481461,300.0154419,1988.825562,5.269904613,100.248291,14.57969761,0.540431261,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500077209,0.004763441,305.9559959,302.9389023,318.2120827,0.284584394,4.99729582,49.84918714,34.61870695,31.29744911,4.588457973,0.133119916,1.526829611,3.061628362,0.083371685,16.06665306,0.41440155,29.24595213,384.1924784,0.013381736,0,1771.65528,394.8621826,0.270178027,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,2,20140613,PSC0463,Yes,Yes,,11,9:46:07,5387.999999,0,10.41586521,0.133990996,106.0065882,10,10,0,0,472.5068359,813.9924316,614.2929077,-9999,0.419519374,0.245333392,-1,0.88503646,0.942911748,10.08219147,0.890871557,0.00641235,0.584796332,1.722710382,-1,1998.372803,0.5,218.38272,4.907192523,3.601313191,33.19734955,2,4.644859791,1,9.289719582,29.96653366,33.19734955,28.97382736,249.9850769,242.2489929,11.81211185,15.03425026,27.8460331,35.44194794,300.01297,1998.372803,5.428549767,100.243515,11.96658421,0.544339418,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50006485,0.004907193,306.3473495,303.1165337,319.7396413,0.254581833,5.108399282,50.95989782,35.92564756,31.5819416,4.663250628,0.132085845,1.507086092,3.156164537,0.082722731,10.62647302,0.437593515,28.13309642,240.7353393,0.012172311,0,1780.293491,341.4855957,0.245333392,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,2,20140613,PSC0463,Yes,Yes,,12,9:49:12,5572.999996,0,1.115191849,0.13789603,80.05942045,11,11,0,0,470.1696777,748.7929077,595.1343384,-9999,0.372096513,0.205208366,-1,0.88503646,0.942911748,10.05464458,0.890855614,0.001186728,0.551492312,1.592601444,-1,2000.74292,0.5,182.8789323,5.11029743,3.644898042,33.34387589,2,4.644859791,1,9.289719582,30.06138229,33.34387589,28.9744606,99.6042099,98.52523041,11.66470528,15.01995182,27.34907532,35.21578598,300.0400085,2000.74292,5.192108154,100.2432556,9.174118996,0.547881365,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500200043,0.005110297,306.4938759,303.2113823,320.11886,0.217711704,5.150546912,51.38048321,36.36053138,31.70262909,4.695298478,0.135879049,1.50564887,3.189649608,0.085103345,8.025416948,0.812577856,27.87327201,98.36316857,0.003160131,0,1782.373063,278.62323,0.205208366,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,2,20140613,PSC0463,Yes,Yes,,13,9:54:40,5900.999995,0,-1.480237713,0.149604612,63.04807923,12,12,0,0,471.7299805,696.9641724,592.5140381,-9999,0.323164663,0.149864424,-1,0.88503646,0.942911748,10.05464458,0.890855614,-0.000269496,0.463740134,1.47746423,-1,2000.310303,0.5,133.5282775,5.504806294,3.623825194,33.28360367,2,4.644859791,1,9.289719582,30.08601379,33.28360367,28.97361755,49.5820694,50.38394165,11.44214725,15.05653572,26.78992462,35.25242615,300.0188293,2000.310303,5.106462955,100.2453842,8.400380135,0.549508333,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500094147,0.005504806,306.4336037,303.2360138,320.0496413,0.152323368,5.133173402,51.20608238,36.14954666,31.68480873,4.690554354,0.147233516,1.509348208,3.181206145,0.092231078,6.320278927,1.251352657,28.14193637,50.59905266,-0.008232715,0,1781.987664,225.2341919,0.149864424,-9999
Kingsburg,Almond1,Almond,1,3,Top,na,Kingsburg_Almond1_Almond_L3T_GE,2,20140613,PSC0463,Yes,Yes,,14,9:58:13,6112.999998,0,4.15955974,0.154686428,95.60938104,13,13,0,0,450.9355469,716.517395,582.0058594,-9999,0.370656526,0.187729616,-1,0.88503646,0.942911748,9.884678841,0.890757246,0.002896299,0.506478649,1.588957446,-1,1999.907471,0.5,167.2137796,5.644197368,3.596201985,33.1587944,2,4.644859791,1,9.289719582,30.09436607,33.1587944,28.97067451,149.7364807,146.4126892,11.2688446,14.97510529,26.37102509,35.04430771,300.0153198,1999.907471,5.030288219,100.2435074,10.08682728,0.540004969,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500076599,0.005644197,306.3087944,303.2443661,319.9851882,0.134156301,5.097359062,50.84976768,35.8746624,31.62658024,4.675081888,0.152152877,1.501157077,3.17392481,0.095319972,9.584219694,0.653012943,28.24353972,145.808214,0.008057207,0,1781.432071,265.5818481,0.187729616,-9999
