Site,Plot,USDA_Species,Tree_Plant_Number,Leaf_Number,Canopy_Position,Leaf_Age,Sample_Name,Rep,Date,LiCor,Area_Corrected,Absorption_Corrected,QC,Obs,HHMMSS,FTime,Ebal,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo_Prime,Fm_Prime,Fs,Fv_over_Fm,Fv_Prime_over_Fm_Prime,PhiPS2,Adark,RedAbs,BlueAbs,Perc_Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn_at_Fs,PS2_over_1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R_W_m2,Tl_minus_Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci_over_Ca,RHsfc,C2sfc,Ahs_over_Cs,Fv,PARabs,Fv_Prime,qP_Fo,qN_Fo
RussellRanch,Plot01,MESA,,1,Top,na,RR_MESA_Plot1_L1T_GE,1,20150603,PSC0179,Y,Y,1,1,15:11:55,65.00004817,0,42.6657634,1.110708829,790.6964168,1,1,0,0,673.2995605,1508.627075,1041.173096,-9999,0.553700466,0.309853898,-1,0.909741023,0.941968801,10.0000515,0.912963818,0.024957459,0.559605629,2.240647646,-1,1999.551636,0.5,282.8219796,7.154286436,0.710164899,22.07125092,2,4.644859791,1,9.289719582,23.73506546,22.07125092,21.98738098,900.4360352,867.8709717,14.72146225,19.39587784,50.33733749,66.32064056,300.1668396,1999.551636,462.5683899,100.7891693,3.632304668,-0.098058373,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500834198,0.007154286,295.2212509,296.8850655,319.9282546,0.092175631,2.665059314,26.44192161,7.046043775,22.90315819,2.803236403,0.992091206,1.954894415,0.848341988,0.629724351,79.69363503,0.911076004,75.64023544,861.6707005,0.037453384,0,1749.607733,835.3275146,0.309853898,-9999
RussellRanch,Plot01,MESA,,1,Top,na,RR_MESA_Plot1_L1T_GE,1,20150603,PSC0179,Y,Y,1,2,15:13:39,179.0000403,0,318.3990877,0.28181328,-858.8491134,1,1,0,0,673.2995605,1508.627075,1041.173096,-9999,0.553700466,0.309853898,-1,0.909741023,0.941968801,9.970892906,0.912954421,0.182571926,0.559605629,2.240647646,-1,1999.551636,0.5,282.8190685,2.779955081,1.002342749,22.08026886,2,4.644859791,1,9.289719582,23.60595894,22.08026886,21.99497032,1210.981201,996.9414063,14.69021511,16.51228714,50.62017822,56.89875031,300.1035767,1999.396118,240.3122864,100.7844543,3.632304668,-0.098058373,0.333333343,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500517883,0.002779955,295.2302689,296.7559589,319.9033718,0.857995392,2.666524598,26.45769743,9.945410288,22.8431139,2.793057504,0.273515892,1.664181849,1.128875655,0.171674028,-86.55863926,-0.861484043,62.71584733,950.6710356,0.210048143,0,1749.442505,835.3275146,0.309853898,-9999
RussellRanch,Plot01,MESA,,1,Top,na,RR_MESA_Plot1_L1T_GE,2,20150603,PSC0179,Y,Y,,3,15:17:05,375.5000487,0,68.38331604,1.177168989,737.3957913,2,2,0,0,796.7399902,2210.778809,1251.842407,-9999,0.639611169,0.433755018,-1,0.909741023,0.941968801,10.0000515,0.912963818,0.039682071,0.678154227,2.774780776,-1,1998.263062,0.5,395.6587209,7.455207677,0.702641398,22.06815529,2,4.644859791,1,9.289719582,23.59986305,22.06815529,21.99130058,899.1290894,849.3382568,14.59545994,19.46694946,50.31083679,67.10295105,300.1167297,1998.263062,1.259184718,100.7818451,7.314006329,-0.117931038,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500583649,0.007455208,295.2181553,296.7498631,319.7220827,0.032271764,2.664556483,26.43885395,6.971904483,22.83400917,2.791516869,1.044777513,1.961915085,0.829601783,0.663716237,74.31610841,0.868200373,76.04598554,839.4006612,0.061952258,0,1748.48023,1414.038818,0.433755018,-9999
RussellRanch,Plot01,MESA,,1,Top,na,RR_MESA_Plot1_L1T_GE,2,20150603,PSC0179,Y,Y,,4,15:19:47,537.0000488,0,72.59107963,1.03579208,1010.774126,3,3,0,0,733.1418457,1915.293213,1100.557495,-9999,0.617216914,0.425384329,-1,0.909741023,0.941968801,9.970892906,0.912954421,0.042040257,0.689197458,2.612445633,-1,2000.594116,0.5,388.4718679,7.032008139,0.743187042,22.07152367,2,4.644859791,1,9.289719582,23.54753494,22.07152367,21.98944092,1200.196655,1146.446655,14.47315788,19.07017136,50.04656219,65.94252014,300.1038208,2000.594116,1.184934616,100.7812958,8.304973602,-0.100877434,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500519104,0.007032008,295.2215237,296.6975349,320.0950514,0.105959289,2.665103622,26.44442703,7.374255673,22.8095293,2.787378251,0.931887763,1.92191658,0.865461671,0.590951442,101.8671262,0.881658228,74.32723667,1135.897579,0.047499831,0,1750.490736,1182.151367,0.425384329,-9999
RussellRanch,Plot01,MESA,,1,Top,na,RR_MESA_Plot1_L1T_GE,2,20150603,PSC0179,Y,Y,,5,15:22:57,726.0000488,0,74.54315389,0.903533124,1283.717847,4,4,0,0,703.0561523,1740.743408,1014.325562,-9999,0.596117297,0.41730323,-1,0.909741023,0.941968801,10.0000515,0.912963818,0.043174264,0.700035432,2.475966397,-1,1999.687378,0.5,380.9231982,6.549180172,0.78345013,22.06923676,2,4.644859791,1,9.289719582,23.54877281,22.06923676,21.99390221,1499.823975,1443.847656,14.38473797,18.66758347,49.73548508,64.54349518,300.1239624,1999.687378,1.41255343,100.7780151,8.55814743,-0.08571592,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500619812,0.00654918,295.2192368,296.6987728,319.9499733,0.190763668,2.664732139,26.44160173,7.774018262,22.80900478,2.787289633,0.823443664,1.881282009,0.906007624,0.52129465,129.3705366,0.88909508,72.58709253,1433.014901,0.03775865,0,1749.726507,1037.687256,0.41730323,-9999
RussellRanch,Plot01,MESA,,2,Top,na,RR_MESA_Plot1_L2T_GE,1,20150603,PSC0179,Y,Y,,6,15:29:37,1126.500048,0,47.21528103,0.759650765,748.7163946,5,5,0,0,582.3371582,1618.221191,970.4328003,-9999,0.640137479,0.400308928,-1,0.898201632,0.933198486,10.0000515,0.901701335,0.027578308,0.625348369,2.778838974,-1,1998.062256,0.5,360.6093721,5.881646506,0.82516103,22.07750702,2,4.644859791,1,9.289719582,23.50426483,22.07750702,21.99525452,900.6888428,865.8265381,14.41971588,18.26812935,49.98735809,63.32825851,300.0820923,1998.062256,6.274177551,100.7719345,4.979473114,-0.085754067,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500410461,0.005881647,295.227507,296.6542648,319.6899538,0.305181633,2.666075765,26.45653056,8.18840121,22.79088593,2.784229964,0.702227338,1.840914734,0.943315229,0.443713626,75.44959948,0.864741795,70.73476281,858.9651222,0.038881226,0,1748.304525,1035.884033,0.400308928,-9999
RussellRanch,Plot01,MESA,,2,Top,na,RR_MESA_Plot1_L2T_GE,1,20150603,PSC0179,Y,Y,,7,15:32:28,1297.500049,0,52.30316764,0.549450738,986.6702094,6,6,0,0,546.6096191,1357.938477,798.7289429,-9999,0.597470998,0.41180771,-1,0.898201632,0.933198486,9.970892906,0.901691131,0.030490307,0.689251379,2.484293048,-1,1997.976563,0.5,370.9476844,4.72476037,0.897578706,22.06469345,2,4.644859791,1,9.289719582,23.53482437,22.06469345,21.99143791,1200.747925,1162.221802,14.43531322,17.52965927,49.94699097,60.6536026,300.0270081,1997.976563,2.864858866,100.7672501,5.841777802,-0.050035149,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50013504,0.00472476,295.2146935,296.6848244,319.6762429,0.511284854,2.663994265,26.43710395,8.907444681,22.79975891,2.785727947,0.518767652,1.766415559,1.019312388,0.326853586,99.42404372,0.84895173,67.47351398,1154.621004,0.030564822,0,1748.200415,811.3288574,0.41180771,-9999
RussellRanch,Plot01,MESA,,2,Top,na,RR_MESA_Plot1_L2T_GE,1,20150603,PSC0179,Y,Y,,8,15:35:34,1483.000049,0,55.36170233,0.488560842,1249.722505,7,7,0,0,523.2507324,1246.723877,737.9647827,-9999,0.580299421,0.408076803,-1,0.898201632,0.933198486,9.941905022,0.901680986,0.032208625,0.703217663,2.382650993,-1,1999.946045,0.5,367.9451677,4.27135065,0.907140853,21.94633484,2,4.644859791,1,9.289719582,23.58792686,21.94633484,21.99669647,1500.046387,1458.990723,14.44673538,17.24473953,49.82647324,59.47672653,300.0490417,1999.946045,2.574115276,100.7666016,4.897319794,-0.048082024,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500245209,0.004271351,295.0963348,296.7379269,319.99136,0.60025508,2.64483465,26.24713555,9.00239602,22.76713085,2.780222978,0.464150446,1.737693798,1.042529181,0.292192646,125.9302897,0.856566451,66.69076517,1450.945453,0.025446265,0,1749.894696,723.4731445,0.408076803,-9999
RussellRanch,Plot01,MESA,,3,Top,na,RR_MESA_Plot1_L3T_GE,1,20150603,PSC0179,Y,Y,,9,15:44:44,2033.500047,0,44.74904541,0.780281914,757.8000264,8,8,0,0,608.5605469,1470.365234,922.960022,-9999,0.586116067,0.372291999,-1,0.881708695,0.93349952,9.941905022,0.886857689,0.026142074,0.63518477,2.41613631,-1,2000.084595,0.5,330.1839874,5.654354515,0.773793737,21.91620255,2,4.644859791,1,9.289719582,23.68269539,21.91620255,21.98755455,899.3301392,866.2512817,14.82345963,18.52106285,50.83143997,63.51097488,300.1744385,2000.084595,466.1493225,100.7600098,7.277812958,-0.08624807,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500872192,0.005654355,295.0662025,296.8326954,320.013528,0.361819191,2.639976211,26.20063472,7.679571873,22.79944897,2.785675609,0.719821162,1.866182474,0.919493135,0.454955788,76.35593806,0.874803931,72.34206949,859.748264,0.03765333,0,1750.015923,861.8046875,0.372291999,-9999
RussellRanch,Plot01,MESA,,3,Top,na,RR_MESA_Plot1_L3T_GE,1,20150603,PSC0179,Y,Y,,10,15:48:13,2242.500049,0,47.67571783,0.597457817,1013.894981,9,9,0,0,556.9467773,1304.53894,801.9865112,-9999,0.573070025,0.385233751,-1,0.881708695,0.93349952,9.941905022,0.886857689,0.027823553,0.67222806,2.342304496,-1,1999.429688,0.5,341.5500913,4.780617605,0.838957487,22.06624603,2,4.644859791,1,9.289719582,23.7071476,22.06624603,21.99295807,1198.794067,1163.306519,14.98661137,18.11561775,51.31415558,62.02787399,300.0322266,1999.429688,481.440979,100.7577515,7.161113739,-0.074882179,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500161133,0.004780618,295.216246,296.8571476,319.9087428,0.510055234,2.664246398,26.44209859,8.326480841,22.88669682,2.800442595,0.56135491,1.825288911,0.975153684,0.35392114,102.1577785,0.871563053,69.73916979,1156.378191,0.028752401,0,1749.442898,747.5921631,0.385233751,-9999
