Site,Plot,USDA_Species,Tree_Plant_Number,Leaf_Number,Canopy_Position,Leaf_Age,Sample_Name,Rep,Date,LiCor,Area_Corrected,Absorption_Corrected,QC,Obs,HHMMSS,FTime,Ebal,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo_Prime,Fm_Prime,Fs,Fv_over_Fm,Fv_Prime_over_Fm_Prime,PhiPS2,Adark,RedAbs,BlueAbs,Perc_Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn_at_Fs,PS2_over_1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R_W_m2,Tl_minus_Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci_over_Ca,RHsfc,C2sfc,Ahs_over_Cs,Fv,PARabs,Fv_Prime,qP_Fo,qN_Fo
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,1,12:48:47,1798.999999,0,-0.487725985,0.086802999,58.1606311,1,1,0,0,531.7441406,809.4523926,753.718811,-9999,0.343081637,0.06885344,-1,0.87,0.92,9.919711113,0.874959856,0.000292546,0.200691125,1.522259167,-1,2001.497437,0.5,60.28910148,1.112097332,1.235126619,20.83711815,2,4.644859791,1,9.289719582,16.43071175,20.83711815,14.99066734,49.93060303,50.21837997,11.96192074,12.69354725,62.19401169,65.89549255,300.1479187,2001.333618,45.68889618,97.36687469,0.117651224,0.087572232,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500739594,0.001112097,293.9871181,289.5807117,320.2133717,0.897083577,2.471057644,25.37883291,12.68528566,18.63391495,2.155305338,0.085999422,1.235931024,0.919374314,0.053821262,5.662918881,1.158154268,49.51801536,50.28925726,-0.004802462,0,1751.086573,277.708252,0.06885344,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,2,12:50:53,1925.499999,0,1.180179655,0.101109277,79.16386701,2,2,0,0,530.9658203,809.9241333,745.6550293,-9999,0.344425239,0.079352005,-1,0.87,0.92,9.950752258,0.874975376,0.001246424,0.230389635,1.52537904,-1,1998.142944,0.5,69.3665819,1.251200357,1.194936063,20.63554001,2,4.644859791,1,9.289719582,16.3596344,20.63554001,14.99498367,100.6713104,99.80185699,11.97045135,12.79336357,62.51400375,66.71439362,300.2005005,1999.081909,72.64064026,97.36600494,0.333662271,0.09471716,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501002502,0.0012512,293.78554,289.5096344,319.8530983,0.87700458,2.440574764,25.06598443,12.27262086,18.4975872,2.136986532,0.100020652,1.245638701,0.891347831,0.062609811,7.707869467,0.793210361,50.63136826,99.63035101,0.005997581,0,1749.147445,278.958313,0.079352005,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,3,12:52:55,2046.999999,0,3.467538284,0.110766444,93.4982811,3,3,0,0,528.2563477,795.8247681,739.8197021,-9999,0.336215246,0.070373615,-1,0.87,0.92,9.950752258,0.874975376,0.002553808,0.209311195,1.506512457,-1,1999.229248,0.5,61.55145075,1.336721167,1.166624559,20.47377205,2,4.644859791,1,9.289719582,16.30420876,20.47377205,14.99288845,148.8793182,146.4376526,11.95589542,12.83541584,62.56947327,67.17236328,300.0643921,1999.329102,70.7329483,97.36546326,0.420957804,0.083146229,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50032196,0.001336721,293.623772,289.4542088,319.8926491,0.866873131,2.416350769,24.81732935,11.98191351,18.3889904,2.122491872,0.109461277,1.249726209,0.872765663,0.068529374,9.103503453,0.638485249,51.37299002,145.9337432,0.012206759,0,1749.363733,267.5684204,0.070373615,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,4,12:54:49,2160.999999,0,6.188478513,0.107302442,148.2662955,4,4,0,0,527.6374512,825.1538696,735.9805908,-9999,0.360558714,0.108068667,-1,0.87,0.92,9.950752258,0.874975376,0.004110699,0.299725572,1.563865241,-1,1998.454102,0.5,94.48433452,1.29854228,1.169377274,20.5236721,2,4.644859791,1,9.289719582,16.31111336,20.5236721,14.99530029,249.6390839,245.3040924,12.02978802,12.8837347,63.04154205,67.39455414,300.2089539,1998.598145,63.90685654,97.36487579,0.947157145,0.096780911,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501044769,0.001298542,293.6736721,289.4611134,319.775696,0.871237437,2.423800503,24.89399266,12.01025796,18.41739273,2.126274444,0.10607718,1.254423229,0.871851215,0.066407241,14.43592944,0.604418353,51.38705488,244.4047708,0.013011517,0,1748.724163,297.5164185,0.108068667,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,5,12:56:58,2289.999999,0,11.07179716,0.107093938,218.7996642,5,5,0,0,529.8564453,831.163208,738.300354,-9999,0.362512151,0.111726377,-1,0.87,0.92,9.919711113,0.874959856,0.00689788,0.308200364,1.568657351,-1,1999.943115,0.5,97.75331435,1.328014861,1.197984494,20.73612595,2,4.644859791,1,9.289719582,16.42084694,20.73612595,14.99705124,399.6907349,391.9656677,12.04460239,12.91815186,62.56966019,67.10485077,300.1225281,2000.175659,66.60037994,97.36373901,1.056684732,0.087070599,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.50061264,0.001328015,293.8861259,289.5708469,320.0280983,0.862259008,2.455744059,25.22236804,12.30421619,18.57848644,2.147840683,0.105873406,1.257759566,0.890081117,0.066279464,21.3031534,0.558211298,50.83543634,390.3566928,0.014418598,0,1750.073406,301.3067627,0.111726377,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,6,12:59:51,2462.999999,0,15.79497111,0.083732533,570.2576514,6,6,0,0,544.8625488,886.1165161,764.4349365,-9999,0.385111846,0.137320067,-1,0.87,0.92,9.919711113,0.874959856,0.009595103,0.356571912,1.626312027,-1,2000.585938,0.5,120.1847463,1.061920758,1.222101559,20.83693504,2,4.644859791,1,9.289719582,16.23290825,20.83693504,14.59664345,900.4805298,889.3276367,12.12923241,12.82767963,63.76319122,67.43356323,300.1798096,2000.513428,65.97405243,97.36197662,1.903791666,0.090918675,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500899048,0.001061921,293.986935,289.3829082,320.0821413,0.897147041,2.471029804,25.37982372,12.55214408,18.53492165,2.141989656,0.082984555,1.248928245,0.893061411,0.051932033,55.52141213,0.641223356,50.03000792,887.032281,0.008908611,0,1750.36894,341.2539673,0.137320067,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,7,13:02:12,2603.999999,0,18.36468742,0.065151754,713.0793419,7,7,0,0,544.7429199,878.12854,766.5442505,-9999,0.379654692,0.127070565,-1,0.87,0.92,9.919711113,0.874959856,0.011064169,0.334700367,1.612005421,-1,2000.506714,0.5,111.2098117,0.831810659,1.227958844,20.80103111,2,4.644859791,1,9.289719582,16.17614174,20.80103111,14.60471344,1199.200317,1186.305054,12.16426659,12.71151543,64.17993927,67.06872559,300.1329651,2000.338867,60.627491,97.36190033,1.531233072,0.103684559,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500664825,0.000831811,293.9510311,289.3261417,320.0542116,0.936891956,2.465576142,25.32382927,12.61231385,18.48858643,2.135781887,0.064698006,1.237617298,0.898164589,0.040476777,69.42675981,0.601092729,49.58392933,1183.636262,0.007693186,0,1750.216206,333.3856201,0.127070565,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,8,13:04:02,2723.499998,0,20.92981549,0.050957328,801.8517251,7,7,0,0,544.7429199,878.12854,766.5442505,-9999,0.379654692,0.127070565,-1,0.87,0.92,9.919711113,0.874959856,0.012540273,0.334700367,1.612005421,-1,2000.506714,0.5,111.2098117,0.665656951,1.254365496,20.92787933,2,4.644859791,1,9.289719582,16.21008873,20.92787933,14.60597706,1500.709229,1486.132568,12.20210743,12.63918877,64.23838806,66.53937531,300.7420044,1998.664307,58.40470505,97.35796356,0.099348307,0.096611157,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.503710022,0.000665657,294.0778793,289.3600887,319.7862819,0.960965354,2.484891175,25.52324519,12.88405642,18.56898403,2.146563256,0.050679335,1.230525679,0.916037576,0.031699443,78.06665104,0.539555987,48.81909874,1483.091007,0.006889494,0,1748.751033,333.3856201,0.127070565,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,1,20130403,PSC0179,Yes,No,,9,13:04:45,2757.499999,0,21.07544619,0.047835545,754.4783441,8,8,0,0,546.6928711,900.383728,771.7875366,-9999,0.392822356,0.142823762,-1,0.87,0.92,9.919711113,0.874959856,0.012619859,0.36358359,1.646964458,-1,1999.263062,0.5,124.9190125,0.625731205,1.255642943,20.93324852,2,4.644859791,1,9.289719582,16.21714973,20.93324852,14.60125637,1500.731201,1486.066528,12.22291565,12.63464355,64.31739044,66.48477936,300.1134033,1999.248901,64.88725281,97.35681915,0.319929361,0.100848332,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500567017,0.000625731,294.0832485,289.3671497,319.8798171,0.968448407,2.48571165,25.53197272,12.89732916,18.57519913,2.147398688,0.047590488,1.230068708,0.91732998,0.029765975,73.45361171,0.507701593,48.76665482,1483.003804,0.006930387,0,1749.26253,353.6908569,0.142823762,-9999
SJER,Tower,QUWI2,2,1,Top,,SJER_Tower_QUWI2_L1T2_GE,2,20130403,PSC0179,Yes,No,,10,13:26:32,4063.999999,0,-0.505574891,0.15017346,53.90850335,9,9,0,0,526.8977051,764.4471436,693.7875366,-9999,0.310746715,0.092432299,-1,0.87,0.92,10.01899433,0.875009497,0.000282306,0.297452216,1.45084546,-1,2001.50061,0.5,80.9398235,2.839885182,1.825654107,25.37758827,2,4.644859791,1,9.289719582,23.63741875,25.37758827,23.95769501,49.79954147,50.04175949,12.7874279,14.65225124,42.47829819,48.6740303,300.1114807,2001.557129,75.60519409,97.34413147,0.128782511,0.038045064,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500557404,0.002839885,298.5275883,296.7874187,320.2491335,0.700347324,3.251964779,33.40689089,18.75463965,24.50750351,3.087504443,0.147784442,1.426310671,1.661193771,0.092576984,5.247676437,1.077270342,43.39281777,50.11523061,-0.004377575,0,1751.381497,237.5494385,0.092432299,-9999
