Site,Plot,USDA_Species,Tree_Plant_Number,Leaf_Number,Canopy_Position,Leaf_Age,Sample_Name,Rep,Date,LiCor,Area_Corrected,Absorption_Corrected,QC,Obs,HHMMSS,FTime,Ebal,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo_Prime,Fm_Prime,Fs,Fv_over_Fm,Fv_Prime_over_Fm_Prime,PhiPS2,Adark,RedAbs,BlueAbs,Perc_Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn_at_Fs,PS2_over_1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R_W_m2,Tl_minus_Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci_over_Ca,RHsfc,C2sfc,Ahs_over_Cs,Fv,PARabs,Fv_Prime,qP_Fo,qN_Fo
KARE,Plot1,PIME4,,1,Bot,na,KARE_Plot1_PIME4_L1B_GE,1,20130625,PSC0179,Yes,Yes,0,2,10:54:21,3069.500009,0,17.36762739,0.131160206,165.7883816,1,1,0,0,710.7424316,1465.726807,1115.474121,-9999,0.515092152,0.238961779,-1,0.869777226,0.926742011,9.867360115,0.875398147,0.010488579,0.463920443,2.062247505,-1,2000.579346,0.5,209.2472944,1.695841138,1.284207545,24.26165962,2,4.644859791,1,9.289719582,19.22015762,24.26165962,17.12267685,397.99646,385.9906616,16.41199684,17.52191544,73.84552765,78.63806152,300.2250366,2000.464233,1.607234836,100.3409882,-0.024582505,0.088129878,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501125183,0.001695841,297.4116596,292.3701576,320.0742702,0.758041663,3.042373855,30.32034974,12.79843431,21.74090862,2.611866963,0.129334156,1.758166309,0.853700654,0.080995947,16.63537004,0.42951397,57.35689012,383.4667644,0.02597756,0,1751.202683,754.984375,0.238961779,-9999
KARE,Plot1,PIME4,,1,Bot,na,KARE_Plot1_PIME4_L1B_GE,1,20130625,PSC0179,Yes,Yes,0,3,10:56:23,3192.00001,0,11.68840121,0.133607893,96.90914995,2,2,0,0,724.1184082,1371.843872,1070.634521,-9999,0.472156837,0.219565329,-1,0.869777226,0.926742011,9.867360115,0.875398147,0.007251023,0.465026261,1.894502137,-1,1998.863892,0.5,192.0978977,1.742124725,1.295226045,24.37756348,2,4.644859791,1,9.289719582,19.23760414,24.37756348,17.12366104,250.2535095,242.1862335,16.48324585,17.62330818,74.02603912,79.00913239,300.2331848,1998.950317,1.752575397,100.3416824,-0.454529405,0.086539149,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501165924,0.001742125,297.5275635,292.3876041,319.8320436,0.744366225,3.063578438,30.53146373,12.90815555,21.80758381,2.622527629,0.131713544,1.768352393,0.854175236,0.08248909,9.72402715,0.400143099,57.29295685,240.4876525,0.027846048,0,1749.877403,647.7254639,0.219565329,-9999
KARE,Plot1,PIME4,,1,Bot,na,KARE_Plot1_PIME4_L1B_GE,1,20130625,PSC0179,Yes,Yes,0,4,10:59:06,3355.500008,0,3.350271284,0.136438063,55.80878011,3,3,0,0,715.230957,1249.689209,1029.720703,-9999,0.427672935,0.176018569,-1,0.869777226,0.926742011,9.837581635,0.875381183,0.002482751,0.41157285,1.747252683,-1,2001.759399,0.5,154.21889,1.807476382,1.316025315,24.58092117,2,4.644859791,1,9.289719582,19.29006195,24.58092117,17.12394905,99.58272552,97.23361969,16.60641289,17.78916931,74.21110535,79.49685669,300.2009277,2001.640015,1.302010059,100.345871,-0.649071336,0.091301799,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501004639,0.001807476,297.7309212,292.440062,320.2623952,0.727517512,3.101095003,30.90406185,13.11489254,21.93549156,2.643085413,0.134463202,1.785069688,0.858015724,0.084214727,5.600180648,0.57396588,57.1331548,96.74675179,0.019784806,0,1752.198005,534.458252,0.176018569,-9999
KARE,Plot1,PIME4,,1,Bot,na,KARE_Plot1_PIME4_L1B_GE,1,20130625,PSC0179,Yes,Yes,0,5,11:02:20,3548.500009,0,0.178942957,0.12338426,46.56601777,4,4,0,0,720.8288574,1205.021973,1009.889038,-9999,0.401812686,0.161933093,-1,0.869777226,0.926742011,9.837581635,0.875381183,0.000673593,0.403006421,1.671717163,-1,1999.376099,0.5,141.7089622,1.677001583,1.347956168,24.85260963,2,4.644859791,1,9.289719582,19.37079811,24.85260963,17.12628746,50.14955521,49.97452927,16.8784256,17.9754467,75.05142975,79.93264771,300.2415771,1999.393188,2.040864229,100.3528748,-0.636307359,0.063717723,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501207886,0.001677002,298.0026096,292.5207981,319.902903,0.740102571,3.15184392,31.40760967,13.43216297,22.11170387,2.671637843,0.121766975,1.803887751,0.867750092,0.076248028,4.673033749,0.931795025,56.7248257,49.94852493,0.002032194,0,1750.231176,484.1931152,0.161933093,-9999
KARE,Plot1,PIME4,,1,Bot,na,KARE_Plot1_PIME4_L1B_GE,1,20130625,PSC0179,Yes,Yes,0,6,11:08:16,3904.500009,0,30.32674177,0.105092339,397.8588518,5,5,0,0,603.3615723,1278.457397,949.4229736,-9999,0.528055003,0.257368313,-1,0.869777226,0.926742011,9.837581635,0.875381183,0.017905166,0.487389214,2.118890987,-1,1998.60498,0.5,225.1382328,1.402869951,1.321019917,24.9287281,2,4.644859791,1,9.289719582,19.45356178,24.9287281,17.18202019,898.8251953,877.8019409,17.4682579,18.38563156,77.28239441,81.33683777,300.2216797,1998.663452,1.483830452,100.3594437,-2.464066029,0.055155635,0.333333343,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501108398,0.00140287,298.0787281,292.6035618,319.7861452,0.788034866,3.166191672,31.54851757,13.16288601,22.19114494,2.684598057,0.103916754,1.845171755,0.839426302,0.065052577,39.92889302,0.453244443,57.68762566,873.3948002,0.020030778,0,1749.592378,675.0958252,0.257368313,-9999
KARE,Plot1,PIME4,,1,Bot,na,KARE_Plot1_PIME4_L1B_GE,1,20130625,PSC0179,Yes,Yes,0,7,11:11:08,4078.00001,0,35.7791649,0.092374722,531.2463336,6,6,0,0,611.2150879,1351.513062,982.8884888,-9999,0.547754953,0.272749545,-1,0.869777226,0.926742011,9.837581635,0.875381183,0.021026743,0.49794081,2.211190608,-1,1998.497314,0.5,238.5804291,1.238736559,1.324962707,25.06999207,2,4.644859791,1,9.289719582,19.55459595,25.06999207,17.29834747,1199.504395,1174.702148,17.80283737,18.61261749,78.35704803,81.83398438,300.2495117,1998.171021,1.49249053,100.3624268,-3.775711536,0.069174647,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501247559,0.001238737,298.2199921,292.7045959,319.7073561,0.814514787,3.192970167,31.81439778,13.20178028,22.31229401,2.704468561,0.091465215,1.86800746,0.836461102,0.057246783,53.31717125,0.452239178,57.84956102,1169.502651,0.017698198,0,1749.161313,740.2979736,0.272749545,-9999
KARE,Plot1,PIME4,,1,Bot,na,KARE_Plot1_PIME4_L1B_GE,1,20130625,PSC0179,Yes,Yes,0,8,11:14:57,4306.50001,0,39.38497421,0.079538646,650.9289044,7,7,0,0,617.3139648,1341.046021,969.6555786,-9999,0.53967727,0.276940863,-1,0.869777226,0.926742011,9.837581635,0.875381183,0.023070898,0.513160138,2.172388925,-1,1998.733887,0.5,242.275349,1.077530156,1.336342097,25.23832893,2,4.644859791,1,9.289719582,19.66841888,25.23832893,17.42411041,1499.484497,1472.184204,18.11525536,18.81973076,79.10016632,82.16394806,300.1528015,1999.668945,1.156725287,100.362587,-5.427200794,0.0327214,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.500764008,0.00107753,298.3883289,292.8184189,319.9470241,0.841047374,3.225138962,32.13487276,13.315142,22.45337391,2.727770177,0.078863417,1.888796865,0.838973312,0.049349859,65.32890878,0.442151806,57.84251884,1466.460704,0.01553486,0,1750.472568,723.7320557,0.276940863,-9999
KARE,Plot1,PIME4,,3,Top,na,KARE_Plot1_PIME4_L3T_GE,1,20130626,PSC0179,Yes,Yes,0,1,11:47:04,1189.499999,0,18.08983188,0.119521032,137.3483151,1,1,0,0,621.4880371,1128.941895,900.0369873,-9999,0.449495107,0.202760575,-1,0.828363912,0.911504185,9.994311333,0.836673209,0.011403913,0.451085165,1.81651428,-1,2000.775757,0.5,169.7101421,1.614921142,1.33620066,25.98412514,2,4.644859791,1,9.289719582,21.11488152,25.98412514,19.04341316,400.3896484,387.9207764,19.22597313,20.28002167,76.74523926,80.9509201,300.2082825,2000.747803,2.787292004,100.3396072,-1.647315502,0.038964152,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501041412,0.001614921,299.1341251,294.2648815,320.1196413,0.775508425,3.371090069,33.59680351,13.31678184,23.54950333,2.914879007,0.118002814,2.034889409,0.879989599,0.073886675,13.78147599,0.354062797,59.78305963,385.291927,0.02806873,0,1673.972085,507.4538574,0.202760575,-9999
KARE,Plot1,PIME4,,3,Top,na,KARE_Plot1_PIME4_L3T_GE,1,20130626,PSC0179,Yes,Yes,0,2,11:48:59,1303.999999,0,10.76979498,0.111505125,82.77457827,2,2,0,0,628.4187012,1095.682739,896.0706787,-9999,0.426459249,0.182180529,-1,0.828363912,0.911504185,9.994311333,0.836673209,0.007030294,0.427193287,1.743555272,-1,2000.942139,0.5,152.4973705,1.487400989,1.317889003,25.99484825,2,4.644859791,1,9.289719582,21.0883522,25.99484825,19.04141045,249.8195496,242.4057007,19.51333237,20.48378563,78.02906799,81.89685822,300.2583313,2000.96521,2.897771358,100.3398972,-1.573966503,0.036517024,1,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501291656,0.001487401,299.1448483,294.2383522,320.1544264,0.796454893,3.373229947,33.61803273,13.1342471,23.54160023,2.913490773,0.110182596,2.055340943,0.85814983,0.068981735,8.305592671,0.341471253,60.32097959,240.8406133,0.026974046,0,1674.153984,467.2640381,0.182180529,-9999
KARE,Plot1,PIME4,,3,Top,na,KARE_Plot1_PIME4_L3T_GE,1,20130626,PSC0179,Yes,Yes,0,3,11:51:23,1448.499998,0,2.343635688,0.109307733,61.08811121,3,3,0,0,613.8259277,1063.521973,904.3862915,-9999,0.422836628,0.149630835,-1,0.828363912,0.911504185,9.994311333,0.836673209,0.001997293,0.353873873,1.732611681,-1,2000.842896,0.5,125.2448731,1.438955072,1.30012034,26.0063858,2,4.644859791,1,9.289719582,21.08416176,26.0063858,19.04782486,99.07944489,97.42506409,19.74555016,20.68415833,78.96547699,82.72251892,300.272583,2000.880859,2.929091215,100.3383026,-1.618453503,0.010264277,0.666666687,-1.355140209,7.355140209,1,0,0.159999996,111115,1.501362915,0.001438955,299.1563858,294.2341618,320.1409303,0.80421734,3.375533677,33.64152661,12.95736828,23.54527378,2.914135986,0.108036519,2.075413337,0.838722649,0.067635896,6.129477388,0.627026646,60.8690267,97.08448242,0.014693885,0,1674.08341,449.6960449,0.149630835,-9999
