SampleID,Fresh_mass,Dry_mass,Dry_mass_without_petiole,Leaf_area_cm2,Leaf_area_m2,Leaf_mass_per_area_g_m2,Percent_nitrogen,Percent_carbon
cf314_r1_p1,3.851,0.911,0.792,134.048,0.0134048,67.961,2.4062,45.509
cf314_r2_p1,5.042,1.225,1.081,149.484,0.0149484,81.949,2.8483,44.703
cf314_r3_p1,4.782,1.218,1.059,160.572,0.0160572,75.854,2.5353,46.12
cs29_r1_p1,5.065,1.233,1.096,157.277,0.0157277,78.397,2.8367,44.749
cs29_r2_p1,2.860,0.799,0.740,109.228,0.0109228,73.150,2.9843,44.485
cs29_r3_p1,2.041,1.160,1.077,146.010,0.0146010,79.447,3.0845,45.777
cs412_r1_p1,3.979,0.996,0.898,142.074,0.0142074,70.104,2.7195,44.264
cs412_r2_p1,6.235,1.435,1.273,180.027,0.0180027,79.710,2.4837,44.488
cs412_r3_p1,3.975,0.926,0.813,138.542,0.0138542,66.839,2.921,44.191
mer181_r1_p1,3.730,1.033,0.953,170.251,0.0170251,60.675,2.9625,45.111
mer181_r2_p1,4.446,1.183,1.073,178.245,0.0178245,66.369,2.8074,44.746
mer181_r3_p1,4.016,1.122,1.049,114.813,0.0114813,97.724,2.61,42.571
mer348_r1_p1,2.914,0.779,0.712,115.452,0.0115452,67.474,2.5724,45.545
mer348_r2_p1,4.856,1.207,1.110,183.974,0.0183974,65.607,2.6115,45.67
mer348_r3_p1,5.192,1.373,1.279,196.493,0.0196493,69.875,2.7877,45.617
pn89_r1_p1,2.325,0.606,0.560,91.994,0.0091994,65.874,2.0653,44.59
pn89_r2_p1,3.375,0.842,0.770,123.687,0.0123687,68.075,2.5267,45.075
pn89_r3_p1,3.582,0.995,0.913,127.573,0.0127573,77.995,2.379,45.902
r171_r1_p1,4.145,0.903,0.864,148.005,0.0148005,61.011,1.9504,44.668
r171_r2_p1,5.621,1.345,1.244,186.322,0.0186322,72.187,2.4342,45.105
r171_r3_p1,3.125,0.876,0.813,151.913,0.0151913,57.665,2.2344,44.263
sb906_r1_p1,6.081,1.289,1.154,181.289,0.0181289,71.102,2.2881,45.138
sb906_r2_p1,5.185,1.125,1.011,165.741,0.0165741,67.877,2.7179,45.898
sb906_r3_p1,3.111,0.788,0.729,119.366,0.0119366,66.015,2.4671,44.46
vn642_r1_p1,3.285,0.755,0.694,117.906,0.0117906,64.034,2.7898,45.227
vn642_r2_p1,2.332,0.586,0.542,94.038,0.0094038,62.315,2.8206,44.793
vn642_r3_p1,4.605,1.153,1.058,160.943,0.0160943,71.640,3.317,45.087
