SampleID,SampleID_num,Record,A,Ci,Patm,Qin,Tleaf
W9_932,1,1,18.32507655,244.7778728,99.61160278,1199.903442,27.46123886
W9_932,1,2,12.78625986,185.8473375,99.6061554,1199.775024,27.4798336
W9_932,1,3,8.334434718,130.318047,99.60334778,1199.453247,27.49478912
W9_932,1,4,2.743044866,78.82977454,99.60289001,1199.297241,27.48707008
W9_932,1,5,-0.311763547,50.83631262,99.60752869,1199.516113,27.40255928
W9_932,1,6,-1.282890932,42.51786166,99.61222839,1199.202026,27.33976936
W9_932,1,7,19.27792547,310.7662891,99.61376953,1199.503174,27.26112747
W9_932,1,8,21.02410134,303.5663076,99.60940552,1199.464478,27.24157906
W9_932,1,9,26.50153498,453.0848908,99.60912323,1199.815918,27.22785187
W9_932,1,10,28.35796908,626.0439245,99.60874939,1199.968506,27.26585388
W9_932,1,11,29.00799143,788.0220926,99.60860443,1200.042236,27.32089806
W9_932,1,12,29.19359697,929.8271856,99.60539246,1199.638672,27.4802475
W9_930,2,13,15.69439029,217.9050816,99.61338043,1199.674438,27.03318596
W9_930,2,14,9.827163497,146.0063953,99.61080933,1199.581543,27.07691956
W9_930,2,15,3.191730374,82.27268756,99.61266327,1199.753052,27.04844666
W9_930,2,16,-0.125638999,49.54595233,99.62174225,1200.015625,26.98284912
W9_930,2,17,-1.063242076,40.40818534,99.61170197,1200.107544,26.91391373
W9_930,2,18,19.07409449,324.6174239,99.60808563,1199.74231,26.88932037
W9_930,2,19,19.55401943,322.4230761,99.60513306,1199.906006,26.87194061
W9_930,2,20,23.82194139,484.4407588,99.61301422,1199.767944,26.87745857
W9_930,2,21,25.83814851,667.0318641,99.61297607,1199.673096,26.90987587
W9_930,2,22,25.98914378,849.8953439,99.60411835,1199.519775,26.97393036
W9_930,2,23,26.1728965,1034.173073,99.60414124,1199.606445,27.02449989
W9_947,3,24,22.34127717,335.0614796,99.37989044,1199.096436,25.08696556
W9_947,3,25,13.69794096,233.6013978,99.3807373,1200.729736,25.09606171
W9_947,3,26,7.567255005,160.6815236,99.38175201,1200.305664,25.07296371
W9_947,3,27,0.760709821,95.12040482,99.38227844,1200.09668,25.09534836
W9_947,3,28,-3.263442934,61.69961008,99.38483429,1199.898193,25.08770561
W9_947,3,29,-3.983208858,53.26005847,99.38130188,1200.380249,25.08377457
