"SampleID","Record","A","Ci","CO2s","CO2r","gsw","Patm","Qin","RHs","Tleaf","Tair","SampleID_num","QC"
"2015_wet_PAR-T4_808T3",1,5.253700299,278.2412512,383.0090942,389.881134,0.088717178,100.874054,1313.181396,73.92973328,30.98854446,29.88710976,787,"bad"
"2015_wet_PAR-T4_808T3",2,4.14449182,209.8608338,294.6936035,300.0831604,0.085879543,100.8639603,1315.878174,74.026474,30.89778709,29.85918999,787,"ok"
"2015_wet_PAR-T4_808T3",3,2.292635314,148.7346215,197.0417175,200.0668335,0.084619127,100.8619232,1317.542847,74.06552124,30.90991592,29.86619186,787,"ok"
"2015_wet_PAR-T4_808T3",4,0.408076816,89.12753817,99.26292419,99.88784027,0.083276697,100.8552322,1318.399414,73.99957275,30.89670753,29.86453819,787,"ok"
"2015_wet_PAR-T4_808T3",5,-0.607945795,61.65021354,50.61088181,49.94739151,0.081134934,100.8533249,1309.271729,74.02973938,30.8631649,29.85554695,787,"ok"
"2015_wet_PAR-T4_808T3",6,5.747816232,259.3283363,382.5535889,389.9633484,0.081169173,100.8607559,1317.425903,74.17955017,30.94265747,29.88533783,787,"ok"
"2015_wet_PAR-T4_808T3",7,5.996538372,255.1830737,382.3321533,390.0476074,0.081921956,100.865242,1315.061768,74.42838287,31.03253746,29.91780281,787,"ok"
"2015_wet_PAR-T4_808T3",8,9.414390457,390.7797157,588.0256958,600.131897,0.082883989,100.8666077,1313.536377,74.74887848,31.10788155,29.9461689,787,"ok"
"2015_wet_PAR-T4_808T3",9,12.08315364,531.3591771,784.0914917,799.6713257,0.083266187,100.8645096,1312.64624,75.12797546,31.18379021,29.97772408,787,"ok"
"2015_wet_PAR-T4_808T3",10,14.43208527,678.4050853,981.7251587,1000.376648,0.083056911,100.8612976,1312.29248,75.58003235,31.19197083,29.98026848,787,"ok"
"2015_wet_PAR-T4_808T3",11,15.83808007,841.6382524,1179.786987,1200.367432,0.082193615,100.8726959,1312.645508,75.80399323,31.19675064,29.97773933,787,"ok"
"2015_wet_PAR-T4_808T3",12,17.23542433,1098.616158,1477.549438,1500.133057,0.080457522,100.871315,1313.560913,75.89685059,31.11069679,29.94361305,787,"ok"
"2015_wet_PAR-T4_808T3",13,18.56622571,1262.315464,1675.920654,1700.304199,0.079579106,100.8767929,1315.821533,75.8142395,31.00356483,29.90738487,787,"ok"
"2015_wet_PAR-T4_808T3",14,19.3787119,1530.743841,1974.391479,2000.057129,0.078060912,100.8692093,1317.804688,75.61206818,30.8989048,29.86668396,787,"ok"
"2015_wet_PAR-T4_808T3",15,19.36087465,1621.482896,2074.819092,2100.539307,0.076518234,100.8560791,1315.54126,75.27777863,30.8316555,29.84318542,787,"ok"
"2015_wet_PAR-T4_808T3",16,19.64193981,1697.551935,2173.943115,2200.054932,0.07386032,100.8516235,1300.736938,74.80046844,30.79754257,29.83603287,787,"ok"
"2015_wet_PAR-T4_808T3",17,20.00712822,1776.615196,2272.996582,2299.622559,0.072239569,100.8543701,1301.054688,74.3730545,30.74843597,29.82030678,787,"ok"
"2015_wet_PAR-T4_808T3",18,20.0865629,1855.685806,2373.292236,2400.033203,0.069520746,100.8489914,1283.229126,73.92825317,30.66590691,29.79223824,787,"ok"
