TreeID,Species,Height(m),DBH (cm),Sap_Flow,Block
176,Duckeodendron cestroides,23,62.1,YES,B4T1
324,Geissospermum argenteum,23,77.6,YES,B4T1
102X,Simarouba amara,25,25.5,YES,B2T4
115XA,Brosimum rubecens,22,14.4,YES,B2T4
116X,Eperua duckeana,24,30.5,YES,B2T4
165MA,Ocotea floribunda,19.8,15.1,YES,B4T1
176YC,Vismia guianensis,13.2,14.9,NO,B4T1
184J,Pourouma guianensis,23.5,33,YES,B4T1
185X,Protium tenuifolium,23,28,YES,B4T1
186M,Pourouma velutina,22.9,27.1,YES,B4T1
274,Endopleura uchi,29,45.9,YES,B2T4
275E,Inga paraensis,24.3,26.7,YES,B4T1
276C,Eschweilera atropetiolata,20.3,19.9,NO,B4T1
280,Eschweilera coriacea,26,45.6,YES,B2T4
300x,Chrysobalanacea,23,21.3,YES,B2T4
317,Lecythis prancei,29,56.1,YES,B4T1
317M,Miconia minutiflora,24,23.6,YES,B4T1
3X,Andira parviflora,24,24.5,YES,B4T1
420X,Swartzia panacoco,23,21,NO,B4T1
84X,Eschweilera truncata,22.5,19.8,YES,B2T4
85XC,Pourouma villosa,20.5,17.3,YES,B2T4
90XD,Miconia minutiflora,20.5,10.3,YES,B2T4
91XB,Xylopia spruceana,24.5,20.1,YES,B2T4
Cecropia,Cecropia sciadophyla,23.7,22.1,NO,B4T1
324,Geissospermum argenteum,23,77.4,YES,B4T1
317,Lecythis prancei,29,55.9,YES,B4T1
278,Micrandropsis scleroxylon,N/A,36.1,YES,B2T4
168X,Pourouma guianensis,N/A,24.5,YES,B4T1
115X,Brosimum rubecens,N/A,34.5,NO,B2T4
384,Chrysophyllum sanguinolentum,N/A,35.7,YES,B2T4
Byrsonima,Byrsonima duckeana,N/A,N/A,NO,B4T1
Bellu_2,Bellucia imperialis,N/A,N/A,NO,B4T1
