Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,10:52:49,caferana,shade,young,2,3622,0,-0.553,0.0164,101,0.439,2.59,30.32,6,1.42,1,2.84,30.07,30.32,30.13,49.71,50.51,16.893,17.542,39.26,40.77,399,1001,18,99.4,1.23,0.132,0.8,-0.22,2.74,1,0,0.16,111135,OK
18,10:54:27,caferana,shade,young,2,3721,0,-0.0858,0.0175,103,0.468,2.59,30.3,6,1.42,1,2.84,30.07,30.3,30.13,99.3,99.36,16.903,17.594,39.27,40.88,399,1000,16,99.4,0.772,0.134,0.8,-0.22,2.74,1,0,0.16,111115,OK
19,10:56:03,caferana,shade,young,2,3816,0,0.276,0.0193,120,0.514,2.58,30.31,6,1.42,1,2.84,30.09,30.31,30.13,149.54,149.01,16.91,17.669,39.26,41.02,399,1000,21,99.41,0.174,0.132,0.8,-0.22,2.74,1,0,0.16,111115,OK
20,10:58:28,caferana,shade,young,2,3961,0,1.21,0.0223,152,0.591,2.58,30.36,6,1.42,1,2.84,30.11,30.36,30.13,250.84,248.8,16.967,17.838,39.35,41.37,400,1000,19,99.4,-1.28,0.132,0.8,-0.22,2.74,1,0,0.16,111115,OK
21,11:00:28,caferana,shade,young,2,4080.5,0,2.05,0.0251,203,0.66,2.56,30.34,6,1.42,1,2.84,30.1,30.34,30.13,350.48,347.06,17.018,17.989,39.47,41.72,400.1,1000,19,99.4,-2.99,0.133,0.8,-0.22,2.74,1,0,0.16,111115,OK
22,11:03:25,caferana,shade,young,2,4258,0,4,0.0275,292,0.719,2.54,30.34,6,1.42,1,2.84,30.1,30.34,30.13,551.42,544.82,17.052,18.111,39.55,42.01,400,1001,29,99.4,-6.93,0.134,0.8,-0.22,2.74,1,0,0.16,111115,OK
23,11:05:40,caferana,shade,young,2,4393.5,0,5.01,0.0249,394,0.656,2.56,30.38,6,1.42,1,2.84,30.12,30.38,30.13,750.45,742.21,17.091,18.057,39.61,41.85,400,1000,27,99.4,-11.5,0.142,0.5,-0.22,2.74,1,0,0.16,111115,OK
24,11:07:55,caferana,shade,young,2,4529,0,5.81,0.0197,483,0.522,2.58,30.39,6,1.42,1,2.84,30.11,30.39,30.13,1000.25,990.75,17.123,17.893,39.69,41.48,399.9,1000,22,99.4,-17.6,0.144,0.8,-0.22,2.74,1,0,0.16,111115,OK
25,11:10:04,caferana,shade,young,2,4657.5,0,5.83,0.0151,535,0.407,2.61,30.45,6,1.42,1,2.84,30.13,30.45,30.13,1199.94,1190.47,17.164,17.764,39.75,41.14,400,1000,21,99.4,-22.6,0.147,0.5,-0.22,2.74,1,0,0.16,111115,OK
26,11:13:05,caferana,shade,young,2,4837,0,6.02,0.0117,621,0.317,2.62,30.46,6,1.42,1,2.84,30.13,30.46,30.13,1500.3,1490.56,17.22,17.688,39.88,40.96,400,1000,40,99.4,-31,0.154,0.8,-0.22,2.74,1,0,0.16,111115,OK
27,11:18:37,caferana,shade,young,2,5169,0,6.98,0.00911,987,0.248,2.63,30.53,6,1.42,1,2.84,30.15,30.53,30.13,2299.27,2287.94,17.336,17.702,40.09,40.93,400,1000,21,99.39,-54.8,0.163,0.5,-0.22,2.74,1,0,0.16,111115,OK
28,11:27:49,caferana,shade,old,shade,5713.5,0,11.1,0.0179,1.21E+03,0.487,2.64,30.76,6,1.42,1,2.84,30.14,30.76,30.13,2299.56,2281.28,17.475,18.192,40.42,42.08,400,1000,21,99.37,-54.2,0.165,1,-0.22,2.74,1,0,0.16,111115,OK
