Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,11:05:06,9,shade,y/m,2,602,0,0.377,0.0582,85.4,1.16,1.96,29.82,6,1.42,1,2.84,29.59,29.82,29.95,99.73,99,21.021,22.727,50.17,54.24,400.1,1500,7,99.29,4.08,-0.217,0.5,-0.22,2.74,1,0,0.16,111115,OK
3,11:11:14,9,shade,y/m,2,1266.5,0,-0.409,0.102,55.3,1.84,1.8,29.68,6,1.42,1,2.84,29.6,29.68,29.95,49.74,50.21,21.327,24.018,50.84,57.25,400,1499,10,99.26,3.61,-0.254,1,-0.22,2.74,1,0,0.16,111115,OK
4,11:14:19,9,shade,y/m,2,1451,0,0.669,0.115,86.8,2.02,1.75,29.63,6,1.42,1,2.84,29.6,29.63,29.95,100.4,99.1,21.41,24.368,51.03,58.08,400,1499,14,99.24,4.1,-0.267,0.8,-0.22,2.74,1,0,0.16,111115,OK
5,11:17:37,9,shade,y/m,2,1650.5,0,1.71,0.124,120,2.13,1.72,29.61,6,1.42,1,2.84,29.6,29.61,29.95,149.77,146.73,21.493,24.609,51.22,58.65,400.1,1500,18,99.23,4.33,-0.27,0.8,-0.22,2.74,1,0,0.16,111115,OK
6,11:20:19,9,shade,y/m,2,1812.5,0,3.96,0.122,185,2.12,1.73,29.64,6,1.42,1,2.84,29.61,29.64,29.95,251.31,244.6,21.54,24.635,51.3,58.67,400,1500,21,99.22,4.81,-0.275,0.5,-0.22,2.74,1,0,0.16,111115,OK
7,11:24:49,9,shade,y/m,2,2082,0,5.46,0.103,246,1.86,1.79,29.76,6,1.42,1,2.84,29.63,29.76,29.95,351.3,342.15,21.63,24.349,51.44,57.9,400.1,1500,26,99.21,4.98,-0.256,0.8,-0.22,2.74,1,0,0.16,111115,OK
8,11:28:39,9,shade,y/m,2,2312,0,7.52,0.0802,370,1.51,1.85,29.84,6,1.42,1,2.84,29.65,29.84,29.95,550.57,538.08,21.703,23.908,51.56,56.8,400.1,1500,20,99.19,4.99,-0.238,0.8,-0.22,2.74,1,0,0.16,111115,OK
9,11:34:00,9,shade,y/m,2,2633.5,0,8.34,0.0553,471,1.12,1.97,30.08,6,1.42,1,2.84,29.68,30.08,29.95,750.01,736.27,21.627,23.262,51.27,55.14,400.1,1500,20,99.17,4.33,-0.213,0.8,-0.22,2.74,1,0,0.16,111115,OK
10,11:37:13,9,shade,y/m,2,2826.5,0,9.18,0.0443,622,0.915,2.01,30.16,6,1.42,1,2.84,29.7,30.16,29.95,1000.44,985.32,21.729,23.07,51.46,54.63,400,1500,19,99.16,2.73,-0.211,0.5,-0.22,2.74,1,0,0.16,111115,OK
11,11:42:26,9,shade,y/m,2,3140,0,9.34,0.0314,721,0.671,2.07,30.31,6,1.42,1,2.84,29.73,30.31,29.95,1250.13,1234.88,21.897,22.88,51.77,54.09,400,1499,23,99.16,0.487,-0.197,0.5,-0.22,2.74,1,0,0.16,111115,OK
12,11:47:18,9,shade,y/m,2,3431.5,0,9.9,0.0255,819,0.554,2.1,30.44,6,1.42,1,2.84,29.77,30.44,29.95,1500.84,1484.76,22.067,22.879,52.04,53.96,400.1,1500,26,99.15,-2.32,-0.193,0.5,-0.22,2.74,1,0,0.16,111115,OK
13,11:51:17,9,shade,y/m,2,3670,0,9.94,0.023,990,0.508,2.13,30.58,6,1.42,1,2.84,29.8,30.58,29.95,1749.52,1733.3,22.221,22.965,52.31,54.06,400.1,1500,26,99.14,-5.83,-0.193,1,-0.22,2.74,1,0,0.16,111115,OK
14,11:56:03,9,shade,y/m,2,3956,0,10.2,0.0212,1.16E+03,0.467,2.13,30.62,6,1.42,1,2.84,29.81,30.62,29.95,1999.83,1983.2,22.386,23.071,52.66,54.27,400,1499,26,99.13,-9.59,-0.2,0.8,-0.22,2.74,1,0,0.16,111115,OK
15,11:59:04,9,shade,y/m,2,4138,0,10.3,0.0203,1.35E+03,0.448,2.13,30.65,6,1.42,1,2.84,29.82,30.65,29.95,2249.7,2232.73,22.485,23.141,52.85,54.39,400.1,1499,24,99.12,-14.3,-0.198,0.5,-0.22,2.74,1,0,0.16,111115,OK
