Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
16,12:17:36,caferana,shade,mature:_this_season's_growth,3,3052.0,0,5.19,0.0598,237,1.45,2.37,31.12,6,1.42,1,2.84,30.18,31.12,30.13,399.46,390.82,19.827,21.953,45.66,50.55,399.8,1501,26,99.11,-4.3,0.18,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,12:20:20,caferana,shade,mature:_this_season's_growth,3,3230.5,0,0.219,0.0591,89.5,1.43,2.37,31.11,6,1.42,1,2.84,30.18,31.11,30.13,99.76,99.22,19.829,21.930,45.64,50.48,399.9,1501,25,99.1,0.375,0.18,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,12:22:25,caferana,shade,mature:_this_season's_growth,3,3355.5,0,-0.443,0.062,60.8,1.49,2.35,31.09,6,1.42,1,2.84,30.17,31.09,30.13,50.79,51.34,19.806,21.996,45.63,50.68,399.9,1501,18,99.11,0.846,0.18,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
19,12:24:24,caferana,shade,mature:_this_season's_growth,3,3474.0,0,0.357,0.0672,87.4,1.6,2.34,31.05,6,1.42,1,2.84,30.17,31.05,30.13,100.45,99.67,19.747,22.095,45.50,50.91,400.1,1501,26,99.11,0.348,0.179,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
20,12:26:35,caferana,shade,mature:_this_season's_growth,3,3605.0,0,1.14,0.0725,118,1.71,2.31,31.00,6,1.42,1,2.84,30.16,31.00,30.13,150.85,148.76,19.688,22.191,45.37,51.14,400.0,1499,35,99.1,-0.27,0.18,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
21,12:28:35,caferana,shade,mature:_this_season's_growth,3,3725.0,0,3.05,0.0767,173,1.8,2.3,31.02,6,1.42,1,2.84,30.17,31.02,30.13,251.30,246.07,19.679,22.317,45.32,51.40,400.0,1499,37,99.1,-1.69,0.177,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
22,12:30:34,caferana,shade,mature:_this_season's_growth,3,3844.0,0,4.92,0.0813,233,1.9,2.29,31.02,6,1.42,1,2.84,30.18,31.02,30.13,351.23,342.87,19.648,22.427,45.23,51.63,399.9,1501,32,99.09,-3.43,0.184,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
23,12:32:54,caferana,shade,mature:_this_season's_growth,3,3984.5,0,8.17,0.0843,360,1.95,2.28,30.97,6,1.42,1,2.84,30.17,30.97,30.13,549.89,536.07,19.622,22.476,45.20,51.77,400.0,1501,17,99.1,-7.41,0.188,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
24,12:34:54,caferana,shade,mature:_this_season's_growth,3,4104.0,0,10.7,0.0829,498,1.91,2.27,30.90,6,1.42,1,2.84,30.15,30.90,30.13,750.94,732.80,19.608,22.405,45.23,51.68,400.0,1500,26,99.1,-12,0.188,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
25,12:37:03,caferana,shade,mature:_this_season's_growth,3,4233.0,0,12.2,0.0738,678,1.73,2.31,30.96,6,1.42,1,2.84,30.15,30.96,30.13,1000.72,979.88,19.576,22.121,45.14,51.01,399.9,1500,38,99.09,-18.2,0.197,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
26,12:39:13,caferana,shade,mature:_this_season's_growth,3,4363.0,0,12.9,0.061,844,1.47,2.36,31.00,6,1.42,1,2.84,30.15,31.00,30.13,1250.64,1228.61,19.561,21.720,45.10,50.08,399.9,1500,20,99.08,-24.8,0.209,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
27,12:41:12,caferana,shade,mature:_this_season's_growth,3,4482.0,0,13.2,0.0531,1.03E+03,1.3,2.4,31.04,6,1.42,1,2.84,30.15,31.04,30.13,1500.96,1478.33,19.536,21.451,45.03,49.45,400.0,1500,22,99.08,-31.8,0.214,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
28,12:43:17,caferana,shade,mature:_this_season's_growth,3,4607.5,0,13.3,0.0477,1.22E+03,1.18,2.42,31.05,6,1.42,1,2.84,30.14,31.05,30.13,1750.93,1727.90,19.526,21.265,45.03,49.04,400.0,1501,27,99.07,-39.2,0.222,0.5,-0.22,2.74,1.00,0.00,0.16,111135,OK
29,12:45:28,caferana,shade,mature:_this_season's_growth,3,4738.5,0,13.7,0.0437,1.4E+03,1.1,2.44,31.10,6,1.42,1,2.84,30.16,31.10,30.13,1999.73,1975.88,19.524,21.137,44.98,48.70,400.0,1500,37,99.07,-46.8,0.216,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
30,12:47:40,caferana,shade,mature:_this_season's_growth,3,4870.0,0,13.8,0.0402,1.59E+03,1.03,2.48,31.19,6,1.42,1,2.84,30.18,31.19,30.13,2250.14,2226.06,19.535,21.042,44.96,48.42,400.0,1499,40,99.06,-54.6,0.227,0.5,-0.22,2.74,1.00,0.00,0.16,111135,OK
