Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,13:59:45,caferana1,sh,y2,3,377.0,0,-1.06,0.0272,112,0.615,2.18,32.63,6,1.42,1,2.84,30.41,32.63,30.03,49.99,52.05,26.718,27.913,60.75,63.46,300.2,1999,6,99.19,4.93,-0.55,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,14:02:00,caferana1,sh,y2,3,512.0,0,-0.853,0.0276,147,0.625,2.18,32.66,6,1.42,1,2.84,30.42,32.66,30.03,100.00,101.58,26.784,27.998,60.86,63.62,300.2,2000,6,99.2,5.4,-0.552,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,14:03:46,caferana1,sh,y2,3,618.0,0,-0.515,0.0288,174,0.648,2.17,32.65,6,1.42,1,2.84,30.42,32.65,30.03,150.02,150.85,26.831,28.091,60.98,63.84,300.2,2000,6,99.19,5.65,-0.557,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,14:05:19,caferana1,sh,y2,3,711.0,0,0.147,0.0308,233,0.69,2.16,32.65,6,1.42,1,2.84,30.43,32.65,30.03,250.14,249.51,26.877,28.217,61.04,64.09,300.2,2000,7,99.19,6.03,-0.559,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,14:06:56,caferana1,sh,y2,3,808.0,0,0.613,0.0335,307,0.742,2.14,32.64,6,1.42,1,2.84,30.43,32.64,30.03,350.15,348.41,26.923,28.364,61.14,64.41,300.2,2000,7,99.18,6.06,-0.57,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,14:09:12,caferana1,sh,y2,3,944.5,0,1.09,0.0387,483,0.843,2.11,32.62,6,1.42,1,2.84,30.43,32.62,30.03,550.11,547.01,26.991,28.627,61.29,65.01,300.2,2000,10,99.18,5.55,-0.581,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,14:11:21,caferana1,sh,y2,3,1073.5,0,1.88,0.0425,649,0.912,2.07,32.57,6,1.42,1,2.84,30.43,32.57,30.03,750.05,744.93,27.035,28.806,61.40,65.42,300.2,2000,12,99.17,4.28,-0.584,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,14:13:28,caferana1,sh,y2,3,1200.5,0,2.23,0.0417,875,0.896,2.08,32.58,6,1.42,1,2.84,30.44,32.58,30.03,1000.04,993.81,27.068,28.807,61.45,65.40,300.2,2000,21,99.17,1.74,-0.588,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,14:15:39,caferana1,sh,y2,3,1331.0,0,2.61,0.0376,1.09E+03,0.816,2.09,32.59,6,1.42,1,2.84,30.44,32.59,30.03,1249.85,1242.61,27.104,28.688,61.52,65.12,300.2,2000,11,99.16,-1.61,-0.587,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,14:17:43,caferana1,sh,y2,3,1455.0,0,3.23,0.0333,1.29E+03,0.725,2.1,32.55,6,1.42,1,2.84,30.41,32.55,30.03,1499.86,1491.24,27.121,28.529,61.64,64.84,300.2,2000,5,99.16,-5.68,-0.589,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,14:19:36,caferana1,sh,y2,3,1568.0,0,3.48,0.031,1.5E+03,0.677,2.1,32.53,6,1.42,1,2.84,30.40,32.53,30.03,1750.17,1740.86,27.086,28.401,61.63,64.62,300.2,2000,4,99.17,-10.5,-0.58,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,14:22:02,caferana1,sh,y2,3,1714.0,0,3.42,0.0295,1.74E+03,0.648,2.12,32.53,6,1.42,1,2.84,30.40,32.53,30.02,2000.07,1990.66,27.019,28.277,61.47,64.34,300.2,2001,5,99.17,-15.8,-0.574,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
