Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
31,13:28:09,9,shade,old,5,9586.5,0,5.1,0.0836,278,1.8,2.12,30.52,6,1.42,1,2.84,30.11,30.52,30.13,398.83,390.14,20.296,22.925,46.91,52.99,400.2,1501,70,99.11,-2.38,0.23,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,13:30:46,9,shade,old,5,9775.0,0,0.339,0.0789,88,1.71,2.14,30.58,6,1.42,1,2.84,30.13,30.58,30.13,99.11,98.34,20.360,22.870,47.02,52.82,400.0,1500,74,99.11,1.7,0.235,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,13:32:59,9,shade,old,5,9908.0,0,-0.664,0.0775,62.6,1.69,2.14,30.61,6,1.42,1,2.84,30.13,30.61,30.13,49.74,50.61,20.435,22.908,47.18,52.88,400.0,1500,73,99.1,2.11,0.242,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
34,13:35:12,9,shade,old,5,10041.0,0,0.219,0.0773,91.4,1.67,2.13,30.56,6,1.42,1,2.84,30.11,30.56,30.13,100.03,99.45,20.478,22.926,47.32,52.97,400.0,1501,54,99.09,1.66,0.238,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
35,13:37:25,9,shade,old,5,10174.0,0,1.21,0.0775,119,1.67,2.12,30.54,6,1.42,1,2.84,30.11,30.54,30.13,151.18,149.00,20.516,22.963,47.42,53.07,400.0,1501,69,99.08,1.08,0.242,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
36,13:39:39,9,shade,old,5,10308.0,0,2.81,0.0783,180,1.69,2.12,30.57,6,1.42,1,2.84,30.12,30.57,30.13,251.42,246.59,20.553,23.025,47.46,53.17,400.1,1500,62,99.07,-0.271,0.245,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
37,13:41:52,9,shade,old,5,10441.0,0,4.3,0.0782,243,1.67,2.11,30.51,6,1.42,1,2.84,30.10,30.51,30.13,350.30,342.98,20.592,23.046,47.60,53.27,400.0,1501,55,99.06,-1.86,0.245,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
38,13:44:14,9,shade,old,5,10582.5,0,6.55,0.0779,386,1.67,2.11,30.54,6,1.42,1,2.84,30.11,30.54,30.13,551.02,539.84,20.625,23.075,47.64,53.30,400.0,1500,69,99.05,-5.55,0.245,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,13:46:27,9,shade,old,5,10716.0,0,8.11,0.0764,540,1.65,2.12,30.57,6,1.42,1,2.84,30.12,30.57,30.13,750.40,736.42,20.657,23.069,47.69,53.26,400.1,1500,83,99.05,-9.89,0.249,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,13:48:43,9,shade,old,5,10852.0,0,9.43,0.074,745,1.6,2.13,30.60,6,1.42,1,2.84,30.13,30.60,30.13,1000.69,984.17,20.707,23.056,47.78,53.20,399.9,1500,66,99.04,-15.8,0.251,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,13:50:56,9,shade,old,5,10985.0,0,10.6,0.071,950,1.54,2.13,30.59,6,1.42,1,2.84,30.13,30.59,30.13,1250.96,1232.21,20.736,22.997,47.85,53.07,400.0,1500,56,99.04,-22.4,0.254,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,13:53:08,9,shade,old,5,11116.5,0,11.3,0.0671,1.16E+03,1.47,2.14,30.59,6,1.42,1,2.84,30.12,30.59,30.13,1501.38,1481.18,20.751,22.899,47.91,52.87,400.0,1501,62,99.04,-29.2,0.252,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
43,13:55:20,9,shade,old,5,11248.5,0,11.9,0.0641,1.37E+03,1.41,2.15,30.60,6,1.42,1,2.84,30.12,30.60,30.13,1750.72,1729.24,20.754,22.816,47.92,52.68,400.0,1500,86,99.04,-36.3,0.258,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
44,13:57:32,9,shade,old,5,11380.5,0,12.5,0.0609,1.58E+03,1.35,2.16,30.63,6,1.42,1,2.84,30.13,30.63,30.13,2000.75,1977.98,20.781,22.756,47.96,52.52,400.1,1500,81,99.04,-43.8,0.268,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
45,13:59:46,9,shade,old,5,11515.0,0,13,0.0581,1.79E+03,1.3,2.18,30.66,6,1.42,1,2.84,30.14,30.66,30.13,2249.35,2225.54,20.796,22.695,47.97,52.35,400.1,1500,43,99.05,-51.5,0.271,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
