Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
31,09:08:33,caferana,shade,old1,5,6240.5,0,-0.481,0.016,94.4,0.537,3.26,29.68,6,1.42,1,2.84,29.74,29.68,29.95,49.28,49.97,8.541,9.339,20.16,22.04,400.1,1000,24,99.09,4.96,0.0301,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
32,09:10:36,caferana,shade,old1,5,6363.5,0,-0.0454,0.0169,99.3,0.565,3.25,29.66,6,1.42,1,2.84,29.72,29.66,29.95,100.38,100.37,8.554,9.393,20.22,22.20,400.1,1000,22,99.09,5.48,0.0262,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,09:12:35,caferana,shade,old1,5,6482.5,0,0.271,0.0182,118,0.61,3.25,29.71,6,1.42,1,2.84,29.75,29.71,29.95,149.72,149.18,8.569,9.474,20.22,22.35,400.0,1000,19,99.08,5.96,0.0261,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,09:14:34,caferana,shade,old1,5,6601.5,0,0.972,0.02,161,0.667,3.24,29.69,6,1.42,1,2.84,29.76,29.69,29.96,251.60,249.89,8.580,9.570,20.24,22.57,400.0,1000,13,99.08,6.68,0.0251,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,09:16:33,caferana,shade,old1,5,6720.0,0,1.73,0.022,205,0.743,3.28,29.92,6,1.42,1,2.84,29.74,29.92,29.95,349.51,346.53,8.593,9.696,20.28,22.88,400.0,1000,17,99.08,7.14,0.0222,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,09:18:32,caferana,shade,old1,5,6839.5,0,3.37,0.0245,299,0.82,3.26,29.89,6,1.42,1,2.84,29.74,29.89,29.95,549.89,544.16,8.608,9.826,20.32,23.19,400.1,1000,16,99.08,7.28,0.0211,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,09:20:31,caferana,shade,old1,5,6958.0,0,5.17,0.0267,399,0.892,3.25,29.88,6,1.42,1,2.84,29.75,29.88,29.95,750.34,741.60,8.621,9.945,20.34,23.46,400.0,1000,15,99.08,6.93,0.0236,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,09:22:45,caferana,shade,old1,5,7092.5,0,6.65,0.0276,559,0.918,3.25,29.90,6,1.42,1,2.84,29.76,29.90,29.95,1001.04,989.70,8.640,10.003,20.37,23.59,400.0,1000,17,99.08,5.81,0.0234,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,09:24:44,caferana,shade,old1,5,7211.0,0,7.49,0.0257,717,0.861,3.25,29.91,6,1.42,1,2.84,29.77,29.91,29.94,1251.20,1238.37,8.654,9.932,20.40,23.41,400.0,1000,16,99.08,3.79,0.0236,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
40,09:27:03,caferana,shade,old1,5,7350.0,0,7.87,0.0222,853,0.75,3.28,29.95,6,1.42,1,2.84,29.77,29.95,29.95,1499.63,1486.15,8.677,9.790,20.45,23.07,400.1,1000,19,99.08,1.23,0.0299,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
41,09:29:02,caferana,shade,old1,5,7469.0,0,7.92,0.0198,1.02E+03,0.673,3.3,30.02,6,1.42,1,2.84,29.77,30.02,29.94,1749.51,1735.87,8.701,9.701,20.50,22.85,400.0,999,24,99.08,-1.95,0.0362,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
42,09:31:05,caferana,shade,old1,5,7592.0,0,7.68,0.0181,1.22E+03,0.621,3.33,30.10,6,1.42,1,2.84,29.80,30.10,29.95,2000.93,1987.56,8.727,9.650,20.53,22.71,400.1,1000,26,99.08,-5.72,0.0354,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
43,09:33:15,caferana,shade,old1,5,7722.0,0,6.92,0.0171,1.48E+03,0.589,3.34,30.14,6,1.42,1,2.84,29.82,30.14,29.94,2250.17,2237.81,8.766,9.641,20.60,22.65,400.0,1001,26,99.08,-9.71,0.0382,0.8,-0.22,2.74,1.00,0.00,0.16,111125,OK
