Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
31,09:05:33,caferana,shade,mature,6,6271.0,0,-0.357,0.0259,71.3,0.827,3.11,30.00,6,1.42,1,2.84,30.00,30.00,30.13,51.76,52.23,10.339,11.565,24.08,26.94,400.0,1000,35,99.23,1.91,0.0968,1.0,-0.22,2.74,1.00,0.00,0.16,111135,OK
32,09:07:36,caferana,shade,mature,6,6394.0,0,0.0294,0.0288,93.7,0.912,3.09,29.97,6,1.42,1,2.84,30.00,29.97,30.13,100.45,100.27,10.345,11.697,24.09,27.24,400.0,1000,35,99.23,1.44,0.0992,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,09:09:53,caferana,shade,mature,6,6531.0,0,0.654,0.0333,111,1.05,3.08,30.01,6,1.42,1,2.84,30.02,30.01,30.13,150.44,149.23,10.366,11.924,24.12,27.74,400.0,1000,28,99.23,0.838,0.0951,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,09:12:03,caferana,shade,mature,6,6661.0,0,1.74,0.0391,165,1.22,3.04,29.96,6,1.42,1,2.84,30.01,29.96,30.13,251.06,247.99,10.381,12.182,24.16,28.35,400.0,999,28,99.23,-0.655,0.0894,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,09:14:08,caferana,shade,mature,6,6786.5,0,3.16,0.0453,218,1.39,3.01,29.93,6,1.42,1,2.84,30.01,29.93,30.13,350.77,345.31,10.378,12.439,24.15,28.95,400.0,1000,27,99.23,-2.47,0.0844,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,09:16:49,caferana,shade,mature,6,6947.0,0,5.32,0.051,349,1.54,2.97,29.88,6,1.42,1,2.84,30.02,29.88,30.13,549.60,540.38,10.407,12.693,24.22,29.53,400.0,999,23,99.22,-6.6,0.0827,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,09:18:48,caferana,shade,mature,6,7066.0,0,6.88,0.0527,496,1.59,2.96,29.88,6,1.42,1,2.84,30.02,29.88,30.13,750.74,738.66,10.421,12.772,24.24,29.71,400.0,1000,24,99.23,-11.4,0.083,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,09:20:57,caferana,shade,mature,6,7195.0,0,7.78,0.0507,695,1.54,2.98,29.92,6,1.42,1,2.84,30.03,29.92,30.13,1000.02,986.07,10.449,12.725,24.29,29.59,400.0,1000,26,99.23,-17.9,0.0899,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,09:23:03,caferana,shade,mature,6,7321.0,0,8.06,0.0458,897,1.4,3.01,29.97,6,1.42,1,2.84,30.04,29.97,30.13,1250.35,1235.66,10.474,12.555,24.34,29.18,400.0,999,27,99.23,-25,0.0943,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,09:25:02,caferana,shade,mature,6,7440.0,0,7.9,0.0412,1.11E+03,1.28,3.04,30.04,6,1.42,1,2.84,30.04,30.04,30.13,1499.87,1485.16,10.488,12.386,24.37,28.77,400.0,999,33,99.22,-32.3,0.105,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,09:27:01,caferana,shade,mature,6,7559.0,0,7.85,0.0374,1.32E+03,1.18,3.08,30.13,6,1.42,1,2.84,30.07,30.13,30.13,1750.93,1736.10,10.510,12.256,24.38,28.44,400.0,999,37,99.22,-39.9,0.0469,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,09:30:01,caferana,shade,mature,6,7739.5,0,7.88,0.0341,1.52E+03,1.09,3.11,30.24,6,1.42,1,2.84,30.09,30.24,30.13,1999.95,1984.90,10.544,12.155,24.43,28.17,400.0,1001,28,99.22,-47.9,0.0485,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
43,09:32:16,caferana,shade,mature,6,7874.0,0,7.97,0.0323,1.73E+03,1.04,3.13,30.30,6,1.42,1,2.84,30.11,30.30,30.13,2249.78,2234.35,10.588,12.125,24.51,28.06,400.0,1000,42,99.22,-55.9,0.0511,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
