Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
113,10:52:11,504,sun,old,8,17735.5,0,-0.266,0.0418,106,0.882,2.05,30.69,6,1.42,1,2.84,29.69,30.69,29.55,98.90,99.16,22.762,24.054,53.87,56.93,399.9,2001,1,99.08,6.34,0.231,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
114,10:53:41,504,sun,old,8,17825.5,0,-0.486,0.0418,70.9,0.882,2.05,30.72,6,1.42,1,2.84,29.71,30.72,29.55,53.51,54.17,22.837,24.129,54.00,57.05,399.9,2001,1,99.08,6.36,0.232,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
115,10:55:19,504,sun,old,8,17924.0,0,-0.0322,0.0425,97.8,0.892,2.04,30.71,6,1.42,1,2.84,29.72,30.71,29.55,99.99,99.90,22.915,24.221,54.17,57.25,400.0,2001,1,99.07,6.37,0.232,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
116,10:57:01,504,sun,old,8,18025.5,0,0.35,0.0438,132,0.915,2.03,30.72,6,1.42,1,2.84,29.71,30.72,29.55,150.47,149.74,22.989,24.328,54.35,57.51,400.0,2000,1,99.08,6.21,0.235,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
117,10:58:57,504,sun,old,8,18142.0,0,1.31,0.0457,195,0.942,2,30.66,6,1.42,1,2.84,29.72,30.66,29.55,251.22,248.90,23.068,24.447,54.52,57.78,399.9,2001,1,99.07,5.86,0.231,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
118,11:00:50,504,sun,old,8,18254.5,0,2.13,0.047,264,0.965,2,30.67,6,1.42,1,2.84,29.72,30.67,29.55,350.84,347.14,23.119,24.531,54.64,57.97,399.7,2001,1,99.08,5.37,0.234,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
119,11:02:48,504,sun,old,8,18372.5,0,3.77,0.0475,400,0.972,1.99,30.65,6,1.42,1,2.84,29.72,30.65,29.55,550.69,544.25,23.148,24.570,54.69,58.05,400.0,2001,1,99.07,3.67,0.237,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
120,11:04:44,504,sun,old,8,18488.5,0,5.11,0.0468,544,0.951,1.98,30.60,6,1.42,1,2.84,29.72,30.60,29.55,750.43,741.71,23.175,24.566,54.77,58.06,400.0,1999,1,99.07,1.56,0.247,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
121,11:06:29,504,sun,old,8,18593.5,0,6.15,0.0439,686,0.903,2,30.66,6,1.42,1,2.84,29.71,30.66,29.55,950.68,940.18,23.196,24.517,54.85,57.97,399.9,1999,1,99.07,-1.02,0.245,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
122,11:08:29,504,sun,old,8,18714.0,0,6.85,0.0413,836,0.854,2.01,30.69,6,1.42,1,2.84,29.71,30.69,29.55,1150.33,1138.59,23.210,24.460,54.88,57.84,400.0,1999,1,99.07,-3.75,0.248,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
123,11:10:30,504,sun,old,8,18834.5,0,7.57,0.0392,985,0.81,2.01,30.65,6,1.42,1,2.84,29.70,30.65,29.55,1349.72,1336.75,23.223,24.408,54.93,57.74,400.1,1999,0,99.06,-6.72,0.248,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
124,11:12:39,504,sun,old,8,18963.5,0,8.24,0.0368,1.13E+03,0.768,2.02,30.69,6,1.42,1,2.84,29.71,30.69,29.55,1550.48,1536.35,23.228,24.353,54.92,57.58,400.0,1999,0,99.06,-10.1,0.25,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
125,11:14:26,504,sun,old,8,19071.0,0,8.49,0.0352,1.29E+03,0.735,2.02,30.69,6,1.42,1,2.84,29.71,30.69,29.55,1750.86,1736.21,23.228,24.305,54.92,57.47,400.0,2000,0,99.06,-13.5,0.251,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
126,11:16:08,504,sun,old,8,19172.5,0,8.97,0.0338,1.5E+03,0.71,2.03,30.70,6,1.42,1,2.84,29.70,30.70,29.55,2000.46,1984.90,23.226,24.265,54.94,57.40,400.0,2000,0,99.06,-17.9,0.247,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
127,11:18:09,504,sun,old,8,19293.5,0,9.41,0.0333,1.71E+03,0.694,2.02,30.63,6,1.42,1,2.84,29.69,30.63,29.55,2250.59,2234.15,23.222,24.238,54.97,57.38,400.1,2000,1,99.05,-22.7,0.26,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
