Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
7,12:28:46,9,shade,old,has_number,8762.5,0,-0.0978,0.0495,99,1.18,2.33,31.00,6,1.42,1,2.84,30.50,31.00,30.13,99.68,99.65,20.315,22.053,45.87,49.79,400.0,1999,50,98.96,0.387,-0.128,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,12:30:49,9,shade,old,has_number,8885.5,0,-0.501,0.0502,65,1.21,2.34,31.08,6,1.42,1,2.84,30.52,31.08,30.13,50.42,51.08,20.390,22.160,45.96,49.95,400.1,2000,38,98.96,0.965,-0.133,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,12:32:48,9,shade,old,has_number,9005.0,0,-0.0218,0.0525,96.6,1.25,2.32,31.03,6,1.42,1,2.84,30.51,31.03,30.13,99.86,99.70,20.427,22.260,46.08,50.21,400.0,2000,31,98.96,0.416,-0.137,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,12:34:49,9,shade,old,has_number,9126.0,0,0.542,0.0559,129,1.31,2.29,30.97,6,1.42,1,2.84,30.48,30.97,30.13,151.07,149.96,20.431,22.360,46.16,50.51,400.0,2001,32,98.95,-0.177,-0.136,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,12:37:06,9,shade,old,has_number,9263.0,0,1.65,0.0603,195,1.4,2.27,30.91,6,1.42,1,2.84,30.45,30.91,30.13,250.83,247.83,20.401,22.453,46.17,50.81,399.9,2000,34,98.95,-1.92,-0.135,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,12:39:05,9,shade,old,has_number,9382.0,0,2.66,0.0639,267,1.48,2.26,30.90,6,1.42,1,2.84,30.45,30.90,30.13,350.84,346.09,20.344,22.509,46.05,50.95,400.0,2000,36,98.95,-3.71,-0.146,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,12:41:04,9,shade,old,has_number,9501.0,0,4.86,0.0676,408,1.54,2.24,30.82,6,1.42,1,2.84,30.43,30.82,30.13,551.43,542.89,20.266,22.529,45.92,51.05,400.0,2001,31,98.95,-8.28,-0.143,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,12:43:06,9,shade,old,has_number,9623.0,0,6.27,0.0692,567,1.58,2.23,30.79,6,1.42,1,2.84,30.41,30.79,30.13,750.76,739.60,20.200,22.511,45.82,51.07,400.2,2001,27,98.95,-13.2,-0.143,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,12:45:09,9,shade,old,has_number,9746.0,0,7.46,0.0677,773,1.54,2.23,30.76,6,1.42,1,2.84,30.40,30.76,30.13,999.77,986.29,20.147,22.411,45.73,50.87,399.9,1999,31,98.95,-20,-0.142,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,12:47:08,9,shade,old,has_number,9865.0,0,8.35,0.0635,979,1.47,2.25,30.78,6,1.42,1,2.84,30.40,30.78,30.13,1250.31,1235.07,20.092,22.242,45.60,50.48,399.9,1999,37,98.94,-27.3,-0.133,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,12:49:09,9,shade,old,has_number,9986.0,0,8.95,0.0578,1.18E+03,1.35,2.27,30.76,6,1.42,1,2.84,30.40,30.76,30.13,1501.30,1484.87,20.033,22.010,45.47,49.96,399.9,1999,43,98.94,-35.1,-0.13,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,12:51:08,9,shade,old,has_number,10105.0,0,9.26,0.0526,1.39E+03,1.24,2.3,30.77,6,1.42,1,2.84,30.39,30.77,30.13,1750.50,1733.39,19.985,21.803,45.37,49.50,400.0,1999,46,98.94,-43.1,-0.123,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,12:53:13,9,shade,old,has_number,10229.5,0,9.37,0.0488,1.6E+03,1.16,2.31,30.75,6,1.42,1,2.84,30.40,30.75,30.13,2000.91,1983.42,19.951,21.647,45.28,49.13,399.9,1998,44,98.93,-51.4,-0.115,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
