Sample_ID,Sample_date,Location,Sample_type,Species,Leaf_age,Leaf_age_revised,C_pc,H_pc,N_pc,C:N,Molar Ratio,C _mg_gDW-1,H_mg_gDW-1,N_mg_gDW-1,C_g_m-2,H_g_m-2,N_g_m-2,LMA_gDW_m2,SLA_cm2_g,H2O_pc,Canopy_position
BNL11814,2017-02-16,PA-SLZ,ACi,VOCHFE,M,M,45.49,5.89,1.65,27.56969697,32.15137124,454.9,58.9,16.5,66.05,8.55,2.40,145.20,68.87,-9999,sunlit
BNL11835,2017-02-16,PA-SLZ,ACi,MICOBO,Y,Y,51.58,5.16,2.5,20.632,24.06073205,515.8,51.6,25,33.17,3.32,1.61,64.31,155.50,-9999,sunlit
BNL11836,2017-02-16,PA-SLZ,ACi,VOCHFE,M,Y,44.39,6.19,1.49,29.79194631,34.74292542,443.9,61.9,14.9,65.24,9.10,2.19,146.97,104.43,-9999,sunlit
BNL11837,2017-02-16,PA-SLZ,ACi,TERMAM,M,M,50.04,5.69,2.02,24.77227723,28.88906187,500.4,56.9,20.2,47.92,5.45,1.93,95.76,115.79,-9999,sunlit
BNL11838,2017-02-16,PA-SLZ,ACi,TERMAM,M,M,47.4,5.6,2.07,22.89855072,26.70394985,474,56,20.7,40.94,4.84,1.79,86.36,68.04,-9999,sunlit
BNL11839,2017-02-16,PA-SLZ,ACi,VOCHFE,Y,Y,42.82,6.25,0.93,46.04301075,53.69467547,428.2,62.5,9.3,49.02,7.15,1.06,114.48,111.49,-9999,sunlit
BNL11840,2017-02-16,PA-SLZ,ACi,VOCHFE,Y,Y,42.62,6.17,1.48,28.7972973,33.58298051,426.2,61.7,14.8,38.23,5.53,1.33,89.70,105.88,-9999,sunlit
BNL11841,2017-02-16,PA-SLZ,ACi,MICOBO,M,M,53.16,5.73,2.06,25.80582524,30.09437022,531.6,57.3,20.6,50.21,5.41,1.95,94.44,87.35,-9999,sunlit
BNL11842,2017-02-16,PA-SLZ,ACi,TERMAM,Y,Y,49.1,5.91,1.84,26.68478261,31.11939725,491,59.1,18.4,44.52,5.36,1.67,90.68,80.16,-9999,sunlit
BNL11843,2017-02-16,PA-SLZ,ACi,TERMAM,Y,Y,47.31,5.11,1.74,27.18965517,31.70817214,473.1,51.1,17.4,26.76,2.89,0.98,56.57,62.26,-9999,sunlit
