Species,Year,Species_ID,Species,Family,Maxium Canopy Height (m),Growth Environment,BNL_UID,LMA,Training (1)/Validation(0),Age_adj_final,Mature/Immature,Vcmax25-sq,Vcmax25
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL10640,,1,M,Mature,5.175039466,26.78103347
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL10690,,0,M,Mature,4.908036708,24.08882433
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL10727,,1,O,Mature,6.008691215,36.10437012
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL10750,,1,O,Mature,6.635822532,44.03414067
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11108,,1,Y,Immature,6.305201113,39.75556108
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11145,,0,M,Mature,6.615829825,43.76920427
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11602,,1,M,Mature,6.49568713,42.19395129
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11641,,0,M,Mature,5.256071066,27.62628305
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11645,,1,M,Mature,5.366244153,28.79657631
1,2016,GUATDU_SU,Guatteria dumetorum,Annonaceae,35, Sunlit,BNL11758,,1,M,Mature,6.242065912,38.96338684
2,2016,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL10637,,1,M,Mature,8.325710866,69.31746142
2,2016,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL10642,,0,M,Mature,8.555973639,73.20468491
2,2016,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL10688,,1,Y,Immature,7.203466567,51.88993058
2,2016,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL10749,,1,O,Mature,7.118184557,50.66855139
2,2016,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL10882,,1,OS,Mature,6.21308649,38.60244374
2,2016,MICOBO_SU,Miconia borealis,Melastomataceae,25, Sunlit,BNL10940,,0,M,Mature,6.72556026,45.23316082
