Biome,Biome_number
Tropical and subtropical moist broadleaf forests,1
Tropical and subtropical dry broadleaf forests,2
Tropical and subtropical coniferous forests,3
"Tropical and subtropical grasslands, savannas and shrublands",4
Temperate broadleaf and mixed forests,5
Temperate coniferous forests,6
Temperate grasslands and savannas,7
Flooded grasslands and savannas,8
Montane grasslands and shrublands,9
Tundra,10
"Mediterranean forests, woodlands and scrub",11
Boreal forests/Taiga,12
Desert and xeric shrublands,13
Mangroves,14
Managed Grasslands,15
Field Crop Ecosystems,16
Tree Crop Ecosystems,17
Greenhouse Ecosystems,18
Other Managed Ecosystems,19
